energy_price_rate_effective_date,energy_price_utility_id,energy_price_tariff_code,energy_price_customer_class,energy_price_fixed_charge_inr,energy_price_energy_charge_cents_kwh,energy_price_demand_charge_inr_kw,energy_price_fuel_adjustment_cents_kwh,energy_price_riders_surcharges_inr,energy_price_bill_amount_avg_inr,energy_price_bill_amount_p95_inr,energy_price_arrears_rate_pct,energy_price_disconnection_rate_pct,energy_price_reconnection_rate_pct,energy_price_payment_plan_enrollment,energy_price_assistance_program_uptake,energy_price_net_metering_credit_rate,energy_price_time_variant_pricing_flag,energy_price_low_income_discount_flag,energy_price_regulatory_docket_id
2024-02-12,DISCOMER01,HT2,agriculture,434.08,99.103,616.64,3.036,214.98,963.53,2841.89,7.95,0.06,0.06,60432,0.265,5.555,1,1,ERC202402-00033
2020-08-30,DISCOMWR05,HT1,industrial,208.26,40.812,445.04,2.335,172.8,6985.22,12012.01,8.92,1.06,0.88,43594,0.0,0.385,1,1,ERC202008-00034
2021-03-27,DISCOMNR05,HT2,residential,294.57,113.415,601.44,6.243,261.58,20628.15,57341.48,12.23,0.72,0.54,84414,0.0,7.662,1,1,ERC202103-00035
2019-05-15,DISCOMWR03,LT2,commercial,312.86,99.16,120.88,10.738,53.52,18873.98,37311.21,7.16,1.04,1.15,48112,0.081,6.508,0,0,ERC201905-00036
2024-03-01,DISCOMNR06,LT2,industrial,140.56,69.92,323.46,1.071,89.23,10306.05,28488.74,9.63,1.01,1.14,72634,0.265,7.821,1,0,ERC202403-00037
2025-01-22,DISCOMER02,TEMP,residential,282.5,51.71,12.13,11.437,3.13,10923.85,24399.35,3.29,0.21,0.16,100640,0.252,6.425,0,0,ERC202501-00038
2019-01-11,DISCOMWR02,LT2,industrial,278.45,71.265,35.63,15.446,24.6,551.31,1126.84,5.6,0.3,0.27,67071,0.413,0.679,1,1,ERC201901-00039
2023-04-07,DISCOMWR03,EV1,agriculture,93.83,107.782,193.1,5.901,103.22,1993.79,5136.98,8.23,1.26,1.36,80860,0.092,7.155,1,0,ERC202304-00040
2022-07-06,DISCOMNE02,TEMP,commercial,63.63,45.719,72.89,0.123,290.56,10623.17,21031.24,3.03,1.0,1.16,86403,0.104,1.024,1,0,ERC202207-00041
2020-04-16,DISCOMNR04,LT1A,commercial,243.56,111.652,386.19,12.099,216.26,8728.11,12377.59,6.6,0.48,0.52,36995,0.504,1.716,0,0,ERC202004-00042
2025-07-08,DISCOMSR03,HT1,industrial,153.45,25.915,279.89,29.45,103.12,14835.66,36214.85,9.66,1.3,0.95,89556,0.329,2.745,1,0,ERC202507-00043
2019-03-30,DISCOMWR03,LT1A,industrial,61.17,53.288,104.88,29.185,58.99,18124.79,28699.05,6.22,0.63,0.45,81242,0.404,3.873,0,1,ERC201903-00044
2022-03-15,DISCOMNE04,GOV,commercial,317.8,119.743,393.18,30.641,10.77,14335.41,36760.3,3.72,1.12,0.86,40752,0.229,6.265,0,1,ERC202203-00045
2024-07-25,DISCOMER01,AG1,industrial,101.74,105.461,11.86,18.783,236.03,17543.7,49249.29,5.35,1.58,0.95,92663,0.576,3.859,0,1,ERC202407-00046
2021-10-03,DISCOMWR05,HT1,agriculture,397.14,85.72,498.82,1.876,185.15,22363.38,39175.54,9.51,0.68,0.57,8807,0.185,1.071,0,1,ERC202110-00047
2021-06-09,DISCOMNR04,AG1,commercial,222.34,57.182,425.33,33.711,115.08,23378.41,41519.64,7.85,2.57,2.47,59966,0.252,3.065,0,1,ERC202106-00048
2021-04-17,DISCOMER01,EV1,industrial,43.6,73.825,507.02,34.14,56.58,23437.43,52970.8,11.06,0.41,0.32,36471,0.321,1.378,1,0,ERC202104-00049
2020-05-17,DISCOMWR04,TEMP,residential,328.11,37.242,177.32,17.18,171.84,7873.51,12671.68,3.41,0.39,0.35,22574,0.156,5.742,0,0,ERC202005-00050
2023-06-29,DISCOMER02,HT2,agriculture,73.74,46.339,569.45,26.309,98.91,9904.22,27239.01,3.44,1.53,1.03,23201,0.24,1.697,1,0,ERC202306-00051
2021-09-02,DISCOMSR04,TEMP,commercial,183.39,93.475,91.24,26.837,158.54,20393.1,60179.31,8.07,1.22,1.13,119863,0.167,2.463,0,1,ERC202109-00052
2019-04-08,DISCOMER02,HT2,residential,185.7,33.886,13.68,1.681,114.8,10666.03,20655.3,6.16,0.61,0.44,91284,0.142,2.593,0,1,ERC201904-00053
2020-01-26,DISCOMER05,HT2,residential,71.74,110.837,199.1,27.387,2.73,23503.42,66512.37,9.84,1.48,1.03,54392,0.073,5.111,0,1,ERC202001-00054
2023-04-27,DISCOMWR03,AG1,residential,230.12,111.897,176.94,7.895,278.45,17203.51,40993.62,4.86,0.0,0.0,86386,0.093,4.319,0,0,ERC202304-00055
2019-06-21,DISCOMWR01,GOV,residential,324.84,46.46,487.5,27.453,298.61,4440.57,7350.24,2.19,0.21,0.13,99704,0.313,1.97,1,0,ERC201906-00056
2020-03-22,DISCOMNR04,LT2,commercial,254.87,40.654,164.12,12.867,148.92,21484.62,45421.32,7.89,0.71,0.47,77831,0.016,0.359,0,1,ERC202003-00057
2019-02-22,DISCOMER05,AG1,residential,261.29,56.529,137.23,4.922,235.25,16459.84,30240.23,11.47,1.57,1.18,62400,0.273,4.508,1,1,ERC201902-00058
2024-11-29,DISCOMER06,EV1,commercial,437.45,111.413,590.29,6.233,249.31,9021.26,15119.1,5.86,0.63,0.65,80945,0.148,0.86,1,0,ERC202411-00059
2019-01-21,DISCOMER01,TEMP,residential,425.84,35.921,248.12,29.434,274.24,8771.42,13676.2,10.55,0.65,0.48,112479,0.153,7.723,1,0,ERC201901-00060
2022-11-20,DISCOMER01,EV1,residential,256.31,115.426,292.26,13.262,268.89,3725.49,7582.97,4.16,1.38,1.32,83060,0.082,1.889,0,1,ERC202211-00061
2023-01-23,DISCOMNR02,GOV,agriculture,173.71,98.246,360.01,24.445,252.79,23440.92,52349.83,5.17,0.0,0.0,85535,0.187,3.913,0,1,ERC202301-00062
2021-10-28,DISCOMSR06,LT1A,industrial,440.81,81.843,542.48,27.259,135.24,2412.09,3385.01,4.98,0.52,0.39,70868,0.144,7.098,0,1,ERC202110-00063
2021-03-02,DISCOMWR05,HT1,agriculture,156.18,37.551,649.99,20.665,294.09,14636.47,22965.91,3.86,0.52,0.37,71788,0.185,6.056,0,1,ERC202103-00064
2021-01-22,DISCOMER02,HT1,industrial,112.03,96.436,279.61,18.637,166.77,1557.25,2540.61,5.65,0.06,0.04,74737,0.266,4.695,0,0,ERC202101-00065
2020-09-07,DISCOMNR01,AG1,industrial,109.8,77.265,83.04,2.423,76.34,5713.69,9245.41,4.84,0.0,0.0,90781,0.221,1.683,1,0,ERC202009-00066
2024-07-27,DISCOMSR03,HT2,commercial,170.38,49.869,394.36,9.393,190.47,19889.7,59298.67,5.98,0.95,1.12,32749,0.348,7.97,1,1,ERC202407-00067
2022-01-07,DISCOMER01,LT1A,residential,135.0,119.819,252.03,27.595,241.0,9902.22,25187.89,4.28,0.0,0.0,73095,0.291,3.885,1,0,ERC202201-00068
2021-03-29,DISCOMNE01,HT1,industrial,97.14,104.205,344.95,4.331,263.46,13703.11,40195.73,7.39,0.3,0.21,2814,0.514,7.531,0,1,ERC202103-00069
2023-02-22,DISCOMNE06,HT2,commercial,195.16,87.556,425.45,23.418,143.84,13809.47,23998.33,4.1,1.53,1.03,48565,0.349,2.599,0,1,ERC202302-00070
2021-04-29,DISCOMSR03,TEMP,commercial,118.91,95.053,48.05,23.669,5.83,1276.15,2155.15,5.14,1.22,0.9,34711,0.165,1.074,1,1,ERC202104-00071
2020-08-03,DISCOMNE06,AG1,industrial,247.49,92.379,51.02,3.445,290.19,9758.41,15120.2,8.34,1.48,1.38,27551,0.358,0.736,0,0,ERC202008-00072
2020-12-10,DISCOMER04,LT1A,commercial,236.28,67.272,180.54,1.392,257.64,4930.22,11134.07,8.71,0.34,0.26,39756,0.313,3.35,0,0,ERC202012-00073
2019-11-05,DISCOMNR01,HT2,industrial,214.42,58.795,611.11,23.763,75.36,24552.27,47314.03,8.13,0.72,0.68,37383,0.077,7.276,0,0,ERC201911-00074
2019-01-22,DISCOMNE02,LT1A,commercial,40.53,115.713,475.02,10.911,148.54,16769.42,49532.22,5.3,1.1,1.18,35732,0.239,5.866,0,0,ERC201901-00075
2023-05-29,DISCOMNE05,LT2,agriculture,98.95,71.157,27.45,10.854,139.16,21453.97,52761.44,3.06,1.99,2.03,11955,0.356,4.403,1,1,ERC202305-00076
2024-12-05,DISCOMNR02,HT1,industrial,274.18,34.932,274.57,1.023,154.78,21950.68,64958.85,6.91,0.0,0.0,25823,0.227,7.71,1,0,ERC202412-00077
2020-11-03,DISCOMWR06,AG1,industrial,147.17,88.359,87.26,28.658,209.69,15996.82,38206.81,4.28,0.66,0.75,63426,0.293,0.763,1,0,ERC202011-00078
2023-01-11,DISCOMWR03,EV1,commercial,71.89,59.78,492.56,6.549,191.04,10057.17,19761.77,6.38,0.7,0.78,74871,0.166,6.326,1,1,ERC202301-00079
2024-07-24,DISCOMER02,GOV,agriculture,211.34,107.964,1.83,30.322,175.19,13544.51,19549.43,2.92,0.26,0.26,68993,0.222,7.17,1,1,ERC202407-00080
2021-09-24,DISCOMWR05,HT2,residential,437.63,62.478,478.08,22.525,24.71,14703.33,29196.64,10.37,1.57,1.19,61467,0.181,8.307,0,1,ERC202109-00081
2022-05-11,DISCOMNE04,HT1,agriculture,325.61,49.334,224.04,33.185,10.66,7847.01,19563.05,14.47,0.57,0.61,86867,0.129,4.724,0,0,ERC202205-00082
2025-02-18,DISCOMWR01,EV1,industrial,54.49,36.988,47.67,26.491,18.17,9942.48,17451.93,3.58,1.76,1.78,16355,0.329,0.462,1,0,ERC202502-00083
2025-06-16,DISCOMNR06,AG1,residential,299.76,37.864,102.47,22.99,245.06,14262.62,30723.57,10.79,0.74,0.68,3165,0.188,2.268,1,1,ERC202506-00084
2019-06-27,DISCOMER02,HT1,residential,379.5,99.575,482.18,23.291,283.55,18102.04,49881.76,5.54,1.34,1.34,5552,0.328,4.439,0,1,ERC201906-00085
2020-03-11,DISCOMNE03,TEMP,residential,294.56,98.029,601.48,34.733,280.78,8190.33,12177.58,10.48,0.74,0.63,97188,0.023,4.945,0,0,ERC202003-00086
2025-02-14,DISCOMSR03,EV1,agriculture,391.01,40.933,452.29,8.473,127.6,21234.62,55695.49,6.02,0.63,0.38,1733,0.236,4.576,1,1,ERC202502-00087
2019-10-30,DISCOMWR01,LT1A,commercial,273.78,98.177,15.32,8.478,211.25,9488.84,22430.94,6.77,1.2,1.42,106744,0.169,7.618,0,0,ERC201910-00088
2023-08-22,DISCOMNE04,GOV,commercial,310.44,75.674,175.53,18.246,132.83,9351.58,26330.38,4.8,0.07,0.05,68985,0.467,4.153,0,1,ERC202308-00089
2020-01-16,DISCOMSR04,HT2,residential,262.45,99.245,27.99,21.036,6.26,1772.9,2705.98,12.02,0.0,0.0,37737,0.222,5.727,1,1,ERC202001-00090
2024-11-13,DISCOMNE01,LT2,residential,161.14,35.563,21.94,0.401,1.16,2618.4,5979.96,4.76,0.86,0.81,58651,0.11,4.23,1,1,ERC202411-00091
2025-06-02,DISCOMNR06,HT2,industrial,47.14,64.012,459.4,19.201,207.23,3805.48,6041.44,8.38,1.33,1.0,102150,0.38,6.11,1,1,ERC202506-00092
2020-02-08,DISCOMNR05,HT2,agriculture,137.82,60.355,206.26,21.978,25.73,24187.55,72495.95,6.7,1.37,1.36,112026,0.399,0.162,0,0,ERC202002-00093
2023-06-25,DISCOMER05,HT2,agriculture,294.61,89.277,237.65,26.238,59.12,12277.3,20356.25,9.02,1.08,1.19,46267,0.221,2.372,1,0,ERC202306-00094
2022-08-17,DISCOMWR05,TEMP,industrial,418.99,32.178,492.4,17.802,66.7,11610.35,16424.9,5.67,0.96,0.78,66369,0.097,2.005,0,0,ERC202208-00095
2022-12-05,DISCOMNR04,LT2,residential,198.92,90.092,381.86,2.839,42.1,23626.66,56522.6,4.19,1.1,0.81,41090,0.191,3.424,0,0,ERC202212-00096
2020-11-09,DISCOMER02,LT1A,commercial,151.38,39.31,622.71,2.14,121.01,9606.66,15385.27,5.25,0.86,0.99,112278,0.0,5.987,1,0,ERC202011-00097
2021-03-31,DISCOMNE02,HT2,residential,70.63,73.296,488.38,13.328,276.36,1356.0,1996.53,7.91,0.74,0.64,55941,0.358,2.247,0,0,ERC202103-00098
2024-08-04,DISCOMNR01,TEMP,industrial,335.7,68.242,552.65,2.712,229.44,11001.69,17603.01,4.22,1.69,1.84,35369,0.019,8.464,1,1,ERC202408-00099
2019-12-29,DISCOMNR04,EV1,industrial,262.61,74.526,238.16,8.782,176.73,958.24,2554.51,4.94,0.55,0.36,103980,0.227,0.918,1,1,ERC201912-00100
2025-01-28,DISCOMNE06,GOV,industrial,96.34,57.435,373.92,11.775,147.49,4663.08,10888.83,9.91,1.25,1.15,20694,0.226,8.325,0,1,ERC202501-00101
2019-02-16,DISCOMWR05,TEMP,commercial,41.39,31.583,108.33,12.715,149.29,18398.68,40865.22,4.71,1.09,1.26,12550,0.45,1.957,1,0,ERC201902-00102
2024-10-23,DISCOMER06,GOV,commercial,130.54,58.366,462.57,20.243,83.03,24744.5,56814.61,7.33,1.31,1.14,41014,0.0,4.675,1,1,ERC202410-00103
2024-04-08,DISCOMNE03,TEMP,industrial,316.33,107.876,496.32,28.837,224.62,11444.04,30551.6,6.17,0.43,0.46,9299,0.099,5.312,1,0,ERC202404-00104
2019-07-09,DISCOMNR05,TEMP,agriculture,388.21,75.888,634.44,30.593,23.67,8982.46,21865.49,3.43,0.37,0.43,19450,0.239,0.909,0,0,ERC201907-00105
2022-01-25,DISCOMER01,AG1,industrial,306.6,70.038,326.01,3.448,216.12,19296.51,42341.84,6.01,0.96,0.65,34958,0.496,1.813,0,0,ERC202201-00106
2022-05-14,DISCOMNE01,TEMP,agriculture,442.19,31.716,397.35,25.654,82.81,21068.86,49152.84,5.9,0.5,0.31,83589,0.19,2.947,0,0,ERC202205-00107
2025-07-01,DISCOMNE01,HT2,industrial,254.26,101.615,204.35,7.58,42.11,4351.74,9669.35,6.84,0.5,0.44,105724,0.111,2.053,1,0,ERC202507-00108
2020-07-08,DISCOMNE04,HT2,agriculture,378.95,34.412,432.72,11.912,45.12,12037.54,27102.65,6.76,1.21,0.83,45823,0.186,5.078,1,0,ERC202007-00109
2019-02-06,DISCOMNR05,LT2,commercial,351.02,32.031,411.9,18.484,289.4,21539.01,62797.24,9.2,1.93,1.99,21754,0.142,4.78,1,1,ERC201902-00110
2021-10-12,DISCOMNE03,HT1,residential,407.05,57.552,242.34,3.243,184.48,11757.68,29185.29,1.09,0.9,0.66,55214,0.406,4.498,1,1,ERC202110-00111
2024-08-11,DISCOMNR06,EV1,industrial,328.52,104.855,315.41,27.118,254.12,11754.06,32915.52,5.44,1.16,0.94,50412,0.0,2.66,0,1,ERC202408-00112
2020-09-17,DISCOMWR03,LT2,agriculture,252.14,86.399,122.64,3.714,158.1,23890.09,48593.84,5.7,0.61,0.51,33826,0.08,1.025,0,1,ERC202009-00113
2020-01-30,DISCOMNR05,GOV,industrial,360.35,70.716,98.31,33.251,210.1,14081.7,32282.92,3.94,0.83,0.87,110925,0.22,1.432,0,0,ERC202001-00114
2025-02-25,DISCOMNR04,HT2,agriculture,276.24,86.154,643.59,10.251,176.07,7546.78,18978.68,7.39,0.68,0.64,9104,0.27,6.472,0,1,ERC202502-00115
2025-06-27,DISCOMWR06,LT2,commercial,381.61,61.306,482.15,23.948,293.78,443.52,865.57,1.65,0.58,0.45,53557,0.314,4.632,0,1,ERC202506-00116
2019-03-23,DISCOMSR03,TEMP,industrial,108.2,68.849,336.3,9.317,94.04,7639.14,18925.59,3.45,1.19,0.9,29191,0.209,3.806,0,0,ERC201903-00117
2019-12-29,DISCOMSR02,EV1,agriculture,362.15,25.473,363.45,27.157,104.12,10840.83,24024.81,5.79,1.15,1.18,94487,0.047,1.828,1,0,ERC201912-00118
2021-08-01,DISCOMNE03,HT2,agriculture,260.86,81.311,493.65,0.118,120.23,16434.58,40855.07,3.69,0.64,0.54,91842,0.305,0.074,0,1,ERC202108-00119
2020-06-27,DISCOMNE04,GOV,industrial,168.06,58.345,258.93,34.3,210.43,9878.92,17725.49,11.31,0.92,1.08,28222,0.246,6.619,1,0,ERC202006-00120
2022-10-23,DISCOMER03,HT1,residential,350.43,102.042,254.89,3.312,220.54,11060.09,23632.62,2.89,0.2,0.19,70101,0.104,6.943,0,0,ERC202210-00121
2022-01-20,DISCOMSR03,HT1,residential,403.77,119.995,546.34,16.946,280.77,17152.06,45154.84,8.01,0.0,0.0,25208,0.115,3.822,0,1,ERC202201-00122
2024-12-04,DISCOMWR05,LT1A,agriculture,50.07,67.229,449.73,30.663,281.6,24922.73,46820.84,3.48,0.28,0.25,41092,0.119,3.648,0,0,ERC202412-00123
2022-05-31,DISCOMSR05,HT1,residential,355.99,35.607,378.07,1.752,203.66,20133.35,32100.62,7.45,1.59,1.49,118117,0.346,4.852,1,1,ERC202205-00124
2023-03-09,DISCOMWR01,LT1A,commercial,40.57,65.892,472.37,20.312,145.85,20461.06,53916.49,6.64,0.76,0.87,16416,0.166,2.996,1,0,ERC202303-00125
2020-01-29,DISCOMNE01,EV1,agriculture,20.22,117.564,531.57,14.844,186.41,18505.34,47490.73,0.91,1.09,1.26,69660,0.186,5.18,0,1,ERC202001-00126
2022-03-19,DISCOMWR05,LT2,agriculture,219.29,67.012,36.3,5.123,41.7,1240.32,1980.77,4.63,0.8,0.6,16590,0.438,4.116,0,0,ERC202203-00127
2023-10-04,DISCOMSR03,AG1,commercial,365.83,94.882,27.49,31.455,72.3,15349.17,26444.35,10.52,1.63,1.83,102794,0.0,4.233,0,0,ERC202310-00128
2023-05-08,DISCOMWR05,AG1,industrial,310.59,36.869,486.09,14.971,258.73,4837.53,11556.18,2.34,1.44,1.37,50181,0.355,7.534,1,0,ERC202305-00129
2024-12-17,DISCOMWR05,LT2,residential,357.19,40.273,550.56,0.604,175.8,1256.03,2117.0,7.31,0.05,0.05,3380,0.09,0.243,1,1,ERC202412-00130
2024-03-05,DISCOMNE06,GOV,industrial,432.4,25.464,87.83,11.066,27.7,20789.36,54273.35,5.81,0.67,0.41,34646,0.262,4.934,0,1,ERC202403-00131
2019-07-08,DISCOMWR04,LT1A,commercial,443.56,118.49,350.19,34.518,9.52,15137.51,38818.98,10.0,0.44,0.33,111237,0.21,6.456,1,1,ERC201907-00132
2021-09-16,DISCOMER02,LT1A,commercial,373.02,67.444,118.96,27.154,285.14,20843.28,41054.48,6.05,1.14,0.8,10421,0.601,1.173,0,0,ERC202109-00133
2020-02-20,DISCOMNE01,LT1A,agriculture,184.65,47.46,405.07,20.836,199.94,9113.98,14742.69,1.7,0.7,0.56,36779,0.117,5.708,0,0,ERC202002-00134
2020-02-15,DISCOMSR05,GOV,agriculture,52.2,66.633,295.9,32.113,232.62,17651.75,30048.68,4.41,0.67,0.5,108908,0.156,6.066,0,0,ERC202002-00135
2024-01-16,DISCOMER05,LT2,residential,207.55,100.955,278.87,28.128,204.14,3720.78,9593.43,6.78,0.15,0.15,9430,0.084,7.496,1,0,ERC202401-00136
2023-03-25,DISCOMNR04,LT2,residential,185.43,109.02,570.97,28.694,26.88,5426.4,12177.25,0.0,1.59,1.42,107305,0.451,7.464,0,0,ERC202303-00137
2019-05-25,DISCOMSR04,EV1,agriculture,117.47,68.282,514.74,9.614,27.99,8582.31,20933.82,8.67,0.4,0.33,62702,0.263,1.841,1,0,ERC201905-00138
2025-04-18,DISCOMSR02,GOV,commercial,250.05,86.466,493.64,18.896,149.82,18683.63,30094.57,6.58,2.16,1.68,85260,0.089,6.42,1,1,ERC202504-00139
2023-06-18,DISCOMER03,LT2,residential,412.06,110.076,528.33,28.429,107.64,10563.64,30139.19,5.01,0.89,0.86,5304,0.156,6.834,0,0,ERC202306-00140
2021-08-09,DISCOMER06,LT1A,industrial,234.72,86.905,467.96,27.803,104.07,23888.44,53347.01,7.37,1.33,1.06,45109,0.033,2.534,1,0,ERC202108-00141
2023-11-09,DISCOMNR02,AG1,industrial,274.59,54.055,204.48,9.642,285.83,5622.19,13720.56,8.62,0.83,0.61,116782,0.427,3.812,0,1,ERC202311-00142
2020-11-18,DISCOMNE03,LT1A,industrial,39.96,73.435,397.23,34.795,107.91,20775.09,50109.62,2.06,1.37,1.02,12106,0.289,0.503,1,1,ERC202011-00143
2024-11-23,DISCOMER04,EV1,commercial,47.94,56.334,479.81,11.005,183.04,13833.62,21473.67,9.34,1.05,1.19,46773,0.219,7.723,0,0,ERC202411-00144
2019-12-13,DISCOMER04,LT2,agriculture,423.4,49.244,176.07,16.184,244.95,16901.93,40078.61,9.66,0.98,0.7,48683,0.58,2.293,0,0,ERC201912-00145
2022-07-21,DISCOMNR03,LT1A,commercial,44.46,55.92,459.0,12.016,22.87,21863.71,46398.84,4.89,0.93,0.83,74130,0.099,4.28,0,1,ERC202207-00146
2023-10-16,DISCOMER06,HT1,residential,57.57,91.528,16.01,4.272,94.35,7206.61,12787.22,9.63,0.73,0.81,10368,0.22,5.788,1,0,ERC202310-00147
2021-06-07,DISCOMSR01,AG1,commercial,422.76,36.56,168.56,20.71,119.73,10086.41,22046.61,4.77,1.5,1.2,42191,0.285,1.683,0,1,ERC202106-00148
