env_land_mapping_year,env_land_landcover_class_code,env_land_protected_area_id,env_land_management_designation,env_land_habitat_type_code,env_land_biodiversity_richness_index,env_land_species_observation_count,env_land_invasive_species_presence_flag,env_land_wetland_area_acres,env_land_forest_canopy_pct,env_land_impervious_surface_pct,env_land_soil_erosion_risk_score,env_land_carbon_stock_estimate_tons,env_land_restoration_project_flag,env_land_prescribed_burn_acres,env_land_trail_density_mi_sqmi,env_land_public_access_score,env_land_conservation_easement_flag,env_land_land_parcel_fragmentation_index,env_land_remote_sensing_sensor
2016,urban,IN-PA-0000019,national_park,tropical_dry,40,29,0,258.0,24.4,0.0,30,9529,0,142.6,1.2,27,0,51,Cartosat_3
2016,forest,IN-PA-0000020,unprotected,desert,45,43,0,80.7,31.2,0.0,25,8383,0,140.8,2.26,42,0,54,Sentinel_2
2018,cropland,IN-PA-0000021,national_park,tropical_dry,37,42,0,16.8,66.4,0.0,59,15735,0,214.9,1.4,75,0,42,Landsat_8
2012,cropland,IN-PA-0000022,national_park,grassland,93,39,0,25.5,38.8,19.9,68,4290,0,56.5,1.46,60,0,68,MODIS
2024,cropland,IN-PA-0000023,unprotected,coastal,77,32,0,102.1,35.9,8.0,6,10286,0,16.2,2.13,79,0,80,Landsat_9
2014,forest,IN-PA-0000024,national_park,tropical_dry,51,39,0,69.1,54.2,20.7,67,11234,1,69.9,0.71,62,0,68,Landsat_8
2010,water,IN-PA-0000025,unprotected,tropical_dry,98,27,1,53.9,15.1,39.9,77,10595,0,67.8,0.0,60,0,31,Sentinel_2
2020,cropland,IN-PA-0000026,conservation_reserve,tropical_dry,78,38,1,157.0,44.7,13.1,7,41353,0,111.1,2.03,37,0,48,MODIS
2011,forest,IN-PA-0000027,national_park,tropical_dry,75,43,0,296.7,44.0,24.5,0,9417,0,37.7,0.0,35,0,38,Resourcesat_2
2021,cropland,IN-PA-0000028,unprotected,riverine,57,34,0,16.1,21.4,0.0,46,2642,0,20.0,2.38,65,0,40,Sentinel_2
2009,grassland,IN-PA-0000029,reserved_forest,grassland,70,39,0,54.1,46.0,0.0,25,3394,0,127.1,3.79,31,0,40,Sentinel_2
2022,cropland,IN-PA-0000030,community_reserve,tropical_dry,71,31,1,29.4,4.0,0.0,63,21072,0,14.0,2.39,73,0,66,Sentinel_2
2025,cropland,IN-PA-0000031,reserved_forest,grassland,37,41,0,70.5,44.7,0.0,55,13133,0,68.7,3.76,60,0,31,Sentinel_2
2020,cropland,IN-PA-0000032,unprotected,tropical_moist,63,46,0,183.1,72.3,4.4,60,7497,0,200.7,0.7,76,0,35,Landsat_8
2021,wetland,IN-PA-0000033,conservation_reserve,tropical_dry,57,26,0,95.4,51.3,11.5,48,5016,0,121.9,0.0,50,0,50,VIIRS
2012,cropland,IN-PA-0000034,unprotected,tropical_dry,58,36,0,39.6,35.2,7.3,37,10958,1,153.6,1.79,37,0,79,VIIRS
2016,shrubland,IN-PA-0000035,wildlife_sanctuary,tropical_moist,72,39,0,177.2,21.6,12.8,41,9450,0,48.8,2.91,75,0,72,Landsat_8
2015,cropland,IN-PA-0000036,wildlife_sanctuary,coastal,79,38,1,67.9,72.4,23.5,22,12236,0,40.5,1.39,56,0,56,Cartosat_3
2016,cropland,IN-PA-0000037,reserved_forest,tropical_moist,39,36,1,91.8,0.0,5.3,66,1488,0,50.7,3.44,53,0,32,Resourcesat_2
2022,forest,IN-PA-0000038,reserved_forest,riverine,45,40,0,131.7,22.3,14.8,53,6393,0,41.6,5.05,82,0,54,Sentinel_2
2009,cropland,IN-PA-0000039,national_park,riverine,55,38,0,236.7,30.4,20.8,47,10952,0,16.1,0.0,100,0,65,Sentinel_2
2009,wetland,IN-PA-0000040,unprotected,tropical_dry,74,36,0,74.0,20.9,7.4,30,5684,0,46.8,2.39,19,0,70,Sentinel_2
2009,cropland,IN-PA-0000041,conservation_reserve,tropical_moist,50,32,0,637.9,25.1,11.4,56,17399,0,140.9,3.27,47,0,71,Landsat_8
2023,forest,IN-PA-0000042,reserved_forest,tropical_moist,43,44,0,79.3,59.6,24.3,52,16178,0,15.1,3.64,48,0,72,Resourcesat_2
2022,urban,IN-PA-0000043,unprotected,tropical_dry,63,33,0,9.9,24.9,44.8,48,2735,0,4.6,0.27,31,0,62,MODIS
2006,grassland,IN-PA-0000044,wildlife_sanctuary,grassland,24,30,0,45.7,44.1,27.6,25,23621,0,105.9,0.33,64,0,56,Landsat_8
2018,cropland,IN-PA-0000045,unprotected,riverine,59,35,1,89.7,32.0,0.0,62,4960,1,5.4,0.69,41,1,58,Resourcesat_2
2006,cropland,IN-PA-0000046,reserved_forest,riverine,95,45,0,209.9,21.7,5.5,27,14965,0,87.9,2.24,48,0,73,Cartosat_3
2025,cropland,IN-PA-0000047,unprotected,coastal,65,48,0,456.2,64.3,0.0,44,9816,0,89.5,1.44,40,0,59,Resourcesat_2
2008,forest,IN-PA-0000048,unprotected,riverine,45,37,0,141.5,25.1,24.7,13,5527,0,19.1,3.36,50,0,35,Cartosat_3
2018,cropland,IN-PA-0000049,unprotected,mixed,60,30,0,121.8,60.6,30.8,67,22629,0,5.9,2.42,20,0,61,MODIS
2014,cropland,IN-PA-0000050,unprotected,mangrove,46,31,0,107.3,55.4,0.0,54,23328,0,2.3,2.22,25,0,28,Landsat_8
2006,cropland,IN-PA-0000051,reserved_forest,tropical_moist,38,38,0,234.7,13.5,16.9,6,11448,0,115.1,1.66,16,0,48,Resourcesat_2
2022,cropland,IN-PA-0000052,unprotected,tropical_dry,52,29,0,216.4,32.5,9.0,13,15984,0,82.7,2.21,57,0,28,Landsat_8
2016,forest,IN-PA-0000053,wildlife_sanctuary,grassland,45,32,0,22.8,82.6,8.8,37,4040,0,32.0,1.7,83,0,66,MODIS
2015,cropland,IN-PA-0000054,unprotected,mixed,80,26,0,17.0,22.7,13.5,49,34612,0,44.9,1.45,65,0,55,Cartosat_3
2015,forest,IN-PA-0000055,reserved_forest,tropical_dry,89,32,0,121.3,48.3,13.0,19,7651,0,29.8,0.95,61,0,63,Sentinel_2
2012,urban,IN-PA-0000056,national_park,riverine,56,25,0,69.6,49.7,5.6,41,9245,1,62.3,2.01,51,0,57,Sentinel_2
2006,forest,IN-PA-0000057,unprotected,mixed,52,39,0,58.1,23.2,23.7,55,22490,0,12.0,3.21,60,0,41,Landsat_9
2018,forest,IN-PA-0000058,wildlife_sanctuary,tropical_dry,64,42,0,167.5,49.3,5.4,69,6029,0,53.0,0.8,60,0,57,Sentinel_2
2011,grassland,IN-PA-0000059,reserved_forest,tropical_dry,46,31,0,166.6,3.1,12.4,62,2271,0,18.3,0.86,46,0,50,Sentinel_2
2017,shrubland,IN-PA-0000060,unprotected,tropical_moist,55,34,1,65.8,53.5,10.6,34,2526,0,50.5,1.83,32,0,51,Landsat_8
2005,shrubland,IN-PA-0000061,wildlife_sanctuary,tropical_dry,59,31,0,36.6,36.7,38.2,34,4186,0,153.1,3.06,81,0,54,Landsat_9
2009,grassland,IN-PA-0000062,reserved_forest,mixed,46,40,0,11.9,0.0,11.8,17,26127,0,232.9,0.0,30,0,45,Landsat_8
2023,cropland,IN-PA-0000063,wildlife_sanctuary,grassland,40,41,0,21.9,26.9,49.6,53,48133,0,18.0,2.54,33,0,42,MODIS
2018,forest,IN-PA-0000064,unprotected,tropical_dry,63,37,0,123.5,1.7,27.2,33,20637,0,23.1,1.08,55,0,38,Sentinel_2
2010,cropland,IN-PA-0000065,reserved_forest,mixed,65,40,0,216.7,14.5,0.0,34,5247,0,138.1,3.34,64,0,55,Landsat_8
2017,forest,IN-PA-0000066,reserved_forest,tropical_moist,43,39,0,290.3,25.5,0.7,66,9065,1,61.2,0.05,62,1,38,Landsat_8
2016,grassland,IN-PA-0000067,unprotected,mixed,65,36,0,41.4,48.7,5.6,48,5875,0,11.2,3.06,72,0,56,MODIS
2023,water,IN-PA-0000068,reserved_forest,montane,54,45,0,276.8,9.2,41.1,31,2212,0,121.7,2.82,58,1,59,Landsat_9
2015,wetland,IN-PA-0000069,unprotected,tropical_dry,51,42,0,53.1,24.7,35.9,11,4374,0,75.4,4.63,75,0,83,Landsat_9
2008,grassland,IN-PA-0000070,unprotected,tropical_dry,30,38,0,79.7,7.5,47.2,46,3638,0,148.0,0.54,35,1,60,Resourcesat_2
2014,cropland,IN-PA-0000071,unprotected,grassland,69,25,0,339.8,15.4,18.3,15,1730,0,51.4,2.25,83,0,21,Landsat_8
2025,cropland,IN-PA-0000072,wildlife_sanctuary,riverine,54,28,1,106.5,66.1,11.9,17,6188,1,40.5,1.7,31,0,56,Landsat_9
2019,shrubland,IN-PA-0000073,unprotected,mixed,55,39,0,79.8,39.9,2.5,41,9511,0,22.0,1.25,31,0,67,MODIS
2008,urban,IN-PA-0000074,reserved_forest,mixed,67,38,0,89.4,3.6,33.2,52,6380,0,11.9,1.79,52,0,40,VIIRS
2014,forest,IN-PA-0000075,unprotected,mangrove,80,31,0,72.0,59.5,0.2,37,6580,0,110.8,4.29,64,0,62,Sentinel_2
2021,forest,IN-PA-0000076,unprotected,tropical_dry,50,38,0,194.3,58.0,22.8,45,6749,0,1.5,1.22,71,0,55,Cartosat_3
2021,cropland,IN-PA-0000077,unprotected,mangrove,61,33,1,31.5,27.7,11.8,69,2770,0,14.7,0.0,25,0,70,Landsat_8
2016,urban,IN-PA-0000078,unprotected,grassland,85,38,0,151.6,52.2,31.5,40,16926,0,13.8,1.36,58,0,57,Sentinel_2
2006,water,IN-PA-0000079,wildlife_sanctuary,mixed,63,32,0,20.8,70.4,14.9,40,2448,0,382.8,0.82,43,0,48,Resourcesat_2
2013,cropland,IN-PA-0000080,reserved_forest,montane,54,40,0,1006.6,35.7,29.3,49,2714,0,15.8,0.23,45,0,50,MODIS
2025,forest,IN-PA-0000081,conservation_reserve,tropical_dry,87,41,0,304.9,14.4,16.9,77,37034,0,89.9,0.0,93,0,50,Cartosat_3
2006,forest,IN-PA-0000082,wildlife_sanctuary,mangrove,37,35,0,154.0,51.7,15.1,66,7985,0,73.2,3.13,66,0,47,Resourcesat_2
2010,forest,IN-PA-0000083,unprotected,riverine,63,36,0,123.5,19.5,27.3,57,1161,0,2.5,1.63,45,0,28,MODIS
2012,forest,IN-PA-0000084,reserved_forest,coastal,51,33,0,39.7,19.2,39.0,18,50652,0,94.8,0.55,58,0,55,Sentinel_2
2024,forest,IN-PA-0000085,national_park,riverine,68,33,0,265.2,14.7,28.2,62,19426,0,128.8,0.71,19,0,66,Sentinel_2
2020,cropland,IN-PA-0000086,unprotected,mixed,66,32,0,179.5,48.3,35.1,39,5063,0,5.9,4.97,36,0,61,Landsat_8
2016,urban,IN-PA-0000087,wildlife_sanctuary,tropical_moist,1,30,0,4.8,56.6,0.0,54,15890,0,83.9,2.66,48,0,46,MODIS
2013,cropland,IN-PA-0000088,reserved_forest,tropical_dry,75,30,0,155.5,27.1,29.3,75,3102,0,1.9,0.85,54,0,43,Landsat_9
2019,cropland,IN-PA-0000089,wildlife_sanctuary,tropical_moist,63,34,0,178.6,60.9,27.6,47,3624,0,36.8,0.91,53,0,36,Sentinel_2
2011,water,IN-PA-0000090,unprotected,riverine,82,33,0,131.8,25.2,20.7,37,4533,0,72.6,3.96,63,0,30,Cartosat_3
2020,water,IN-PA-0000091,wildlife_sanctuary,tropical_dry,42,43,0,33.6,31.4,7.5,39,15267,0,45.8,2.54,52,0,58,Resourcesat_2
2017,cropland,IN-PA-0000092,unprotected,tropical_moist,54,28,1,12.5,13.4,25.4,52,24510,0,8.9,0.08,59,0,51,Sentinel_2
2009,urban,IN-PA-0000093,unprotected,riverine,71,38,0,270.0,22.7,39.4,21,7401,0,213.5,0.44,49,0,41,Sentinel_2
2025,forest,IN-PA-0000094,unprotected,tropical_dry,56,34,1,24.7,56.8,15.7,47,11793,0,36.4,2.75,49,0,55,Landsat_9
2017,grassland,IN-PA-0000095,unprotected,riverine,57,41,0,75.7,22.3,13.3,61,10597,0,92.3,2.66,63,0,58,Sentinel_2
2023,grassland,IN-PA-0000096,unprotected,riverine,16,37,0,54.3,15.9,8.3,0,2145,0,5.6,2.41,45,0,78,MODIS
2018,grassland,IN-PA-0000097,unprotected,tropical_dry,55,40,0,169.9,13.2,57.5,34,1130,0,102.0,1.76,70,0,22,MODIS
2009,forest,IN-PA-0000098,national_park,mangrove,80,35,1,19.0,0.0,19.9,50,10430,1,251.2,0.74,57,0,31,Landsat_8
2010,wetland,IN-PA-0000099,unprotected,riverine,70,31,1,14.1,12.5,2.7,45,9414,0,70.6,3.34,56,0,95,MODIS
2012,forest,IN-PA-0000100,unprotected,riverine,59,41,0,403.1,2.1,11.0,30,3628,0,95.6,1.69,95,0,46,MODIS
2008,water,IN-PA-0000101,unprotected,mixed,42,40,0,32.2,18.9,6.4,39,3089,0,53.4,3.15,35,0,51,VIIRS
2009,forest,IN-PA-0000102,wildlife_sanctuary,mixed,55,36,0,131.1,28.7,10.9,49,6470,1,74.2,2.96,81,0,54,Landsat_9
2010,wetland,IN-PA-0000103,community_reserve,mangrove,31,39,0,122.0,27.7,29.1,33,6519,0,235.8,2.45,50,0,35,MODIS
2025,cropland,IN-PA-0000104,wildlife_sanctuary,riverine,73,26,0,31.2,38.4,51.2,59,4838,0,42.0,1.55,54,0,36,Resourcesat_2
2014,cropland,IN-PA-0000105,unprotected,coastal,69,40,0,213.8,43.2,17.0,52,6963,0,3.8,1.32,60,0,34,Resourcesat_2
2015,cropland,IN-PA-0000106,unprotected,tropical_dry,54,45,0,520.5,11.1,0.0,71,1210,0,138.6,1.51,55,0,19,Landsat_8
2012,cropland,IN-PA-0000107,unprotected,tropical_moist,78,40,0,65.1,62.5,0.0,38,2601,0,260.8,3.3,47,0,65,Landsat_9
2025,forest,IN-PA-0000108,unprotected,grassland,73,32,0,76.7,49.0,26.4,46,52125,0,2.2,1.11,46,0,75,VIIRS
2020,urban,IN-PA-0000109,reserved_forest,mangrove,72,44,0,89.6,51.9,23.9,60,58195,1,0.5,1.48,78,0,35,Landsat_9
2008,grassland,IN-PA-0000110,unprotected,montane,81,51,1,214.3,33.4,12.5,43,2352,0,60.0,2.28,48,0,72,Sentinel_2
2019,urban,IN-PA-0000111,unprotected,mangrove,90,30,0,124.8,51.3,6.1,39,24826,1,83.8,3.86,56,0,56,Resourcesat_2
2024,forest,IN-PA-0000112,unprotected,desert,51,33,1,66.6,75.4,0.0,57,11729,0,6.5,2.23,14,0,73,Landsat_8
2020,forest,IN-PA-0000113,unprotected,mixed,51,33,1,130.7,55.7,17.8,78,2699,0,2.8,1.8,63,1,54,VIIRS
2013,cropland,IN-PA-0000114,wildlife_sanctuary,mangrove,48,36,0,58.4,48.7,19.7,66,4811,0,285.7,1.18,64,0,64,Landsat_8
2015,wetland,IN-PA-0000115,unprotected,tropical_moist,43,37,0,110.2,0.0,0.0,77,21235,0,303.8,4.67,36,0,56,Landsat_8
2007,barren,IN-PA-0000116,unprotected,tropical_dry,34,34,0,252.4,48.1,0.5,56,13842,0,17.6,1.42,85,0,36,Cartosat_3
2007,cropland,IN-PA-0000117,national_park,riverine,51,40,0,90.6,40.6,28.1,42,13782,0,164.4,0.49,56,0,53,VIIRS
2008,water,IN-PA-0000118,wildlife_sanctuary,grassland,55,44,0,58.0,22.3,0.0,35,5866,0,180.1,2.78,69,0,56,Landsat_8
2020,shrubland,IN-PA-0000119,unprotected,mangrove,40,40,1,74.4,20.1,5.2,75,1176,0,85.4,2.18,36,0,73,Landsat_8
2006,forest,IN-PA-0000120,community_reserve,grassland,51,34,0,34.8,50.8,28.2,56,14465,0,5.0,0.74,67,0,56,MODIS
2008,wetland,IN-PA-0000121,wildlife_sanctuary,tropical_moist,54,40,0,41.6,67.6,44.5,19,9223,0,124.1,1.8,44,0,31,MODIS
2021,cropland,IN-PA-0000122,unprotected,tropical_moist,52,43,0,94.2,31.1,26.0,51,17680,1,18.3,2.39,46,0,41,Sentinel_2
2005,grassland,IN-PA-0000123,unprotected,riverine,50,30,0,55.3,23.4,28.2,19,19881,0,239.7,2.57,43,0,62,Landsat_8
2012,grassland,IN-PA-0000124,reserved_forest,tropical_dry,52,30,1,112.6,13.8,19.9,5,1227,0,245.7,1.37,60,0,40,Landsat_8
2009,water,IN-PA-0000125,unprotected,mangrove,64,43,1,229.8,0.0,1.8,66,36472,0,21.6,2.32,74,0,45,Sentinel_2
2005,forest,IN-PA-0000126,unprotected,grassland,47,30,1,324.8,31.7,20.9,67,8370,0,16.5,3.69,70,0,49,Landsat_9
2025,wetland,IN-PA-0000127,conservation_reserve,mixed,38,39,0,55.7,49.7,21.3,57,7175,0,80.2,2.02,48,1,18,Resourcesat_2
2022,cropland,IN-PA-0000128,conservation_reserve,tropical_dry,58,42,0,80.0,45.2,41.6,72,1579,0,35.2,2.64,35,0,53,Landsat_8
2024,urban,IN-PA-0000129,wildlife_sanctuary,mixed,46,30,0,183.2,12.6,10.5,13,5943,0,132.2,1.35,35,0,71,Sentinel_2
2019,water,IN-PA-0000130,conservation_reserve,montane,63,41,0,243.8,45.4,24.1,29,8262,0,12.1,1.18,60,0,9,VIIRS
2019,forest,IN-PA-0000131,wildlife_sanctuary,tropical_dry,35,39,1,25.7,29.4,30.3,32,31512,0,192.9,1.25,37,0,44,Landsat_9
2024,cropland,IN-PA-0000132,unprotected,riverine,64,29,0,37.6,3.0,13.6,21,3262,1,277.8,0.37,51,0,25,MODIS
2007,grassland,IN-PA-0000133,wildlife_sanctuary,mangrove,58,25,0,155.2,0.0,2.8,70,6586,0,69.4,0.0,72,0,50,Landsat_8
2009,forest,IN-PA-0000134,reserved_forest,mixed,68,25,0,91.6,38.2,21.9,18,5070,0,28.3,2.58,38,0,50,Sentinel_2
2005,cropland,IN-PA-0000135,unprotected,coastal,29,36,0,29.8,70.0,18.8,27,4801,0,62.1,2.37,84,0,53,Sentinel_2
2006,grassland,IN-PA-0000136,unprotected,montane,28,47,0,56.9,0.0,9.3,32,4981,0,46.7,1.98,67,0,57,MODIS
2010,water,IN-PA-0000137,wildlife_sanctuary,tropical_dry,57,32,1,214.0,41.9,9.5,40,1353,1,146.6,0.18,48,0,38,Sentinel_2
2011,cropland,IN-PA-0000138,unprotected,coastal,40,24,0,269.5,31.8,48.6,55,8606,0,10.7,4.3,61,0,23,Resourcesat_2
2009,cropland,IN-PA-0000139,unprotected,grassland,49,35,1,140.8,30.0,4.7,70,4408,1,73.9,0.14,67,0,43,Landsat_8
2015,grassland,IN-PA-0000140,unprotected,tropical_moist,81,41,0,68.4,46.1,17.8,48,11250,0,3.1,0.86,74,0,33,Cartosat_3
2011,urban,IN-PA-0000141,unprotected,grassland,61,40,1,19.0,17.1,38.3,69,22836,0,53.3,1.01,25,0,47,Sentinel_2
2006,grassland,IN-PA-0000142,national_park,tropical_moist,42,34,0,209.3,50.6,0.0,70,4928,0,0.6,1.08,60,0,44,Landsat_8
2023,water,IN-PA-0000143,reserved_forest,grassland,61,46,0,302.4,53.1,0.0,42,5527,1,153.8,2.72,43,0,35,Sentinel_2
2021,forest,IN-PA-0000144,reserved_forest,tropical_moist,56,27,0,57.1,55.0,10.5,16,9411,0,17.7,1.49,80,0,49,Sentinel_2
2024,water,IN-PA-0000145,national_park,tropical_moist,59,41,0,329.2,49.5,0.0,36,6048,0,54.4,0.37,50,0,66,Landsat_8
2011,grassland,IN-PA-0000146,unprotected,desert,98,38,0,33.1,16.5,17.4,68,15043,0,75.8,2.37,69,0,67,Sentinel_2
2012,cropland,IN-PA-0000147,unprotected,riverine,70,38,0,173.2,27.8,44.4,53,21634,0,66.9,0.79,89,0,46,Sentinel_2
2014,forest,IN-PA-0000148,wildlife_sanctuary,tropical_dry,30,34,0,69.1,13.0,0.0,40,42625,0,78.4,0.98,28,0,62,VIIRS
2023,forest,IN-PA-0000149,unprotected,coastal,100,27,1,46.5,24.8,22.3,31,4521,0,144.8,0.0,59,0,16,Sentinel_2
2005,wetland,IN-PA-0000150,community_reserve,grassland,49,40,0,35.0,24.9,14.5,39,3996,0,80.6,2.48,80,0,36,Landsat_8
2025,shrubland,IN-PA-0000151,community_reserve,coastal,59,30,0,85.0,49.8,9.5,60,18007,0,321.1,0.32,67,0,0,Cartosat_3
2006,urban,IN-PA-0000152,unprotected,tropical_dry,34,35,1,51.8,32.9,15.5,44,6833,0,27.0,0.0,82,0,26,Resourcesat_2
2007,urban,IN-PA-0000153,wildlife_sanctuary,montane,56,33,1,57.9,0.0,20.6,24,7319,1,46.6,3.39,53,0,54,MODIS
2005,forest,IN-PA-0000154,unprotected,tropical_dry,45,33,0,125.8,41.1,14.2,49,7023,0,65.3,3.18,71,0,39,Landsat_8
2010,cropland,IN-PA-0000155,conservation_reserve,grassland,51,27,0,324.2,27.6,30.5,39,25850,0,110.3,2.0,89,0,22,Landsat_9
2021,urban,IN-PA-0000156,unprotected,montane,50,46,0,328.9,53.1,6.6,17,10877,0,51.4,0.22,61,0,54,Landsat_8
2007,cropland,IN-PA-0000157,conservation_reserve,montane,77,39,0,11.8,45.1,27.9,0,2381,0,5.8,2.45,94,0,38,Sentinel_2
2024,forest,IN-PA-0000158,reserved_forest,coastal,60,40,0,293.3,20.6,8.9,0,3277,0,26.8,0.81,52,0,68,Sentinel_2
2013,cropland,IN-PA-0000159,unprotected,riverine,87,42,0,24.5,39.1,13.1,42,23048,0,28.2,1.08,56,0,7,VIIRS
2013,water,IN-PA-0000160,reserved_forest,tropical_dry,55,43,0,182.5,68.1,47.2,55,109019,1,6.7,2.04,51,0,59,VIIRS
2020,urban,IN-PA-0000161,unprotected,desert,60,33,0,23.3,0.0,13.9,60,22612,0,72.1,4.23,70,0,91,Resourcesat_2
2014,forest,IN-PA-0000162,wildlife_sanctuary,tropical_moist,59,37,0,116.2,47.6,10.7,51,3323,0,3.5,3.01,46,0,89,VIIRS
2014,cropland,IN-PA-0000163,unprotected,grassland,76,36,0,330.1,15.5,18.7,53,9645,0,47.4,3.38,69,0,60,Sentinel_2
2014,shrubland,IN-PA-0000164,unprotected,tropical_dry,77,28,0,22.7,6.4,38.5,61,19339,0,19.0,1.19,38,0,67,Cartosat_3
2011,cropland,IN-PA-0000165,unprotected,tropical_dry,48,22,1,143.1,31.8,50.8,40,3449,1,25.9,1.89,69,0,43,MODIS
2009,forest,IN-PA-0000166,reserved_forest,mixed,46,36,0,88.2,30.3,24.8,47,2155,0,52.7,3.01,63,0,39,MODIS
2025,cropland,IN-PA-0000167,wildlife_sanctuary,mangrove,53,36,0,717.8,34.3,35.0,35,19770,0,196.8,1.69,72,0,45,MODIS
2025,cropland,IN-PA-0000168,reserved_forest,desert,49,35,1,44.0,32.9,42.4,56,7856,0,39.9,0.0,18,0,33,Landsat_8
2024,barren,IN-PA-0000169,conservation_reserve,coastal,32,40,1,132.2,12.6,8.9,17,12513,0,11.0,0.0,43,0,9,Sentinel_2
2022,wetland,IN-PA-0000170,unprotected,tropical_dry,59,39,0,446.9,51.4,32.3,46,16686,0,28.3,0.6,80,0,43,Cartosat_3
2008,cropland,IN-PA-0000171,reserved_forest,riverine,66,32,0,34.8,24.2,36.1,56,7494,0,177.6,2.43,30,0,39,Landsat_8
2009,cropland,IN-PA-0000172,wildlife_sanctuary,tropical_dry,62,37,0,189.1,76.0,22.7,69,3748,0,53.6,0.51,59,0,28,VIIRS
2021,grassland,IN-PA-0000173,wildlife_sanctuary,montane,55,30,0,259.0,46.8,23.2,39,12950,0,186.3,2.6,62,0,35,VIIRS
2023,grassland,IN-PA-0000174,wildlife_sanctuary,riverine,65,41,1,314.6,54.5,31.0,56,14567,1,2.4,3.5,52,0,53,Landsat_9
2022,wetland,IN-PA-0000175,unprotected,tropical_dry,86,26,1,75.6,38.1,22.3,26,4415,0,8.3,0.0,58,0,79,VIIRS
2020,grassland,IN-PA-0000176,national_park,riverine,63,38,0,42.2,75.5,1.7,41,18076,0,14.0,4.37,35,1,51,VIIRS
2007,water,IN-PA-0000177,unprotected,tropical_dry,51,29,0,92.9,50.9,8.1,52,18391,0,138.9,2.01,57,0,46,Sentinel_2
2018,forest,IN-PA-0000178,wildlife_sanctuary,tropical_moist,67,42,0,240.4,62.9,16.0,59,7107,0,9.2,0.52,49,0,46,Resourcesat_2
2014,grassland,IN-PA-0000179,reserved_forest,grassland,78,30,0,16.3,49.1,39.5,34,8931,0,163.1,2.89,69,0,51,Landsat_8
2023,urban,IN-PA-0000180,wildlife_sanctuary,desert,68,37,0,55.6,38.2,19.8,59,8046,0,81.4,0.9,74,0,42,Landsat_8
