demo_migflow_move_year,demo_migflow_origin_geoid,demo_migflow_destination_geoid,demo_migflow_move_type_code,demo_migflow_age_at_move,demo_migflow_household_size_at_move,demo_migflow_primary_reason_for_move,demo_migflow_housing_tenure_before_move,demo_migflow_housing_tenure_after_move,demo_migflow_distance_miles_estimate,demo_migflow_commute_change_minutes,demo_migflow_income_bracket_before_move,demo_migflow_income_bracket_after_move,demo_migflow_education_level,demo_migflow_citizenship_status,demo_migflow_foreign_born_indicator,demo_migflow_interstate_flow_count,demo_migflow_intrastate_flow_count,demo_migflow_survey_weight,demo_migflow_data_collection_wave
2025,16012,01012,INTERNATIONAL_OUT,14,4,HEALTH,OWN,OTHER,189.4,9,50_75K,50_75K,GRAD,NONCITIZEN,1,68,112,2.8089,W1
2016,16013,01013,INTERNATIONAL_OUT,11,3,SCHOOL,RENT,OTHER,3157.0,111,150K_PLUS,LT25K,SOME_COLLEGE,NATURALIZED,0,84,155,2.745,W1
2023,16014,01014,INTERNATIONAL_IN,3,7,SCHOOL,OWN,OWN,3096.7,70,150K_PLUS,50_75K,LT_HS,NONCITIZEN,1,84,120,2.9406,W4
2021,16015,01015,INTERNATIONAL_IN,34,6,HEALTH,OWN,OWN,936.7,-51,100_150K,100_150K,GRAD,NATURALIZED,0,79,118,3.3188,W4
2024,16016,01016,INTERNATIONAL_OUT,60,2,HEALTH,OTHER,OWN,2851.3,71,50_75K,75_100K,HS,CITIZEN,1,92,115,0.6971,W3
2019,16017,01017,INTERNATIONAL_IN,26,6,HEALTH,OTHER,RENT,25.3,-5,50_75K,LT25K,GRAD,NONCITIZEN,1,48,121,1.3246,W4
2020,16018,01018,INTERNATIONAL_OUT,32,7,OTHER,OTHER,OWN,1453.3,107,25_50K,LT25K,HS,NONCITIZEN,0,73,113,3.4538,W5
2021,16019,01019,INTERSTATE,12,5,JOB,OWN,OTHER,1287.1,-28,LT25K,150K_PLUS,SOME_COLLEGE,NONCITIZEN,1,66,138,2.162,W3
2024,16020,01020,INTERNATIONAL_OUT,36,3,HOUSING_COST,RENT,RENT,2888.6,100,150K_PLUS,100_150K,GRAD,NATURALIZED,0,74,138,2.4114,W4
2021,16021,01021,INTERSTATE,43,5,HEALTH,OTHER,OWN,1511.6,88,150K_PLUS,100_150K,BACH,NATURALIZED,0,65,127,3.1175,W2
2024,16022,01022,INTRASTATE,1,6,JOB,OTHER,OTHER,1337.7,42,100_150K,100_150K,LT_HS,CITIZEN,0,76,105,2.4804,W4
2017,16023,01023,INTERNATIONAL_IN,37,2,RETIREMENT,RENT,RENT,2046.9,58,50_75K,100_150K,LT_HS,NONCITIZEN,0,87,122,2.4547,W5
2019,16024,01024,INTERNATIONAL_IN,36,7,MILITARY,OWN,RENT,1202.9,-16,LT25K,100_150K,SOME_COLLEGE,CITIZEN,1,79,127,0.5449,W4
2018,16025,01025,INTERNATIONAL_OUT,58,5,HEALTH,OWN,OTHER,1717.2,-4,LT25K,100_150K,ASSOC,NATURALIZED,0,68,129,1.8726,W3
2019,16026,01026,INTRASTATE,68,4,FAMILY,RENT,OTHER,3057.8,107,LT25K,LT25K,GRAD,CITIZEN,1,78,122,2.4215,W2
2016,16027,01027,INTRASTATE,17,6,FAMILY,OTHER,RENT,648.8,65,150K_PLUS,50_75K,SOME_COLLEGE,NONCITIZEN,1,79,132,2.8641,W3
2017,16028,01028,INTRASTATE,47,2,JOB,RENT,OTHER,1468.8,66,LT25K,75_100K,GRAD,NONCITIZEN,0,77,114,1.5637,W2
2019,16029,01029,INTRASTATE,80,3,OTHER,OTHER,RENT,49.7,-51,25_50K,100_150K,LT_HS,NATURALIZED,0,88,113,0.6077,W2
2025,16030,01030,INTERNATIONAL_IN,65,7,OTHER,RENT,RENT,2695.2,13,25_50K,75_100K,GRAD,NATURALIZED,0,86,119,1.4072,W5
2019,16031,01031,INTERNATIONAL_OUT,48,3,JOB,OWN,RENT,294.9,5,50_75K,150K_PLUS,HS,CITIZEN,0,76,123,1.6181,W1
2020,16032,01032,INTERNATIONAL_OUT,57,4,MILITARY,OWN,RENT,303.7,41,LT25K,LT25K,SOME_COLLEGE,NONCITIZEN,1,72,117,2.6783,W5
2024,16033,01033,INTERSTATE,34,1,MILITARY,OWN,OWN,2825.1,24,50_75K,75_100K,SOME_COLLEGE,CITIZEN,1,82,111,0.2653,W1
2016,16034,01034,INTERNATIONAL_IN,77,5,MILITARY,OWN,OTHER,1310.0,97,75_100K,LT25K,HS,NATURALIZED,1,78,126,1.4731,W1
2023,16035,01035,INTERSTATE,75,6,MILITARY,RENT,OWN,2199.5,21,150K_PLUS,25_50K,GRAD,NATURALIZED,0,76,138,1.678,W5
2018,16036,01036,INTRASTATE,57,3,HEALTH,RENT,OWN,2745.2,-26,25_50K,50_75K,SOME_COLLEGE,CITIZEN,0,79,122,2.0154,W4
2024,16037,01037,INTERNATIONAL_OUT,6,6,FAMILY,OTHER,OWN,1198.6,-8,25_50K,25_50K,BACH,NONCITIZEN,0,76,119,3.401,W5
2023,16038,01038,INTERSTATE,8,4,RETIREMENT,RENT,OWN,837.3,106,150K_PLUS,LT25K,HS,NATURALIZED,1,87,127,2.644,W3
2023,16039,01039,INTERNATIONAL_IN,68,5,MILITARY,OTHER,RENT,542.9,51,100_150K,150K_PLUS,HS,CITIZEN,0,90,136,0.934,W3
2024,16040,01040,INTERNATIONAL_OUT,3,2,MILITARY,RENT,RENT,1943.0,-39,75_100K,25_50K,GRAD,NONCITIZEN,1,73,114,2.2911,W3
2019,16041,01041,INTERNATIONAL_IN,31,6,JOB,RENT,RENT,807.6,6,25_50K,LT25K,HS,CITIZEN,0,95,113,1.3422,W3
2020,16042,01042,INTERNATIONAL_OUT,4,4,MILITARY,RENT,RENT,2029.9,39,LT25K,25_50K,LT_HS,NATURALIZED,1,66,99,2.8777,W1
2022,16043,01043,INTERNATIONAL_IN,55,7,OTHER,RENT,OWN,1015.2,19,150K_PLUS,LT25K,SOME_COLLEGE,NONCITIZEN,0,76,130,0.7645,W1
2017,16044,01044,INTERNATIONAL_IN,55,2,RETIREMENT,OWN,RENT,1113.2,39,LT25K,50_75K,ASSOC,NATURALIZED,0,81,134,0.6769,W5
2022,16045,01045,INTERNATIONAL_OUT,43,7,HEALTH,RENT,OWN,797.5,14,150K_PLUS,150K_PLUS,SOME_COLLEGE,NATURALIZED,1,71,126,0.5346,W2
2018,16046,01046,INTERNATIONAL_IN,71,2,HEALTH,OTHER,RENT,1339.4,59,LT25K,50_75K,SOME_COLLEGE,NATURALIZED,1,77,109,1.9955,W2
2021,16047,01047,INTERNATIONAL_IN,12,2,RETIREMENT,OWN,OTHER,519.2,-44,150K_PLUS,50_75K,LT_HS,NATURALIZED,1,74,117,0.6067,W1
2021,16048,01048,INTRASTATE,3,5,HEALTH,RENT,OTHER,1023.4,86,50_75K,LT25K,BACH,NATURALIZED,1,79,87,0.3378,W4
2021,16049,01049,INTERNATIONAL_OUT,51,1,HOUSING_COST,RENT,OTHER,2489.3,11,25_50K,75_100K,BACH,CITIZEN,1,84,126,1.2971,W1
2025,16050,01050,INTERSTATE,74,6,HEALTH,OTHER,OTHER,690.4,63,50_75K,25_50K,LT_HS,NATURALIZED,1,90,115,2.8339,W4
2017,16051,01051,INTERNATIONAL_OUT,14,2,RETIREMENT,OWN,RENT,3030.8,29,25_50K,25_50K,LT_HS,NATURALIZED,1,101,119,0.715,W2
2024,16052,01052,INTERNATIONAL_OUT,81,3,MILITARY,OWN,OTHER,1577.6,-10,100_150K,25_50K,LT_HS,NATURALIZED,1,70,132,1.381,W1
2023,16053,01053,INTRASTATE,83,5,HEALTH,OWN,OTHER,342.6,115,50_75K,150K_PLUS,SOME_COLLEGE,NONCITIZEN,1,107,111,1.6379,W5
2022,16054,01054,INTERSTATE,0,5,SCHOOL,OWN,OWN,3017.8,-4,25_50K,25_50K,LT_HS,NATURALIZED,1,75,133,3.0907,W3
2024,16055,01055,INTERSTATE,64,2,MILITARY,OTHER,OTHER,1461.6,77,100_150K,50_75K,ASSOC,NONCITIZEN,1,68,115,1.772,W2
2019,16056,01056,INTERSTATE,10,3,FAMILY,RENT,RENT,1782.5,-29,25_50K,75_100K,HS,CITIZEN,0,86,124,1.8895,W1
2017,16057,01057,INTERNATIONAL_IN,60,4,HEALTH,RENT,OWN,593.0,18,75_100K,25_50K,BACH,NATURALIZED,1,79,124,1.0403,W1
2019,16058,01058,INTERNATIONAL_IN,87,5,HEALTH,OWN,RENT,1066.9,62,150K_PLUS,75_100K,GRAD,CITIZEN,1,83,126,2.4062,W3
2025,16059,01059,INTERNATIONAL_IN,83,2,FAMILY,OTHER,OWN,2251.8,61,50_75K,LT25K,ASSOC,CITIZEN,1,78,124,0.2847,W2
2018,16060,01060,INTERSTATE,62,6,HEALTH,RENT,RENT,397.1,7,LT25K,LT25K,GRAD,NATURALIZED,1,79,135,3.3827,W5
2017,16061,01061,INTERNATIONAL_OUT,37,2,JOB,OWN,OTHER,1825.7,-33,100_150K,150K_PLUS,BACH,CITIZEN,1,88,146,1.8438,W5
2017,16062,01062,INTERNATIONAL_OUT,68,6,JOB,OWN,OWN,2219.4,71,100_150K,25_50K,SOME_COLLEGE,NATURALIZED,0,75,112,0.404,W5
2023,16063,01063,INTERSTATE,44,6,HOUSING_COST,OTHER,OTHER,6.4,16,LT25K,100_150K,SOME_COLLEGE,CITIZEN,0,68,98,2.0453,W2
2020,16064,01064,INTERSTATE,73,1,MILITARY,OTHER,RENT,2680.3,79,100_150K,150K_PLUS,LT_HS,NONCITIZEN,1,87,136,1.8961,W5
2021,16065,01065,INTRASTATE,69,1,HOUSING_COST,OTHER,RENT,180.7,-46,LT25K,50_75K,BACH,NONCITIZEN,1,83,98,0.9943,W4
2023,16066,01066,INTERNATIONAL_IN,67,7,SCHOOL,OWN,OWN,790.5,-32,LT25K,150K_PLUS,SOME_COLLEGE,NONCITIZEN,1,92,117,0.8891,W1
2022,16067,01067,INTERNATIONAL_IN,3,4,JOB,OTHER,RENT,3083.4,26,25_50K,25_50K,SOME_COLLEGE,NATURALIZED,1,104,106,1.0935,W4
2022,16068,01068,INTERNATIONAL_IN,70,4,FAMILY,OWN,RENT,259.8,-48,50_75K,50_75K,GRAD,CITIZEN,0,69,135,0.6281,W2
2022,16069,01069,INTRASTATE,47,6,SCHOOL,RENT,OWN,2643.1,-23,75_100K,25_50K,GRAD,NONCITIZEN,1,96,105,1.9537,W5
2022,16070,01070,INTRASTATE,8,4,HEALTH,OWN,OTHER,2086.6,49,100_150K,50_75K,BACH,NATURALIZED,0,72,105,3.1005,W5
2023,16071,01071,INTRASTATE,89,7,JOB,OWN,OWN,1915.0,-26,25_50K,100_150K,SOME_COLLEGE,NONCITIZEN,0,83,132,3.2463,W5
2016,16072,01072,INTERSTATE,46,4,SCHOOL,RENT,RENT,1861.6,107,75_100K,100_150K,LT_HS,NONCITIZEN,0,89,125,3.3449,W3
2018,16073,01073,INTRASTATE,84,2,MILITARY,OTHER,RENT,533.1,15,75_100K,150K_PLUS,SOME_COLLEGE,NATURALIZED,0,80,128,2.1812,W3
2016,16074,01074,INTERNATIONAL_OUT,59,2,RETIREMENT,OTHER,OWN,2140.4,49,100_150K,LT25K,ASSOC,NONCITIZEN,1,90,123,2.2511,W5
2023,16075,01075,INTERSTATE,51,2,HEALTH,OWN,OWN,3045.2,-56,100_150K,150K_PLUS,ASSOC,NATURALIZED,0,86,120,1.2247,W1
2017,16076,01076,INTERSTATE,85,3,HEALTH,OWN,OTHER,247.0,-59,25_50K,25_50K,LT_HS,NONCITIZEN,1,83,121,3.1216,W3
2022,16077,01077,INTERNATIONAL_IN,32,6,RETIREMENT,RENT,RENT,1064.1,-31,100_150K,100_150K,ASSOC,NATURALIZED,0,72,115,1.8109,W2
2021,16078,01078,INTERNATIONAL_IN,57,4,SCHOOL,OTHER,RENT,1511.5,38,75_100K,100_150K,GRAD,NONCITIZEN,1,69,119,1.1217,W5
2016,16079,01079,INTRASTATE,47,3,JOB,RENT,OTHER,743.7,58,100_150K,150K_PLUS,SOME_COLLEGE,CITIZEN,1,99,112,3.3867,W1
2021,16080,01080,INTERNATIONAL_OUT,4,5,RETIREMENT,OWN,OWN,2371.0,-51,150K_PLUS,25_50K,ASSOC,CITIZEN,0,76,128,2.5277,W3
2024,16081,01081,INTERSTATE,84,6,RETIREMENT,OWN,OWN,2203.7,12,150K_PLUS,150K_PLUS,ASSOC,NATURALIZED,0,79,136,1.7333,W2
2018,16082,01082,INTERSTATE,26,7,SCHOOL,RENT,OTHER,377.3,63,25_50K,150K_PLUS,SOME_COLLEGE,NATURALIZED,0,70,117,0.4265,W3
2022,16083,01083,INTERSTATE,40,5,RETIREMENT,RENT,OWN,1822.5,-23,25_50K,150K_PLUS,BACH,CITIZEN,0,71,132,0.6625,W2
2019,16084,01084,INTERNATIONAL_IN,0,2,MILITARY,OTHER,OTHER,1180.7,33,25_50K,25_50K,LT_HS,NATURALIZED,1,82,147,0.8484,W5
2016,16085,01085,INTERNATIONAL_IN,50,5,HEALTH,RENT,OWN,731.2,58,100_150K,LT25K,BACH,NONCITIZEN,0,71,128,3.1794,W1
2022,16086,01086,INTERNATIONAL_OUT,15,2,OTHER,OTHER,OWN,2714.6,102,50_75K,100_150K,BACH,NONCITIZEN,0,91,85,3.4062,W4
2016,16087,01087,INTERNATIONAL_IN,31,7,FAMILY,OTHER,OWN,175.4,10,25_50K,50_75K,ASSOC,NONCITIZEN,1,106,110,1.081,W3
2019,16088,01088,INTERNATIONAL_OUT,46,6,RETIREMENT,RENT,OTHER,1495.9,79,50_75K,25_50K,HS,NONCITIZEN,1,82,136,1.8444,W1
2024,16089,01089,INTERNATIONAL_IN,22,6,MILITARY,RENT,OTHER,1521.3,109,LT25K,25_50K,BACH,NONCITIZEN,1,106,123,2.8132,W4
2020,16090,01090,INTERNATIONAL_OUT,14,7,OTHER,OTHER,OTHER,1824.6,37,25_50K,25_50K,SOME_COLLEGE,NONCITIZEN,1,95,133,1.4693,W5
2022,16091,01091,INTERNATIONAL_IN,25,7,HEALTH,RENT,RENT,632.7,116,50_75K,150K_PLUS,SOME_COLLEGE,NONCITIZEN,1,98,117,1.8248,W2
2022,16092,01092,INTERNATIONAL_IN,36,4,SCHOOL,OTHER,RENT,2787.9,66,50_75K,150K_PLUS,SOME_COLLEGE,NATURALIZED,0,77,125,3.1292,W5
2018,16093,01093,INTRASTATE,88,3,RETIREMENT,OTHER,OTHER,3089.0,6,75_100K,25_50K,HS,CITIZEN,0,79,120,0.8848,W1
2023,16094,01094,INTRASTATE,54,2,RETIREMENT,OWN,RENT,1756.9,-28,50_75K,100_150K,HS,NONCITIZEN,0,83,137,3.4797,W1
2016,16095,01095,INTRASTATE,1,1,HOUSING_COST,OTHER,RENT,820.0,43,75_100K,50_75K,GRAD,NONCITIZEN,1,76,107,1.7058,W3
2019,16096,01096,INTERNATIONAL_OUT,75,7,OTHER,OWN,OWN,2805.9,80,150K_PLUS,LT25K,LT_HS,NATURALIZED,0,87,140,1.0524,W4
2025,16097,01097,INTERNATIONAL_OUT,18,1,SCHOOL,RENT,OWN,3162.2,87,150K_PLUS,75_100K,HS,NATURALIZED,0,73,109,3.1452,W4
2019,16098,01098,INTERNATIONAL_OUT,31,4,SCHOOL,OTHER,OWN,2374.1,100,150K_PLUS,100_150K,LT_HS,CITIZEN,0,79,112,0.4525,W3
2017,16099,01099,INTERNATIONAL_OUT,86,7,MILITARY,OTHER,RENT,1068.2,-27,50_75K,100_150K,GRAD,CITIZEN,1,91,104,2.3197,W5
2021,16100,01100,INTRASTATE,68,3,HOUSING_COST,RENT,RENT,755.6,-11,50_75K,75_100K,SOME_COLLEGE,NATURALIZED,1,64,124,0.4036,W4
2016,16101,01101,INTERSTATE,54,2,OTHER,RENT,OTHER,501.6,117,LT25K,75_100K,HS,NONCITIZEN,0,83,134,3.3224,W5
2018,16102,01102,INTERNATIONAL_IN,88,4,HOUSING_COST,RENT,RENT,752.2,76,50_75K,25_50K,ASSOC,NONCITIZEN,0,77,126,2.3111,W2
2024,16103,01103,INTERNATIONAL_IN,55,3,MILITARY,OTHER,RENT,727.9,-54,100_150K,50_75K,GRAD,NONCITIZEN,0,86,115,1.5133,W1
2025,16104,01104,INTERNATIONAL_OUT,28,1,OTHER,RENT,OTHER,3095.8,76,100_150K,100_150K,ASSOC,NONCITIZEN,0,78,135,1.6005,W2
2021,16105,01105,INTRASTATE,83,2,FAMILY,RENT,OTHER,2058.5,45,150K_PLUS,100_150K,ASSOC,NONCITIZEN,1,65,113,0.745,W3
2017,16106,01106,INTERSTATE,35,3,RETIREMENT,OWN,OTHER,534.7,93,100_150K,LT25K,HS,NATURALIZED,1,80,115,1.388,W4
2024,16107,01107,INTRASTATE,70,5,JOB,OWN,OWN,1562.0,69,LT25K,75_100K,HS,CITIZEN,1,97,119,3.1825,W2
2017,16108,01108,INTERNATIONAL_IN,85,2,JOB,OTHER,OTHER,591.2,-56,50_75K,75_100K,HS,CITIZEN,1,73,137,2.8577,W1
2022,16109,01109,INTERNATIONAL_OUT,81,5,HOUSING_COST,RENT,OWN,1939.5,52,LT25K,100_150K,ASSOC,NATURALIZED,1,86,120,2.3829,W4
2016,16110,01110,INTERNATIONAL_OUT,52,6,SCHOOL,RENT,RENT,1092.8,5,50_75K,75_100K,SOME_COLLEGE,NONCITIZEN,0,84,115,3.3937,W5
2020,16111,01111,INTRASTATE,84,6,SCHOOL,OWN,RENT,626.3,55,75_100K,25_50K,BACH,NATURALIZED,1,83,136,2.0923,W4
2022,16112,01112,INTERNATIONAL_OUT,85,6,MILITARY,OTHER,OWN,777.3,77,LT25K,LT25K,SOME_COLLEGE,CITIZEN,1,78,131,0.7817,W1
2018,16113,01113,INTERSTATE,38,4,FAMILY,RENT,OWN,2160.5,98,150K_PLUS,100_150K,HS,CITIZEN,0,97,108,2.5549,W4
2019,16114,01114,INTERNATIONAL_IN,75,3,JOB,OTHER,OWN,1306.0,100,100_150K,150K_PLUS,BACH,CITIZEN,1,75,129,2.1533,W2
2020,16115,01115,INTERSTATE,10,6,HEALTH,OWN,RENT,1642.4,47,100_150K,LT25K,GRAD,CITIZEN,0,81,132,1.6406,W3
2018,16116,01116,INTRASTATE,75,7,HEALTH,RENT,RENT,2628.4,50,100_150K,150K_PLUS,BACH,NATURALIZED,1,79,123,0.685,W2
2021,16117,01117,INTERNATIONAL_IN,89,3,MILITARY,OWN,OTHER,2097.5,73,50_75K,25_50K,SOME_COLLEGE,NONCITIZEN,1,74,129,2.4363,W4
2018,16118,01118,INTERSTATE,29,3,MILITARY,OWN,OTHER,1480.0,-47,50_75K,LT25K,ASSOC,NONCITIZEN,1,82,139,1.6654,W5
2023,16119,01119,INTERSTATE,78,3,SCHOOL,OWN,RENT,3053.0,17,LT25K,150K_PLUS,LT_HS,NATURALIZED,0,91,105,2.1095,W4
2022,16120,01120,INTERSTATE,71,2,OTHER,RENT,OTHER,686.8,-46,150K_PLUS,75_100K,ASSOC,NONCITIZEN,0,84,115,1.2408,W1
2016,16121,01121,INTERNATIONAL_IN,52,7,FAMILY,OTHER,OTHER,925.1,60,25_50K,100_150K,ASSOC,NONCITIZEN,0,88,138,0.7139,W2
2017,16122,01122,INTERNATIONAL_IN,81,5,OTHER,RENT,OWN,2916.6,110,50_75K,LT25K,BACH,NONCITIZEN,1,75,123,1.3877,W2
2019,16123,01123,INTERNATIONAL_OUT,73,5,FAMILY,OWN,RENT,2730.4,87,25_50K,50_75K,HS,NONCITIZEN,0,90,125,3.0119,W4
2020,16124,01124,INTRASTATE,7,4,HOUSING_COST,OTHER,OWN,416.6,-40,25_50K,100_150K,HS,CITIZEN,0,76,119,0.7266,W3
2025,16125,01125,INTERNATIONAL_OUT,19,6,JOB,OWN,RENT,2975.9,-32,50_75K,LT25K,BACH,NONCITIZEN,1,86,124,1.7551,W4
2019,16126,01126,INTRASTATE,11,4,FAMILY,RENT,RENT,33.0,12,LT25K,100_150K,ASSOC,NATURALIZED,1,82,139,1.1821,W3
2019,16127,01127,INTERNATIONAL_IN,66,3,FAMILY,OTHER,OWN,2631.8,32,150K_PLUS,150K_PLUS,SOME_COLLEGE,CITIZEN,1,88,100,3.3757,W4
2024,16128,01128,INTERSTATE,83,1,OTHER,RENT,RENT,892.5,111,25_50K,LT25K,GRAD,CITIZEN,1,75,126,0.4794,W2
2019,16129,01129,INTERNATIONAL_OUT,49,1,FAMILY,OTHER,OWN,604.1,101,LT25K,LT25K,LT_HS,NATURALIZED,0,92,115,1.0097,W3
2019,16130,01130,INTERNATIONAL_IN,11,7,HEALTH,OWN,OWN,1436.1,-14,LT25K,75_100K,ASSOC,NONCITIZEN,0,99,121,1.6835,W1
2019,16131,01131,INTERNATIONAL_IN,53,3,JOB,OWN,RENT,2870.7,-52,150K_PLUS,LT25K,ASSOC,CITIZEN,0,75,114,1.016,W3
2017,16132,01132,INTERNATIONAL_IN,87,6,OTHER,OWN,RENT,2515.0,51,50_75K,50_75K,LT_HS,NATURALIZED,1,87,144,2.5318,W5
2023,16133,01133,INTERNATIONAL_OUT,79,5,HOUSING_COST,RENT,OWN,3094.6,-31,150K_PLUS,75_100K,SOME_COLLEGE,NATURALIZED,1,77,108,1.4239,W1
2019,16134,01134,INTERNATIONAL_IN,53,4,RETIREMENT,RENT,OTHER,1731.4,-44,25_50K,50_75K,LT_HS,NONCITIZEN,1,87,120,2.7766,W4
2020,16135,01135,INTRASTATE,73,2,SCHOOL,OWN,OTHER,1634.0,119,LT25K,150K_PLUS,BACH,NONCITIZEN,0,75,120,2.0192,W5
2023,16136,01136,INTRASTATE,18,1,HEALTH,OWN,RENT,42.2,-2,25_50K,50_75K,LT_HS,NATURALIZED,0,75,124,1.6085,W1
2019,16137,01137,INTERSTATE,13,7,MILITARY,OTHER,RENT,578.4,58,LT25K,25_50K,LT_HS,NONCITIZEN,0,73,137,1.4041,W4
2020,16138,01138,INTERNATIONAL_OUT,51,4,OTHER,OTHER,OTHER,1592.6,71,50_75K,50_75K,ASSOC,NATURALIZED,0,76,122,0.9327,W3
2020,16139,01139,INTERNATIONAL_OUT,77,1,MILITARY,RENT,RENT,2408.3,107,LT25K,LT25K,ASSOC,NONCITIZEN,1,74,115,1.0334,W4
2021,16140,01140,INTERNATIONAL_OUT,21,5,OTHER,OTHER,RENT,2632.4,35,50_75K,100_150K,HS,NONCITIZEN,1,86,121,0.7821,W2
2022,16141,01141,INTERNATIONAL_OUT,3,5,JOB,RENT,OTHER,906.8,74,50_75K,75_100K,LT_HS,NATURALIZED,1,81,130,3.0108,W1
2018,16142,01142,INTERNATIONAL_OUT,58,3,OTHER,RENT,RENT,2280.0,-23,25_50K,75_100K,BACH,NATURALIZED,0,80,102,2.0093,W3
2025,16143,01143,INTERNATIONAL_IN,33,3,OTHER,OTHER,OTHER,2651.4,-29,25_50K,75_100K,HS,NONCITIZEN,0,84,121,1.7935,W4
2018,16144,01144,INTERNATIONAL_IN,63,1,HEALTH,OTHER,OTHER,1199.7,8,150K_PLUS,100_150K,GRAD,NATURALIZED,0,88,127,1.2634,W3
2024,16145,01145,INTRASTATE,17,1,OTHER,OTHER,OTHER,2225.9,6,25_50K,50_75K,LT_HS,CITIZEN,0,75,121,1.9057,W3
2016,16146,01146,INTERNATIONAL_OUT,81,4,JOB,OWN,RENT,1399.6,-5,75_100K,150K_PLUS,ASSOC,NONCITIZEN,1,70,141,3.1124,W1
2025,16147,01147,INTERNATIONAL_OUT,30,3,HEALTH,OWN,OWN,3154.1,-41,25_50K,25_50K,BACH,CITIZEN,1,90,114,3.0251,W3
2023,16148,01148,INTERNATIONAL_OUT,83,7,MILITARY,OTHER,OWN,21.8,59,25_50K,LT25K,SOME_COLLEGE,CITIZEN,0,75,120,2.177,W1
2025,16149,01149,INTRASTATE,41,7,OTHER,OWN,OWN,1326.2,84,150K_PLUS,150K_PLUS,HS,CITIZEN,0,77,107,1.9489,W3
2018,16150,01150,INTERNATIONAL_OUT,73,5,JOB,RENT,RENT,844.3,83,LT25K,75_100K,ASSOC,NATURALIZED,0,92,131,0.9451,W3
2020,16151,01151,INTERNATIONAL_OUT,2,6,RETIREMENT,OWN,RENT,2719.2,-50,150K_PLUS,LT25K,SOME_COLLEGE,NONCITIZEN,1,85,125,2.4867,W4
2018,16152,01152,INTERNATIONAL_IN,84,4,SCHOOL,OWN,RENT,919.2,80,75_100K,50_75K,LT_HS,NONCITIZEN,0,79,120,3.0159,W5
2025,16153,01153,INTRASTATE,54,4,SCHOOL,OWN,RENT,1740.5,85,75_100K,150K_PLUS,BACH,CITIZEN,0,85,109,1.2088,W1
2016,16154,01154,INTERNATIONAL_IN,9,2,FAMILY,RENT,OWN,2369.0,-47,LT25K,25_50K,ASSOC,NATURALIZED,0,68,131,1.6373,W2
2025,16155,01155,INTERSTATE,70,7,MILITARY,RENT,OTHER,1591.4,-27,25_50K,75_100K,ASSOC,NONCITIZEN,0,102,118,0.5521,W1
2020,16156,01156,INTERNATIONAL_OUT,21,6,MILITARY,OTHER,RENT,1313.6,25,150K_PLUS,50_75K,BACH,NONCITIZEN,1,86,106,3.0321,W3
2023,16157,01157,INTERSTATE,22,5,MILITARY,OWN,RENT,136.5,64,100_150K,150K_PLUS,ASSOC,NONCITIZEN,1,65,119,0.5224,W5
2020,16158,01158,INTERNATIONAL_OUT,75,4,FAMILY,OWN,RENT,73.9,93,50_75K,25_50K,ASSOC,CITIZEN,1,82,105,2.5243,W1
