health_mch_birth_cohort_year,health_mch_prenatal_visit_adequacy_index,health_mch_maternal_mortality_ratio,health_mch_severe_maternal_morbidity_rate,health_mch_preterm_birth_rate,health_mch_low_birthweight_rate,health_mch_breastfeeding_initiation_rate,health_mch_breastfeeding_6mo_rate,health_mch_postpartum_care_rate,health_mch_infant_sleep_safe_rate,health_mch_immunization_series_completion,health_mch_well_child_visit_rate,health_mch_teen_birth_rate,health_mch_fertility_rate_age_specific,health_mch_nicu_admission_rate,health_mch_postnatal_depression_screen_rate,health_mch_substance_exposure_flag_rate,health_mch_doula_support_rate,health_mch_medicaid_eligibility_category,health_mch_home_visiting_program_uptake
2010,5.26,5.91,156.9,10.71,8.41,75.21,22.15,80.37,51.45,92.0,64.71,17.16,96.9,5.3,75.9,2.85,10.42,EXPANSION,36.17
2008,9.12,43.67,219.88,14.4,4.9,75.72,24.52,89.73,52.37,66.68,56.58,42.25,28.56,5.43,55.36,1.21,1.48,PREGNANCY,14.0
2017,3.49,41.02,86.66,11.96,9.5,75.63,41.06,64.48,69.65,41.02,61.68,16.77,39.71,7.51,66.29,11.95,9.06,CHILD,13.24
2007,7.48,44.71,148.04,6.0,12.24,70.99,23.65,87.18,58.4,53.55,54.81,39.31,73.66,4.37,22.51,8.52,16.95,POSTPARTUM,41.53
2010,9.56,25.22,79.31,15.93,13.49,84.89,44.03,82.18,70.56,44.08,62.32,21.21,128.17,7.06,49.11,11.34,16.3,EXPANSION,12.06
2005,2.55,22.48,48.33,7.47,5.62,69.16,22.41,72.54,52.27,90.77,56.59,17.47,125.31,4.16,84.7,13.99,17.51,PREGNANCY,51.57
2016,2.93,25.59,77.29,5.3,8.93,91.86,64.4,66.56,55.09,40.93,73.1,18.97,74.32,6.8,56.87,6.53,27.11,EXPANSION,51.22
2022,6.18,31.07,88.29,6.54,9.89,62.47,52.8,51.93,59.89,39.14,74.74,10.53,28.67,11.57,31.44,14.06,1.68,CHILD,51.4
2016,6.67,32.28,231.62,14.34,4.83,77.29,56.88,39.37,70.26,59.35,83.09,18.25,44.53,7.51,52.48,3.09,5.38,OTHER,23.87
2025,5.31,34.31,130.43,10.91,11.71,76.25,33.79,62.63,56.0,71.15,49.27,4.34,85.47,2.65,88.96,12.74,11.36,OTHER,35.35
2018,8.03,39.82,172.05,12.67,5.54,81.86,61.52,75.39,51.54,66.99,42.3,35.41,137.91,15.66,60.77,5.0,28.17,FAMILY,9.21
2023,9.89,14.73,49.63,15.13,5.94,81.62,21.45,66.13,43.02,36.41,79.32,28.87,137.82,14.12,44.3,8.17,17.66,CHILD,28.3
2014,8.37,24.72,64.21,11.3,13.1,52.93,18.7,37.95,58.67,63.94,41.32,18.82,139.15,3.35,68.6,2.71,11.35,POSTPARTUM,28.28
2024,2.98,32.01,153.86,7.1,13.4,67.89,41.81,73.59,44.0,56.29,94.98,7.14,126.74,16.38,77.82,16.6,23.52,OTHER,52.24
2015,6.22,8.21,175.19,6.86,13.67,82.14,40.14,85.71,94.32,41.73,89.25,8.61,120.85,4.26,36.77,17.72,27.16,CHILD,39.57
2013,0.3,6.7,190.49,7.63,6.8,65.09,57.11,60.71,54.86,56.24,78.18,15.66,34.22,4.43,70.99,16.75,16.94,FAMILY,35.57
2018,2.08,30.24,184.31,15.31,5.79,60.53,53.96,77.24,41.72,54.69,76.07,5.28,105.65,16.77,34.24,1.76,14.68,CHILD,38.32
2025,9.85,29.9,225.22,10.58,13.35,68.42,47.53,83.54,70.34,37.71,60.8,43.33,55.05,5.83,41.73,16.66,1.38,OTHER,4.68
2023,0.41,17.78,186.15,8.19,12.81,76.19,47.87,48.39,75.5,73.48,50.2,16.7,114.14,9.57,45.56,1.6,6.57,OTHER,36.95
2025,7.88,9.49,113.4,6.78,10.63,68.01,32.35,72.01,45.8,46.82,72.0,14.53,117.86,17.35,26.98,17.93,18.16,CHILD,36.57
2010,9.59,26.91,90.22,10.87,6.81,72.22,59.11,85.93,41.35,80.25,94.52,13.54,18.56,15.8,87.83,6.0,14.12,FAMILY,30.82
2025,6.02,16.59,129.29,13.54,13.61,91.42,20.11,66.73,64.95,72.59,61.13,20.95,109.37,10.12,78.45,6.97,29.96,EXPANSION,51.65
2010,0.33,12.48,59.77,10.24,13.57,82.65,54.83,58.11,68.15,45.55,52.03,31.28,22.3,16.03,62.31,6.27,2.85,EXPANSION,36.05
2007,4.08,35.85,49.63,15.69,6.31,87.95,25.79,72.75,70.27,82.29,54.78,21.8,12.29,15.37,38.5,1.16,2.14,FAMILY,26.29
2022,7.9,6.56,112.34,8.85,8.52,69.56,47.49,36.64,90.47,40.29,91.52,5.3,77.49,3.73,72.08,11.83,17.6,POSTPARTUM,30.57
2013,3.39,19.26,114.7,8.77,9.02,50.72,39.93,36.31,91.29,44.64,89.19,29.42,59.2,9.34,31.87,6.12,1.95,PREGNANCY,15.68
2007,0.62,42.59,193.79,8.47,8.96,69.87,49.74,63.48,56.32,82.4,48.3,24.31,42.78,6.02,54.46,14.68,1.0,EXPANSION,19.99
2011,5.7,16.03,133.95,14.15,9.97,78.26,64.49,61.23,56.54,59.31,67.98,42.62,114.29,16.96,52.9,15.3,27.29,PREGNANCY,16.65
2023,0.4,14.0,119.66,13.47,7.98,91.04,61.28,54.87,42.7,57.55,65.42,21.24,122.73,7.23,82.82,6.56,13.39,FAMILY,35.74
2012,0.75,12.77,138.95,13.27,7.71,85.63,54.92,91.87,51.88,85.14,86.62,36.67,17.99,6.97,42.66,4.64,6.12,CHILD,30.3
2010,3.1,9.43,112.75,15.81,5.31,79.02,24.76,35.17,48.8,65.73,47.75,16.36,79.9,16.09,64.67,13.0,18.26,PREGNANCY,2.1
2017,1.29,29.52,211.56,8.42,11.4,63.35,22.4,53.91,50.14,77.67,44.03,27.99,122.2,14.42,69.31,15.26,26.07,POSTPARTUM,43.88
2019,5.81,30.27,134.25,5.77,12.75,86.81,44.63,40.59,82.76,71.99,81.61,9.55,123.05,17.89,34.69,12.64,22.05,FAMILY,3.33
2011,7.7,6.21,254.27,12.39,5.82,85.91,18.5,90.73,82.18,81.44,47.05,20.01,57.42,8.55,48.58,14.51,22.74,CHILD,50.97
2013,2.33,29.76,172.73,11.61,11.5,84.59,62.69,69.33,44.99,46.63,65.88,39.27,125.76,13.84,58.72,14.98,26.73,FAMILY,53.7
2008,4.69,18.98,201.49,14.68,10.94,79.83,47.73,76.77,57.71,35.57,73.06,41.15,60.14,9.21,80.55,0.94,6.08,POSTPARTUM,25.89
2014,1.85,17.33,199.84,8.37,4.89,79.17,31.38,88.38,58.82,39.76,57.38,21.64,15.13,13.32,31.63,16.82,14.34,OTHER,14.63
2009,3.34,20.3,52.21,9.99,9.33,59.52,63.15,74.18,64.68,83.13,85.64,8.63,44.74,2.94,20.63,13.91,24.71,OTHER,30.36
2024,8.15,11.11,79.7,8.76,13.07,83.0,15.91,52.3,42.3,52.59,70.05,33.55,75.83,16.76,53.49,6.41,2.49,OTHER,16.87
2006,6.62,41.64,84.87,11.19,8.33,84.32,27.41,82.65,56.26,44.99,89.4,38.65,119.23,17.8,55.29,0.68,26.48,OTHER,30.36
2015,9.37,38.28,233.91,15.97,12.93,84.49,63.26,64.36,77.61,78.83,72.22,27.14,114.91,16.49,29.3,17.07,1.16,CHILD,37.11
2013,4.14,38.87,58.79,10.81,7.32,91.16,51.05,83.55,55.72,85.27,67.82,25.26,134.21,2.37,30.89,16.46,9.35,EXPANSION,50.5
2023,3.36,42.4,233.77,8.18,11.8,72.01,20.72,49.19,87.0,42.91,68.17,4.03,13.54,3.68,75.07,10.13,23.15,EXPANSION,23.96
2011,6.49,26.76,79.19,5.69,8.91,82.07,15.02,75.6,82.91,81.06,77.22,36.63,82.4,17.7,64.23,6.64,17.78,EXPANSION,36.65
2022,7.43,9.48,111.59,11.28,13.89,61.7,38.77,72.1,93.25,59.76,94.6,6.94,34.06,10.24,68.31,15.13,0.69,FAMILY,40.35
2007,1.5,18.14,240.8,10.03,10.6,86.41,33.2,88.71,92.35,66.56,58.95,17.78,81.78,17.9,39.19,11.38,21.16,PREGNANCY,20.46
2022,5.93,11.94,93.06,13.52,9.82,67.69,33.72,38.31,56.47,75.95,88.88,10.96,20.29,17.76,88.87,4.34,15.31,POSTPARTUM,46.36
2009,7.99,17.23,68.99,5.91,12.04,86.51,56.34,53.89,53.2,57.61,68.09,11.21,15.49,15.04,82.75,6.53,14.33,OTHER,25.83
2024,5.38,42.92,187.05,8.35,9.42,62.01,29.27,68.18,51.99,86.31,56.92,34.73,47.9,17.64,34.35,17.23,8.87,CHILD,36.12
2011,2.69,10.97,247.77,9.62,7.51,80.24,46.24,62.48,85.19,72.9,67.68,35.67,50.66,14.32,36.44,1.74,13.86,FAMILY,18.17
2017,4.98,18.26,214.85,14.08,8.78,85.64,26.32,81.64,69.15,54.66,61.1,26.78,87.93,15.87,84.54,2.6,19.01,FAMILY,10.47
2019,3.12,13.36,69.26,7.14,11.54,82.24,32.88,57.59,83.11,46.86,70.22,13.72,84.75,16.9,25.13,15.36,5.16,CHILD,14.33
2024,1.89,34.02,137.09,11.16,7.01,91.45,21.09,60.95,65.92,77.44,73.2,12.02,136.07,13.84,58.1,8.59,2.6,PREGNANCY,16.59
2010,5.52,18.65,250.55,9.36,5.89,54.47,38.36,58.9,77.79,63.69,51.57,9.36,5.76,8.28,76.52,16.85,12.96,CHILD,51.74
2009,2.61,44.93,125.0,15.1,10.48,91.42,49.72,44.21,70.32,66.27,74.07,9.57,95.21,10.09,71.28,10.0,12.69,CHILD,3.7
2008,7.78,25.29,133.98,12.19,11.99,51.68,36.49,63.38,81.48,53.53,41.45,14.43,57.66,13.06,74.95,15.32,12.35,FAMILY,24.54
2012,0.19,5.64,168.96,15.06,13.42,71.81,54.53,49.06,48.59,36.29,54.33,17.28,13.74,10.02,54.5,7.35,22.79,FAMILY,27.47
2013,0.86,20.22,223.01,8.9,11.3,59.3,16.93,57.38,94.63,70.33,85.58,15.45,118.47,11.57,83.53,8.22,24.87,POSTPARTUM,16.88
2014,2.34,5.79,87.06,9.02,6.5,63.92,46.66,86.66,92.7,79.97,84.8,3.8,65.14,5.62,73.18,2.6,22.48,OTHER,49.85
2006,9.59,15.84,55.78,8.0,12.01,60.58,45.62,38.69,43.33,69.63,84.0,32.77,103.75,13.72,85.1,14.11,12.06,EXPANSION,7.3
2007,3.14,10.43,49.3,11.23,10.14,62.64,51.75,89.86,47.84,77.21,79.79,11.24,96.29,12.24,75.43,7.47,10.15,EXPANSION,29.3
2009,8.58,30.29,50.34,14.6,7.67,56.3,42.12,82.63,67.12,36.61,46.72,41.36,20.18,8.88,76.12,16.0,6.43,PREGNANCY,5.29
2012,2.47,40.36,68.02,7.27,9.25,70.47,30.3,44.07,45.85,64.98,52.83,41.73,21.35,15.6,56.49,8.71,13.9,PREGNANCY,16.33
2022,2.49,8.8,257.26,6.22,6.5,63.65,64.6,80.97,89.51,35.1,79.75,35.2,108.35,14.93,87.88,15.7,0.45,POSTPARTUM,43.43
2020,7.23,10.79,212.46,15.88,7.73,79.9,33.27,72.6,74.91,85.67,52.31,3.05,17.87,11.68,55.91,1.38,0.9,EXPANSION,47.9
2014,4.28,9.19,136.4,9.39,12.05,50.06,41.56,68.79,75.89,36.5,90.08,13.51,58.54,13.52,46.42,14.3,15.61,CHILD,19.87
2024,5.99,20.94,159.56,13.59,11.65,86.17,58.51,48.33,57.25,36.78,50.39,44.36,68.44,3.13,67.35,12.61,8.94,POSTPARTUM,37.25
2018,9.83,16.68,189.78,7.25,5.41,54.36,32.2,63.99,47.09,82.2,56.45,25.52,131.19,13.01,75.55,5.92,18.79,POSTPARTUM,53.67
2009,1.0,31.43,108.59,8.22,7.97,73.58,24.77,48.35,90.74,89.14,83.51,42.2,120.25,5.49,37.21,8.29,4.61,OTHER,30.66
2013,2.69,15.48,113.55,6.1,13.17,75.74,51.48,80.24,48.63,89.95,59.03,13.88,26.91,3.24,62.15,1.7,10.66,OTHER,31.83
2008,9.86,37.41,112.2,9.44,13.28,80.23,50.77,36.11,79.31,38.67,49.12,43.05,55.14,9.96,52.95,7.6,7.59,POSTPARTUM,2.66
2020,0.89,9.9,101.06,13.52,8.69,57.45,62.06,59.61,83.71,71.32,82.09,7.75,84.96,15.04,69.22,11.56,6.58,OTHER,13.08
2007,8.3,31.54,109.42,15.43,9.95,52.68,31.33,63.52,42.82,60.05,72.25,33.76,75.74,15.28,73.0,10.61,11.15,CHILD,54.27
2010,5.39,42.44,190.97,11.58,6.08,90.13,61.33,77.23,63.22,83.72,73.96,9.24,105.24,8.84,71.44,13.12,23.67,EXPANSION,37.5
2005,6.52,6.73,159.02,13.36,7.11,55.28,15.76,61.23,58.02,59.75,92.1,33.62,78.43,13.86,44.4,7.77,15.85,CHILD,40.97
2025,5.57,43.4,139.68,5.54,9.9,61.02,49.92,51.94,78.85,38.25,75.9,3.37,29.8,11.2,76.03,7.81,9.17,OTHER,53.4
2014,3.44,12.38,152.14,14.92,8.8,74.84,57.62,69.43,70.67,37.63,77.56,27.14,18.51,3.5,85.51,10.16,21.36,EXPANSION,36.67
2023,3.24,18.89,117.08,8.14,9.95,67.93,61.58,77.32,42.17,85.2,61.14,44.5,82.65,2.99,47.74,9.31,4.03,POSTPARTUM,19.49
2024,3.87,32.14,79.89,6.21,9.29,63.79,52.48,86.59,89.18,66.13,44.77,19.08,55.7,9.34,71.9,12.39,12.72,PREGNANCY,40.67
2020,7.5,24.39,140.46,13.69,11.67,83.14,20.72,73.84,71.16,50.66,74.96,42.35,114.76,13.88,74.72,16.52,16.44,CHILD,53.87
2018,6.22,39.39,108.89,15.38,7.21,67.77,22.25,53.07,64.69,80.71,60.63,41.06,121.5,16.2,61.47,8.44,12.33,CHILD,37.33
2007,3.3,27.35,42.94,9.06,13.96,66.96,19.52,59.25,87.3,80.86,40.57,17.27,79.86,3.62,67.73,16.21,24.49,OTHER,46.48
2019,2.49,8.06,82.32,5.14,12.12,78.75,63.74,44.88,86.97,39.62,84.47,41.79,103.56,13.02,69.54,10.89,24.18,CHILD,34.69
2015,7.43,20.06,134.23,9.91,13.3,84.83,53.72,44.86,50.86,66.63,93.94,24.52,90.45,13.77,64.73,0.41,17.68,FAMILY,5.74
2024,7.57,10.08,228.74,9.5,13.67,70.17,26.31,82.7,41.29,63.12,92.29,27.57,72.09,16.24,53.28,6.38,12.28,FAMILY,30.64
2015,8.23,42.88,146.96,15.86,6.98,87.3,55.21,65.51,50.16,37.48,92.37,38.24,70.02,3.92,85.8,12.4,23.98,EXPANSION,3.52
2015,7.02,39.54,73.7,10.76,10.31,84.84,25.74,35.25,84.6,73.55,89.71,42.16,89.09,4.31,34.64,16.87,24.82,POSTPARTUM,51.33
2021,8.61,12.46,244.7,8.5,6.16,85.58,19.42,78.27,73.45,46.33,82.8,33.29,69.74,12.58,77.87,8.51,26.63,PREGNANCY,3.78
2017,6.08,42.11,255.16,14.06,7.46,87.85,55.89,37.39,48.76,77.94,50.84,20.43,120.18,14.88,39.63,12.17,26.34,PREGNANCY,2.5
2024,2.55,39.81,239.71,5.44,8.84,52.62,49.03,67.68,92.19,70.73,52.84,30.51,37.4,15.69,32.31,12.39,2.0,CHILD,10.48
2016,5.26,20.72,46.52,6.41,11.84,91.18,20.01,38.35,63.01,68.68,47.11,30.76,76.2,10.94,88.4,8.43,28.3,OTHER,0.32
2018,0.79,10.13,216.13,11.15,8.77,73.51,50.03,51.03,86.57,82.6,81.8,22.93,121.58,10.85,85.99,15.13,17.02,OTHER,33.91
2007,5.82,18.83,95.65,15.61,7.2,67.65,44.04,76.96,56.05,45.45,54.71,37.61,46.25,9.21,40.01,9.99,28.73,EXPANSION,51.3
2023,5.15,26.31,67.44,6.08,8.18,58.81,57.55,43.01,84.93,77.52,43.43,30.43,82.43,3.27,82.47,9.12,5.78,FAMILY,4.62
2017,3.09,25.99,52.3,14.36,9.48,76.17,53.53,54.4,84.24,49.18,69.42,22.74,40.74,6.8,40.01,5.87,25.2,EXPANSION,48.15
2009,4.91,5.98,181.47,8.99,6.07,57.48,59.96,91.95,85.49,52.87,84.33,36.92,32.62,2.83,50.1,5.75,19.98,OTHER,20.31
2016,2.28,25.31,78.83,11.88,7.53,87.28,57.33,35.41,43.97,65.51,59.57,14.84,38.41,3.21,20.97,17.94,21.43,CHILD,24.94
2018,3.88,44.01,97.57,12.32,7.41,77.71,63.38,58.97,70.41,45.22,45.52,6.11,20.68,15.28,37.76,16.25,25.36,FAMILY,21.65
2020,5.57,7.13,168.63,6.74,5.52,73.47,26.28,59.08,82.72,66.83,47.62,42.01,116.28,2.15,28.49,7.92,23.43,OTHER,5.45
2017,8.47,39.84,117.44,9.46,6.92,58.79,38.82,67.18,40.06,39.52,41.16,33.46,26.73,9.63,46.17,13.96,0.3,OTHER,54.83
2014,6.04,8.96,191.67,12.22,13.89,52.39,45.85,91.11,84.6,36.94,81.25,38.42,37.52,7.03,23.68,1.5,23.2,OTHER,14.55
2010,9.56,7.54,112.79,9.26,9.66,88.53,57.39,49.48,78.87,42.09,79.41,28.01,9.19,13.17,61.08,12.6,20.24,EXPANSION,19.19
2009,7.61,29.98,197.63,10.91,12.79,85.42,26.48,64.68,41.57,79.75,83.66,27.87,138.84,12.28,21.52,14.79,28.88,EXPANSION,9.01
2022,5.57,9.52,56.92,12.66,12.52,72.37,26.44,64.47,43.6,50.08,50.31,14.2,24.24,17.99,69.68,1.92,11.71,PREGNANCY,48.66
2009,0.48,15.66,199.15,14.64,6.09,81.21,36.77,51.4,59.21,71.83,41.33,31.37,120.72,16.47,57.22,15.05,23.91,FAMILY,18.66
2005,4.16,43.7,239.13,13.37,13.6,61.35,16.99,76.43,89.94,37.8,60.66,30.17,138.1,15.81,79.1,17.56,11.33,PREGNANCY,22.26
2011,8.65,28.67,111.29,11.78,5.43,66.75,59.49,67.69,73.07,86.02,78.95,18.63,62.17,4.96,77.7,3.65,18.95,PREGNANCY,34.3
2012,0.89,11.35,186.26,9.39,9.38,70.1,63.39,62.1,77.41,47.15,73.43,34.27,104.58,6.32,40.53,17.49,20.29,FAMILY,7.52
2020,6.44,16.02,98.83,13.79,4.7,70.49,36.56,72.58,53.78,82.58,44.36,37.15,102.64,17.24,71.04,4.95,10.44,FAMILY,51.55
2024,3.14,10.34,227.48,11.16,7.48,59.5,17.02,61.23,64.82,38.48,93.47,41.52,120.23,6.62,70.49,4.81,25.61,PREGNANCY,36.36
2005,1.48,31.58,40.73,7.9,9.68,76.5,60.66,62.61,93.62,47.48,63.05,32.08,45.23,2.34,82.11,9.75,24.39,PREGNANCY,14.93
2014,6.17,6.0,235.71,5.71,13.55,68.45,36.8,52.87,47.63,37.51,80.66,41.77,15.37,4.7,48.48,11.68,11.27,PREGNANCY,40.49
2010,8.97,33.14,52.74,7.01,12.82,88.45,52.32,52.62,60.13,85.22,92.95,11.59,26.1,14.48,54.83,8.94,24.82,POSTPARTUM,39.04
2017,8.53,35.93,196.38,11.13,8.1,74.03,21.15,79.1,76.98,54.96,84.55,7.98,52.59,15.34,20.55,14.23,15.71,CHILD,3.67
2024,7.26,38.08,253.09,10.33,11.58,85.24,33.57,76.34,94.66,91.4,56.7,13.38,85.75,14.37,33.83,4.4,27.89,PREGNANCY,6.33
2009,8.36,39.02,126.06,10.57,6.91,52.85,25.01,86.33,56.3,76.3,83.29,10.22,120.66,17.77,83.66,14.79,4.41,EXPANSION,33.91
2022,5.22,6.38,206.47,6.66,6.81,60.49,27.23,53.79,45.34,50.05,56.41,17.41,90.4,6.03,57.2,8.91,4.84,POSTPARTUM,4.05
2014,2.53,10.61,186.13,15.59,9.2,87.54,49.04,73.23,64.43,46.87,60.49,39.41,39.86,17.96,68.14,16.73,16.71,PREGNANCY,13.64
2007,1.62,29.7,147.69,12.12,13.23,54.68,30.43,36.38,62.6,85.02,94.23,44.35,100.33,17.01,48.7,2.32,6.03,EXPANSION,11.95
2007,9.58,32.23,193.2,10.93,5.78,57.44,38.03,54.19,66.5,35.1,57.04,29.21,67.29,10.82,72.58,3.66,25.46,CHILD,33.14
2021,1.17,40.69,254.33,10.52,6.65,53.67,51.15,42.71,85.48,52.87,58.99,33.83,114.21,7.84,80.02,14.35,8.32,POSTPARTUM,7.01
2016,7.37,14.97,138.72,6.07,9.02,81.17,31.49,35.61,92.18,35.56,55.98,35.52,131.97,4.8,73.22,3.33,1.57,POSTPARTUM,46.23
2024,8.83,26.19,247.12,7.85,11.45,81.13,20.38,85.31,46.1,53.32,73.68,11.94,67.11,17.76,57.94,12.8,21.05,OTHER,49.58
2014,9.8,14.74,206.61,6.48,6.21,80.06,51.38,54.25,42.13,69.78,63.08,4.6,128.73,11.04,51.7,0.49,8.91,OTHER,30.09
2019,5.44,5.7,172.05,8.62,13.31,66.48,60.19,59.64,41.36,64.88,83.49,30.18,139.68,15.68,26.1,17.31,5.73,PREGNANCY,53.34
2023,9.79,6.96,229.45,5.66,7.69,63.37,40.9,39.7,62.08,45.74,52.64,44.95,56.72,8.59,50.36,7.06,15.86,OTHER,14.62
2020,5.56,35.84,85.31,8.34,8.47,53.22,27.34,71.84,47.04,50.77,75.69,4.9,111.96,17.95,78.52,2.23,8.67,CHILD,38.66
2013,0.52,42.28,68.14,7.41,11.39,70.18,20.89,79.02,65.3,81.64,71.65,22.68,20.72,15.29,75.69,15.42,5.36,PREGNANCY,28.77
2010,5.09,20.26,139.43,10.37,11.36,59.81,55.63,83.89,55.16,45.1,93.49,43.0,137.8,16.87,23.84,12.88,7.55,FAMILY,13.33
2010,5.69,17.66,42.16,6.92,8.56,63.1,18.19,77.65,90.13,80.85,89.15,22.97,118.03,15.42,48.46,1.0,4.34,POSTPARTUM,29.17
2010,7.98,29.01,135.99,7.15,12.27,61.35,16.15,74.35,49.73,61.38,88.97,26.39,6.16,6.1,78.6,11.55,13.3,EXPANSION,33.82
2022,8.99,26.91,84.34,5.19,12.87,56.93,38.26,81.83,69.96,69.08,91.0,18.15,24.02,10.21,55.02,5.45,19.09,PREGNANCY,46.44
2009,5.63,17.37,41.82,11.82,12.78,50.46,63.15,90.59,81.89,79.49,71.75,38.13,70.61,3.26,53.35,0.45,9.24,CHILD,38.39
2011,3.76,40.63,252.91,15.39,12.76,83.2,56.31,38.91,55.94,47.76,62.53,25.73,15.27,8.54,78.39,12.33,27.05,EXPANSION,20.36
2018,8.97,44.61,160.9,14.74,8.1,52.01,28.39,73.88,76.08,82.98,83.53,16.08,11.66,13.83,42.61,12.19,18.24,PREGNANCY,24.76
2008,1.34,30.45,63.34,9.89,7.94,65.65,36.12,54.4,80.32,72.73,89.44,24.27,97.55,8.25,26.66,13.31,10.01,OTHER,32.91
2024,4.71,26.86,158.01,11.07,9.5,77.5,34.17,62.08,46.32,83.88,49.97,18.58,37.45,4.3,45.57,10.42,17.67,EXPANSION,10.22
2021,3.62,12.97,113.35,10.51,5.95,91.96,36.19,58.38,86.41,79.48,82.22,35.2,128.94,10.89,77.81,8.45,26.66,POSTPARTUM,14.03
