tech_infra_project_start_date,tech_infra_project_id,tech_infra_project_type_code,tech_infra_funding_source_code,tech_infra_total_budget_usd,tech_infra_matching_funds_usd,tech_infra_miles_fiber_planned,tech_infra_miles_fiber_completed,tech_infra_locations_planned,tech_infra_locations_connected,tech_infra_construction_status_code,tech_infra_permits_issued_count,tech_infra_right_of_way_delay_days,tech_infra_contractor_id,tech_infra_workforce_local_hire_pct,tech_infra_equipment_supply_risk_score,tech_infra_open_access_policy_flag,tech_infra_community_anchor_sites_connected,tech_infra_performance_milestone_met_flag,tech_infra_project_closeout_date
2016-01-15,PRJ0000000015,DIGITAL_EQUITY,FEDERAL_GRANT,4566195731.45,1216104429.97,179.839,52.58,746580,675320,PLANNING,2300,587,CTR000000015,29.78,0.679,0,13193,0,2016-11-05
2016-01-16,PRJ0000000016,SAT_BACKHAUL,FEDERAL_GRANT,3305988005.77,1421419833.32,3233.006,1707.198,25899,16525,COMPLETE,882,280,CTR000000016,4.75,0.6886,0,14765,0,2020-10-07
2016-01-17,PRJ0000000017,SAT_BACKHAUL,FEDERAL_GRANT,5440571345.19,43448102.93,1544.315,807.959,781649,627500,CONSTRUCTION,474,16,CTR000000017,9.47,0.8048,0,3066,1,2017-07-17
2016-01-18,PRJ0000000018,DIGITAL_EQUITY,LOCAL_BOND,2943803210.34,666558359.49,1196.242,364.327,581447,390576,CONSTRUCTION,5594,188,CTR000000018,26.1,0.4104,1,4098,0,2020-08-31
2016-01-19,PRJ0000000019,FIBER_BUILD,STATE_MATCH,571297701.89,304491920.21,26.464,11.807,729139,586860,PERMITTING,1992,650,CTR000000019,10.25,0.8401,1,7352,0,2019-10-27
2016-01-20,PRJ0000000020,FIBER_BUILD,LOCAL_BOND,3558486309.95,459728746.82,237.501,17.827,765791,368694,PLANNING,2963,256,CTR000000020,64.17,0.3123,1,5350,1,2017-08-29
2016-01-21,PRJ0000000021,FIBER_BUILD,FEDERAL_GRANT,457147363.72,104639262.97,2136.827,421.897,129511,83275,CONSTRUCTION,4138,198,CTR000000021,68.99,0.9072,0,2438,1,2018-09-07
2016-01-22,PRJ0000000022,PUBLIC_WIFI,LOCAL_BOND,5480389263.13,1755987750.87,2766.465,246.633,203152,50972,CONSTRUCTION,849,666,CTR000000022,64.82,0.9254,0,11965,0,2019-11-11
2016-01-23,PRJ0000000023,FIBER_BUILD,PRIVATE_PARTNER,4165686447.75,2137460484.7,1522.231,1420.039,484783,65991,CONSTRUCTION,5835,476,CTR000000023,76.44,0.5091,0,10902,1,2020-12-04
2016-01-24,PRJ0000000024,MIDDLE_MILE,FEDERAL_GRANT,216415542.38,28922975.91,1604.815,1146.838,10074,8495,PLANNING,4839,91,CTR000000024,83.74,0.5964,1,7210,0,2020-05-17
2016-01-25,PRJ0000000025,FIBER_BUILD,LOCAL_BOND,1948726598.41,633118078.43,2721.87,378.011,497916,387948,CLOSED_OUT,727,507,CTR000000025,92.57,0.468,0,845,1,2016-12-19
2016-01-26,PRJ0000000026,FIBER_BUILD,PHILANTHROPY,4373558325.75,147815807.58,2552.899,2606.675,123062,34590,COMPLETE,1793,654,CTR000000026,23.28,0.234,0,247,0,2018-08-15
2016-01-27,PRJ0000000027,FIBER_BUILD,FEDERAL_GRANT,37846929.14,20265768.4,1209.754,933.7,712579,241611,CONSTRUCTION,5589,74,CTR000000027,37.86,0.8931,0,1326,1,2018-04-03
2016-01-28,PRJ0000000028,MIDDLE_MILE,PHILANTHROPY,2958464820.16,761054855.62,2082.687,112.615,533305,479020,COMPLETE,4149,56,CTR000000028,25.21,0.7903,0,13135,1,2018-05-09
2016-01-29,PRJ0000000029,MIDDLE_MILE,FEDERAL_GRANT,2894397997.24,290646537.67,3645.961,3499.264,278212,114245,CONSTRUCTION,3756,641,CTR000000029,31.69,0.3455,0,14716,0,2019-01-12
2016-01-30,PRJ0000000030,FIBER_BUILD,LOCAL_BOND,4378770353.26,2452016319.33,2719.819,1539.112,575330,23341,CLOSED_OUT,1253,487,CTR000000030,16.06,0.2194,0,4956,1,2018-11-10
2016-01-31,PRJ0000000031,DIGITAL_EQUITY,PRIVATE_PARTNER,1171602903.52,179434349.63,1469.193,840.933,60093,55288,CONSTRUCTION,3258,454,CTR000000031,94.17,0.6046,0,4354,1,2019-01-28
2016-02-01,PRJ0000000032,FIBER_BUILD,FEDERAL_GRANT,3890778241.19,11025782.06,3168.415,338.486,146183,116234,CLOSED_OUT,1417,650,CTR000000032,57.97,0.9189,0,5533,0,2021-03-09
2016-02-02,PRJ0000000033,FIBER_BUILD,LOCAL_BOND,1532982713.15,820832945.61,3277.376,2040.68,304416,80259,CONSTRUCTION,1831,314,CTR000000033,34.27,0.0386,0,11141,1,2020-04-04
2016-02-03,PRJ0000000034,TOWER_BUILD,PRIVATE_PARTNER,5064109322.55,1324376428.13,1762.485,669.678,412630,157650,PLANNING,4753,209,CTR000000034,93.06,0.4235,0,12915,1,2021-05-09
2016-02-04,PRJ0000000035,FIBER_BUILD,LOCAL_BOND,3692424134.28,906422195.82,1173.477,78.046,496908,274325,PAUSED,4131,497,CTR000000035,34.43,0.792,0,12226,0,2017-02-12
2016-02-05,PRJ0000000036,MIDDLE_MILE,FEDERAL_GRANT,3797097325.47,758142583.36,3100.735,1621.415,538302,379914,PLANNING,4094,588,CTR000000036,5.21,0.1078,0,14355,0,2018-11-26
2016-02-06,PRJ0000000037,SAT_BACKHAUL,FEDERAL_GRANT,5177250460.37,1111897372.88,510.257,123.385,54178,25643,PLANNING,2043,114,CTR000000037,12.04,0.4183,0,1702,0,2018-08-04
2016-02-07,PRJ0000000038,PUBLIC_WIFI,PRIVATE_PARTNER,3364974357.12,1766269212.26,2661.508,1393.734,280936,159805,PLANNING,960,156,CTR000000038,52.82,0.8405,0,14386,0,2020-07-16
2016-02-08,PRJ0000000039,PUBLIC_WIFI,FEDERAL_GRANT,1986026401.07,355853859.55,952.746,314.75,1312,1148,PLANNING,4106,4,CTR000000039,79.25,0.4742,1,10161,0,2016-06-27
2016-02-09,PRJ0000000040,MIDDLE_MILE,PRIVATE_PARTNER,4952336053.85,1707984324.74,2575.883,2227.972,701547,242398,CONSTRUCTION,1454,396,CTR000000040,42.85,0.5483,0,7099,0,2017-11-02
2016-02-10,PRJ0000000041,FIBER_BUILD,PRIVATE_PARTNER,1507802537.21,145090196.91,3838.156,4014.762,735081,689866,CONSTRUCTION,538,516,CTR000000041,90.39,0.9504,0,71,1,2021-12-08
2016-02-11,PRJ0000000042,TOWER_BUILD,ARPA,3349658404.22,502508179.29,3394.599,2613.292,428981,51549,PLANNING,1050,689,CTR000000042,73.62,0.6182,0,8919,1,2021-11-11
2016-02-12,PRJ0000000043,DIGITAL_EQUITY,PRIVATE_PARTNER,5176901405.26,1904457246.87,3210.512,1917.185,7376,6348,PAUSED,4861,301,CTR000000043,37.35,0.8611,0,10527,0,2021-12-11
2016-02-13,PRJ0000000044,PUBLIC_WIFI,STATE_MATCH,5887608485.55,1849633649.22,1400.473,583.833,735474,180850,CONSTRUCTION,2069,262,CTR000000044,34.86,0.2691,1,8794,1,2021-07-17
2016-02-14,PRJ0000000045,FIBER_BUILD,ARPA,3097856856.02,458105189.03,3911.778,2042.875,281533,151475,CONSTRUCTION,5436,541,CTR000000045,75.42,0.9811,1,11164,1,2022-02-16
2016-02-15,PRJ0000000046,MIDDLE_MILE,FEDERAL_GRANT,5157965259.47,558758877.2,2379.152,1857.133,382214,43225,CLOSED_OUT,3306,679,CTR000000046,66.01,0.7684,0,1575,1,2019-07-20
2016-02-16,PRJ0000000047,FIBER_BUILD,FEDERAL_GRANT,2788666611.04,476216741.92,3895.203,1110.891,566667,287459,CONSTRUCTION,3199,250,CTR000000047,25.38,0.3883,0,6000,1,2019-07-01
2016-02-17,PRJ0000000048,FIBER_BUILD,FEDERAL_GRANT,3845314733.13,408057683.72,1749.612,975.554,761606,330982,PAUSED,3682,201,CTR000000048,35.1,0.774,0,8530,1,2021-02-11
2016-02-18,PRJ0000000049,DIGITAL_EQUITY,PRIVATE_PARTNER,4345979644.55,2382020943.33,3646.289,358.352,627443,108168,PAUSED,2188,174,CTR000000049,78.74,0.0762,0,1144,1,2019-07-03
2016-02-19,PRJ0000000050,MIDDLE_MILE,LOCAL_BOND,4222918995.39,170974903.35,1188.063,738.565,610389,206952,PAUSED,4162,484,CTR000000050,42.01,0.3152,1,7217,1,2018-02-01
2016-02-20,PRJ0000000051,PUBLIC_WIFI,FEDERAL_GRANT,5467806503.23,2907994775.92,3467.958,2118.158,34401,20444,COMPLETE,621,498,CTR000000051,97.3,0.7155,0,13760,0,2018-09-22
2016-02-21,PRJ0000000052,TOWER_BUILD,FEDERAL_GRANT,1397234657.54,774332480.99,1214.248,469.319,656341,519451,PERMITTING,505,538,CTR000000052,23.61,0.941,0,12114,1,2020-10-01
2016-02-22,PRJ0000000053,FIBER_BUILD,FEDERAL_GRANT,512026162.99,97847535.66,206.24,167.901,156880,44508,CONSTRUCTION,1084,271,CTR000000053,47.26,0.705,0,384,0,2018-04-19
2016-02-23,PRJ0000000054,MIDDLE_MILE,STATE_MATCH,4558169482.68,2695787103.85,2627.228,2221.172,324931,168730,CLOSED_OUT,4858,505,CTR000000054,27.16,0.9622,0,8527,1,2018-02-24
2016-02-24,PRJ0000000055,FIBER_BUILD,FEDERAL_GRANT,450724350.81,137245174.95,3835.303,3219.967,226977,73110,CONSTRUCTION,4378,392,CTR000000055,88.96,0.8956,0,12296,0,2018-12-29
2016-02-25,PRJ0000000056,PUBLIC_WIFI,LOCAL_BOND,3662622841.63,2127731331.02,1980.74,1251.399,447441,285349,CLOSED_OUT,5766,556,CTR000000056,59.92,0.7744,1,9853,1,2019-12-21
2016-02-26,PRJ0000000057,PUBLIC_WIFI,PRIVATE_PARTNER,3022197337.92,1472275440.95,1525.771,486.559,253991,250544,PLANNING,4958,679,CTR000000057,64.59,0.9006,0,10854,1,2018-01-06
2016-02-27,PRJ0000000058,MIDDLE_MILE,LOCAL_BOND,1770208664.31,254670121.34,3779.366,2384.421,605059,571479,PERMITTING,3971,222,CTR000000058,8.39,0.7036,0,11294,1,2016-07-27
2016-02-28,PRJ0000000059,FIBER_BUILD,PHILANTHROPY,700609667.69,240510714.84,911.448,225.497,793204,460701,CONSTRUCTION,4270,706,CTR000000059,82.26,0.4341,0,5699,1,2022-02-14
2016-02-29,PRJ0000000060,DATA_CENTER,PRIVATE_PARTNER,203874003.72,66707288.51,1590.412,1389.648,627130,341336,COMPLETE,1178,312,CTR000000060,21.61,0.4417,1,1166,0,2018-11-25
2016-03-01,PRJ0000000061,PUBLIC_WIFI,FEDERAL_GRANT,5308171727.86,2882161369.34,2259.97,2205.472,381587,287585,CLOSED_OUT,0,587,CTR000000061,89.09,0.0946,0,3723,1,2019-09-18
2016-03-02,PRJ0000000062,TOWER_BUILD,STATE_MATCH,896119424.1,494728163.96,1506.993,257.018,655696,105358,PERMITTING,703,641,CTR000000062,53.05,0.4057,1,1827,1,2021-04-19
2016-03-03,PRJ0000000063,MIDDLE_MILE,PRIVATE_PARTNER,4609683063.95,2082020345.11,2048.068,1471.308,52041,23065,COMPLETE,2485,598,CTR000000063,2.08,0.9125,1,1709,0,2018-05-01
2016-03-04,PRJ0000000064,MIDDLE_MILE,PRIVATE_PARTNER,3168046618.78,1300862668.51,2779.034,968.613,149041,107743,CONSTRUCTION,2690,195,CTR000000064,80.22,0.2926,0,4026,1,2017-10-11
2016-03-05,PRJ0000000065,PUBLIC_WIFI,LOCAL_BOND,4633750656.41,2033790163.74,3252.87,1056.583,297116,62230,PLANNING,5902,200,CTR000000065,94.81,0.1168,0,3298,1,2021-08-29
2016-03-06,PRJ0000000066,DIGITAL_EQUITY,ARPA,5568138390.03,495759823.9,2290.494,69.744,372069,154473,PERMITTING,1452,335,CTR000000066,85.92,0.6455,0,10747,0,2017-05-27
2016-03-07,PRJ0000000067,FIBER_BUILD,PRIVATE_PARTNER,3193740787.97,308515904.93,1657.642,1625.716,26624,7047,PLANNING,956,648,CTR000000067,70.88,0.4847,0,8963,1,2020-11-15
2016-03-08,PRJ0000000068,MIDDLE_MILE,ARPA,3238933217.31,1667148805.09,465.767,238.026,163259,40040,PLANNING,5894,375,CTR000000068,63.93,0.4366,1,9630,1,2016-08-19
2016-03-09,PRJ0000000069,FIBER_BUILD,PHILANTHROPY,318273931.25,54696196.18,3778.139,1962.569,211753,210967,CONSTRUCTION,2082,678,CTR000000069,4.18,0.5269,0,9769,1,2020-05-14
2016-03-10,PRJ0000000070,SAT_BACKHAUL,PRIVATE_PARTNER,2741521750.91,850249128.49,2046.747,396.734,179374,115426,CLOSED_OUT,3147,2,CTR000000070,98.45,0.0312,0,11443,0,2021-03-15
2016-03-11,PRJ0000000071,FIBER_BUILD,FEDERAL_GRANT,2861423.77,455747.66,1694.221,490.008,603039,254089,PERMITTING,2885,24,CTR000000071,21.99,0.613,0,9770,1,2017-11-13
2016-03-12,PRJ0000000072,SAT_BACKHAUL,FEDERAL_GRANT,1796619030.85,697006930.67,3338.958,796.918,245569,28695,COMPLETE,4304,166,CTR000000072,11.79,0.0015,0,487,1,2018-01-15
2016-03-13,PRJ0000000073,FIBER_BUILD,LOCAL_BOND,507495726.37,277320054.6,2354.704,882.631,341814,315785,CONSTRUCTION,337,675,CTR000000073,39.06,0.2976,0,8131,1,2017-08-01
2016-03-14,PRJ0000000074,FIBER_BUILD,STATE_MATCH,1742680344.41,159080936.16,2607.487,929.458,525639,519272,PERMITTING,989,250,CTR000000074,6.09,0.7279,1,12981,0,2017-07-06
2016-03-15,PRJ0000000075,DIGITAL_EQUITY,PRIVATE_PARTNER,208041115.51,32637590.51,2623.186,1451.473,433345,387018,CLOSED_OUT,2519,475,CTR000000075,73.51,0.1813,0,3279,1,2019-06-03
2016-03-16,PRJ0000000076,MIDDLE_MILE,PHILANTHROPY,5905533252.35,2261288866.52,1508.995,807.02,585305,293979,CONSTRUCTION,4794,71,CTR000000076,66.94,0.4436,0,1037,1,2017-06-09
2016-03-17,PRJ0000000077,DIGITAL_EQUITY,PRIVATE_PARTNER,2065212322.7,583820058.11,3907.636,4038.671,699305,585042,COMPLETE,1003,398,CTR000000077,57.87,0.2059,0,1819,1,2020-04-09
2016-03-18,PRJ0000000078,FIBER_BUILD,PRIVATE_PARTNER,2667221624.72,1092770542.07,1536.507,585.469,744071,474609,PLANNING,5415,291,CTR000000078,23.09,0.0886,1,1625,0,2021-03-27
2016-03-19,PRJ0000000079,DATA_CENTER,PRIVATE_PARTNER,3676452740.71,58092160.51,3337.274,3072.703,471971,76593,COMPLETE,3871,133,CTR000000079,12.03,0.8413,1,7665,1,2021-01-23
2016-03-20,PRJ0000000080,FIBER_BUILD,FEDERAL_GRANT,5654790422.87,2808782029.36,138.953,83.004,312358,305999,PLANNING,5648,174,CTR000000080,25.17,0.7957,0,3627,1,2020-10-11
2016-03-21,PRJ0000000081,FIBER_BUILD,FEDERAL_GRANT,3326901190.33,1293157603.95,3562.102,133.31,358741,288253,COMPLETE,4845,529,CTR000000081,1.8,0.7562,1,11046,0,2017-09-24
2016-03-22,PRJ0000000082,MIDDLE_MILE,STATE_MATCH,1027916639.3,597603546.16,956.225,454.522,602444,129471,PERMITTING,3747,154,CTR000000082,22.36,0.5115,1,14409,1,2018-07-02
2016-03-23,PRJ0000000083,DIGITAL_EQUITY,PRIVATE_PARTNER,4990825862.62,2014214263.86,2399.787,522.304,224220,72533,COMPLETE,4721,235,CTR000000083,9.62,0.7233,0,7501,0,2019-05-01
2016-03-24,PRJ0000000084,MIDDLE_MILE,PRIVATE_PARTNER,2615716200.5,134808814.06,2005.36,645.685,94716,20417,CONSTRUCTION,4649,6,CTR000000084,15.15,0.5436,0,7963,1,2018-01-09
2016-03-25,PRJ0000000085,TOWER_BUILD,PRIVATE_PARTNER,2271217724.44,168237329.08,3224.675,87.502,761167,68983,PLANNING,4749,322,CTR000000085,38.11,0.2114,0,8261,1,2018-10-01
2016-03-26,PRJ0000000086,FIBER_BUILD,ARPA,4491160177.97,1810821865.5,1460.67,165.438,405922,21716,PLANNING,2875,30,CTR000000086,46.12,0.8832,1,9894,1,2019-03-31
2016-03-27,PRJ0000000087,MIDDLE_MILE,STATE_MATCH,3462696855.68,1613452579.19,3143.026,1855.735,135791,7085,PERMITTING,898,10,CTR000000087,95.64,0.3113,1,963,1,2018-04-14
2016-03-28,PRJ0000000088,FIBER_BUILD,FEDERAL_GRANT,4475924589.41,2488964400.16,1161.471,384.161,313812,2099,PLANNING,2906,581,CTR000000088,63.13,0.4599,0,3804,0,2019-03-24
2016-03-29,PRJ0000000089,DIGITAL_EQUITY,STATE_MATCH,3713074362.15,2163771138.95,1964.68,79.792,376538,144592,COMPLETE,3986,658,CTR000000089,17.31,0.0573,0,12402,0,2021-09-09
2016-03-30,PRJ0000000090,DIGITAL_EQUITY,ARPA,5051271669.92,1743559685.02,1287.384,73.005,101318,48149,COMPLETE,3637,80,CTR000000090,60.62,0.4647,0,141,1,2018-11-18
2016-03-31,PRJ0000000091,FIBER_BUILD,FEDERAL_GRANT,1240597712.89,623857254.04,1417.377,916.281,67167,14804,COMPLETE,3342,444,CTR000000091,0.05,0.5355,1,5119,1,2021-06-18
2016-04-01,PRJ0000000092,DATA_CENTER,ARPA,503938779.9,144092980.4,3336.813,560.826,7281,5352,PERMITTING,5271,131,CTR000000092,79.35,0.6417,1,3610,1,2020-03-31
2016-04-02,PRJ0000000093,FIBER_BUILD,FEDERAL_GRANT,3914865947.27,1832078015.71,3491.141,2724.516,668960,398645,PLANNING,5468,100,CTR000000093,5.04,0.7456,1,12009,1,2021-06-30
2016-04-03,PRJ0000000094,DIGITAL_EQUITY,PRIVATE_PARTNER,238233427.31,94089821.33,709.905,222.691,166138,111427,COMPLETE,1820,635,CTR000000094,39.94,0.2648,1,8253,1,2019-01-20
2016-04-04,PRJ0000000095,FIBER_BUILD,FEDERAL_GRANT,2838830620.77,1230841670.24,2817.25,836.627,473729,56805,PLANNING,596,303,CTR000000095,28.65,0.7895,1,12674,0,2020-02-18
2016-04-05,PRJ0000000096,DIGITAL_EQUITY,PRIVATE_PARTNER,238749574.95,46842887.8,1965.018,7.622,732278,682492,PERMITTING,5584,209,CTR000000096,64.38,0.5824,0,7777,0,2020-10-07
2016-04-06,PRJ0000000097,DATA_CENTER,FEDERAL_GRANT,809966048.34,262907921.28,3564.986,178.008,644550,242458,PLANNING,1925,126,CTR000000097,2.75,0.1812,0,1451,0,2022-04-07
2016-04-07,PRJ0000000098,DATA_CENTER,STATE_MATCH,748750493.66,120199880.0,1898.895,1051.942,631978,523560,PAUSED,3804,648,CTR000000098,56.12,0.2779,0,13992,1,2019-12-13
2016-04-08,PRJ0000000099,SAT_BACKHAUL,LOCAL_BOND,4916334467.15,2095008803.84,3915.689,2657.253,737564,671033,COMPLETE,4016,45,CTR000000099,57.73,0.0953,0,12708,0,2019-06-06
2016-04-09,PRJ0000000100,DIGITAL_EQUITY,FEDERAL_GRANT,986202873.64,416034515.71,3155.364,1277.683,98031,65579,COMPLETE,3473,50,CTR000000100,0.19,0.4724,0,10060,0,2017-05-23
2016-04-10,PRJ0000000101,PUBLIC_WIFI,FEDERAL_GRANT,2744259140.15,1259251403.28,1630.133,43.488,749726,370226,COMPLETE,1921,667,CTR000000101,53.74,0.948,0,89,1,2018-11-26
2016-04-11,PRJ0000000102,FIBER_BUILD,FEDERAL_GRANT,2298300768.75,1040967902.11,3529.992,593.834,137328,58266,PERMITTING,3881,159,CTR000000102,62.19,0.1032,1,3528,0,2019-11-14
2016-04-12,PRJ0000000103,FIBER_BUILD,PRIVATE_PARTNER,5699458171.87,1231879880.07,1321.853,563.955,580665,478181,COMPLETE,2689,464,CTR000000103,71.77,0.926,0,8564,1,2019-11-24
2016-04-13,PRJ0000000104,MIDDLE_MILE,STATE_MATCH,994910771.79,581945023.48,1945.633,667.904,206942,95640,COMPLETE,1425,409,CTR000000104,20.59,0.6414,0,14350,1,2021-10-11
2016-04-14,PRJ0000000105,FIBER_BUILD,LOCAL_BOND,1783242184.67,493185415.57,2003.194,1818.645,180939,61149,COMPLETE,2419,634,CTR000000105,12.84,0.271,1,3023,1,2020-08-20
2016-04-15,PRJ0000000106,DIGITAL_EQUITY,PRIVATE_PARTNER,442934799.96,136170523.75,1157.79,788.967,465612,2601,COMPLETE,3690,161,CTR000000106,59.81,0.5704,1,11839,0,2020-08-01
2016-04-16,PRJ0000000107,PUBLIC_WIFI,STATE_MATCH,4999507336.16,617651102.33,1079.541,179.87,778228,436050,CONSTRUCTION,4559,248,CTR000000107,10.73,0.6526,1,8402,0,2019-10-14
2016-04-17,PRJ0000000108,DIGITAL_EQUITY,FEDERAL_GRANT,1566103166.26,825720850.21,60.511,43.145,47429,44490,COMPLETE,2255,567,CTR000000108,59.18,0.6213,1,2923,1,2021-07-05
2016-04-18,PRJ0000000109,MIDDLE_MILE,FEDERAL_GRANT,2183562175.17,864102184.09,1960.597,179.357,597611,581149,PLANNING,5872,266,CTR000000109,90.54,0.4122,0,9926,1,2021-08-15
2016-04-19,PRJ0000000110,FIBER_BUILD,ARPA,2919462627.27,1102122482.23,1876.411,481.29,529953,147482,COMPLETE,1792,127,CTR000000110,28.56,0.4801,1,7415,1,2021-07-05
2016-04-20,PRJ0000000111,DIGITAL_EQUITY,FEDERAL_GRANT,3808332809.37,617420001.7,3302.282,1734.046,579793,142147,CONSTRUCTION,1245,462,CTR000000111,24.15,0.7051,1,2491,0,2019-06-29
2016-04-21,PRJ0000000112,FIBER_BUILD,STATE_MATCH,130691910.2,46857686.42,940.298,555.756,653702,47624,PAUSED,3210,657,CTR000000112,86.58,0.1255,0,4235,1,2020-12-25
2016-04-22,PRJ0000000113,SAT_BACKHAUL,PRIVATE_PARTNER,2169867111.02,1285910778.01,1601.756,1348.684,121251,59300,CONSTRUCTION,2894,626,CTR000000113,9.78,0.1112,1,12814,1,2018-01-06
2016-04-23,PRJ0000000114,DATA_CENTER,FEDERAL_GRANT,5103758651.9,1743794827.73,3850.78,1001.869,194991,99832,PERMITTING,5767,683,CTR000000114,83.85,0.7643,1,2534,0,2021-09-30
2016-04-24,PRJ0000000115,DIGITAL_EQUITY,LOCAL_BOND,3716492953.62,952627225.36,3696.835,2589.12,254198,31748,COMPLETE,5504,213,CTR000000115,68.61,0.5551,1,7444,1,2017-06-11
2016-04-25,PRJ0000000116,PUBLIC_WIFI,LOCAL_BOND,2266852259.78,716696564.63,1816.681,444.312,221404,48614,COMPLETE,3164,503,CTR000000116,74.66,0.7077,0,8307,0,2016-09-09
2016-04-26,PRJ0000000117,FIBER_BUILD,LOCAL_BOND,1612077763.46,869451646.87,2759.422,1568.475,555049,459160,CLOSED_OUT,4648,613,CTR000000117,36.02,0.8681,0,3976,0,2020-04-27
2016-04-27,PRJ0000000118,DATA_CENTER,FEDERAL_GRANT,4868593233.45,2366966526.25,3673.129,1119.467,72850,56195,PERMITTING,5172,631,CTR000000118,81.06,0.1692,0,8689,1,2018-11-13
2016-04-28,PRJ0000000119,MIDDLE_MILE,LOCAL_BOND,2522997365.98,1144679486.73,1014.388,623.733,412559,206032,CONSTRUCTION,3769,373,CTR000000119,68.9,0.7948,1,9732,1,2019-06-30
2016-04-29,PRJ0000000120,DIGITAL_EQUITY,FEDERAL_GRANT,275344311.21,59953022.59,2683.813,2440.307,669012,102717,PAUSED,4884,604,CTR000000120,8.49,0.1221,0,3679,0,2020-08-03
2016-04-30,PRJ0000000121,MIDDLE_MILE,FEDERAL_GRANT,4569019549.29,1959599313.19,3656.259,1035.359,378417,328971,PLANNING,5112,210,CTR000000121,61.89,0.4736,0,9629,1,2016-09-08
2016-05-01,PRJ0000000122,FIBER_BUILD,PHILANTHROPY,3660888056.68,389721999.88,1801.077,68.369,381662,157535,COMPLETE,3073,584,CTR000000122,69.65,0.0121,0,11976,1,2018-08-11
2016-05-02,PRJ0000000123,FIBER_BUILD,LOCAL_BOND,2675815615.88,1010333593.74,2420.495,1203.726,20246,4310,PERMITTING,2337,414,CTR000000123,51.2,0.7666,1,6786,1,2019-07-18
