imm_legal_admission_fiscal_year,imm_legal_visa_category_code,imm_legal_country_of_chargeability,imm_legal_consulate_post_code,imm_legal_applications_received,imm_legal_applications_approved,imm_legal_applications_denied,imm_legal_processing_time_days_median,imm_legal_priority_date_backlog_months,imm_legal_adjustment_of_status_flag,imm_legal_principal_applicant_flag,imm_legal_derivative_count,imm_legal_employment_based_indicator,imm_legal_family_based_indicator,imm_legal_humanitarian_indicator,imm_legal_inadmissibility_ground_code,imm_legal_waiver_granted_flag,imm_legal_age_at_admission,imm_legal_intended_state_destination_code,imm_legal_data_extract_date
2013,B2,CAN,INAMD,14395,12242,2845,420,20,1,0,5,1,1,1,212E,0,22,HP,2025-06-15
2015,REF,SGP,INHYD,3235,8464,3768,31,86,1,1,6,0,0,1,212C,0,64,KL,2025-06-22
2020,L1,NPL,INBLR,15061,8230,2766,322,31,1,1,0,0,0,1,212B,1,21,AN,2025-05-30
2023,E1,GBR,INMUM,16935,2779,2513,282,7,1,0,2,0,1,1,212C,1,63,JH,2025-06-21
2025,O1,SGP,INCHN,98,16111,98,395,94,0,1,6,1,0,1,NONE,1,67,UK,2025-03-22
2013,H4,SGP,INHYD,20000,21659,1265,450,100,0,0,2,1,0,1,NONE,0,57,OD,2025-12-02
2021,EB2,AUS,INAMD,15223,22,157,433,15,1,0,6,0,0,1,212C,1,27,MP,2025-08-13
2020,B1,MMR,INAMD,19489,17663,2657,63,39,1,1,3,0,1,1,212B,0,77,PY,2025-12-25
2021,J1,SAU,INDEL,16820,8210,553,374,105,1,1,4,1,0,1,212B,0,67,DD,2025-02-04
2016,J1,MMR,INAMD,1019,20727,650,348,26,0,1,6,1,1,0,212F,1,74,MN,2025-12-24
2013,SIV,BTN,INMUM,14603,15268,3866,310,103,0,1,5,0,1,0,212D,0,3,RJ,2025-07-07
2015,J1,PAK,INKOL,5870,5793,2967,380,104,1,1,4,0,0,1,212A,1,0,AS,2025-08-12
2023,DV,ARE,INKOL,14342,12806,2274,118,17,1,1,2,1,0,1,NONE,1,25,HR,2025-05-11
2023,K1,LKA,INAMD,3102,18972,2470,12,34,0,0,4,0,1,0,212B,1,32,GA,2025-12-17
2018,DV,USA,INDEL,11659,15057,3143,285,112,1,1,6,1,1,0,212E,1,80,AN,2025-11-07
2023,E1,SAU,INHYD,23831,1905,2290,388,51,1,0,5,1,1,0,212F,0,26,OD,2025-01-09
2024,H1B,JPN,INMUM,2352,7080,2577,19,14,0,1,5,0,1,1,NONE,1,41,MZ,2025-03-10
2019,SIV,AUS,INDEL,2333,16351,3660,309,62,0,1,1,0,1,0,212A,0,68,JH,2025-01-28
2014,SIV,BTN,INHYD,15435,7864,1068,166,52,0,1,4,0,0,0,212E,0,70,DL,2025-08-22
2025,CR1,MDV,INMUM,9849,13470,1495,160,90,0,1,1,1,1,0,NONE,1,63,MP,2025-01-31
2012,EB2,DEU,INAMD,15670,9511,2418,187,80,0,1,2,1,0,1,212F,0,24,UK,2025-11-11
2015,K1,SGP,INKOL,20800,18742,1878,532,103,1,0,2,1,1,0,212F,1,71,KL,2025-08-20
2013,J1,DEU,INMUM,172,9288,2699,186,65,0,0,2,0,0,1,212B,1,3,AR,2025-12-04
2019,F1,MMR,INAMD,23233,20162,2736,383,112,0,0,3,0,1,0,212D,1,11,JH,2025-02-23
2015,K1,ARE,INBLR,9522,21214,733,174,113,0,1,4,1,0,0,212C,0,57,RJ,2025-06-24
2013,L1,ARE,INCHN,3777,9159,1950,220,30,0,1,0,1,0,1,212F,1,10,TN,2025-10-25
2025,E2,LKA,INMUM,13782,6811,91,156,60,0,1,5,0,1,0,212E,1,58,AP,2025-10-06
2017,H1B,SAU,INCHN,24884,7191,3093,22,63,0,0,0,1,0,0,212C,0,35,DL,2025-12-31
2017,B2,NPL,INMUM,5008,19135,2219,97,100,1,0,2,0,1,0,212B,1,21,UP,2025-03-27
2021,EB2,PAK,INCHN,574,17273,1627,126,104,0,1,6,0,1,1,212B,1,64,MN,2025-03-06
2015,EB2,IND,INBLR,9129,21570,1215,259,104,1,0,6,1,0,1,212E,1,49,SK,2025-03-30
2017,REF,NPL,INKOL,8449,113,1100,66,97,1,1,4,1,0,1,212A,1,3,TR,2025-02-23
2024,E2,SAU,INLKO,16582,3007,1304,272,33,0,1,6,1,1,0,212F,1,71,AP,2025-04-28
2013,H4,BTN,INHYD,24435,12867,1387,415,114,0,0,1,1,1,1,212E,1,51,UP,2025-12-27
2021,CR1,LKA,INCHN,16871,9987,178,37,54,1,0,0,1,1,0,NONE,0,42,RJ,2025-08-17
2023,H4,BGD,INBLR,10444,16238,2285,27,58,1,0,6,0,0,0,212A,1,45,TS,2025-09-24
2013,J1,USA,INCHN,3799,10472,3206,295,2,1,0,2,1,0,0,212C,1,3,ML,2025-11-15
2021,DV,LKA,INKOL,11403,8647,2924,504,16,0,1,0,0,1,0,NONE,1,12,DD,2025-01-22
2025,F1,NPL,INCHN,14059,4967,2949,480,77,1,1,0,1,0,0,212A,1,37,ML,2025-09-04
2015,IR1,BGD,INBLR,24620,6671,279,411,77,0,0,5,1,0,0,212C,0,44,MP,2025-11-10
2025,O1,FRA,INAMD,20887,3164,1042,138,45,0,0,0,1,0,0,NONE,1,24,DD,2025-01-20
2019,L1,AUS,INBLR,11487,19991,1618,330,37,1,0,2,1,1,0,212D,0,66,TS,2025-07-03
2025,EB2,PAK,INLKO,5386,16480,2787,138,34,0,0,5,1,1,1,212F,1,54,MP,2025-12-15
2018,E2,MDV,INLKO,4601,8979,370,527,0,0,1,2,1,0,1,212E,1,38,KA,2025-02-19
2023,H4,AFG,INLKO,2873,8317,1800,36,111,1,1,3,0,0,0,212E,0,64,MN,2025-03-31
2020,EB2,PAK,INDEL,22162,6714,3183,307,28,1,1,6,1,1,1,212E,0,74,JH,2025-04-14
2025,CR1,USA,INKOL,12966,15855,3834,10,3,0,1,3,1,0,1,212D,1,1,AS,2025-07-13
2019,E2,BTN,INAMD,15217,19277,3747,331,60,1,1,6,1,1,1,212F,1,68,ML,2025-03-15
2016,F1,MMR,INDEL,8727,3366,2917,515,96,0,1,3,1,1,0,212A,1,85,MZ,2025-09-26
2024,DV,MMR,INKOL,14918,19552,1703,243,16,1,1,0,0,1,1,212F,1,61,TR,2025-01-15
2013,K1,AFG,INAMD,8441,11360,3066,22,27,1,0,4,0,1,0,212B,1,45,CH,2025-11-25
2016,EB2,NPL,INCHN,12708,264,2268,540,49,1,1,2,0,1,1,NONE,1,76,LA,2025-10-10
2019,EB3,SGP,INAMD,18416,2645,2967,452,89,1,0,3,0,1,1,212A,0,30,PY,2025-07-17
2021,B1,SAU,INBLR,23430,3869,303,509,7,0,0,4,0,1,1,212B,1,34,MP,2025-12-10
2020,B2,LKA,INDEL,9713,9617,3774,236,33,1,0,3,0,0,0,212E,1,44,TS,2025-07-14
2023,REF,GBR,INCHN,2361,7757,1348,113,58,0,1,6,1,1,0,212E,1,76,UP,2025-02-05
2023,B1,AFG,INBLR,7275,14044,1460,395,17,0,1,3,1,0,0,212E,0,53,HP,2025-07-24
2023,F1,SGP,INKOL,11615,12020,2485,269,94,1,1,4,0,0,0,212B,0,70,OD,2025-11-04
2024,H1B,LKA,INAMD,10320,8353,1193,71,58,1,1,3,1,0,0,NONE,0,68,WB,2025-05-19
2020,B2,SAU,INBLR,13610,17296,2422,271,26,1,0,0,1,1,0,NONE,1,28,GJ,2025-09-21
2024,EB2,MDV,INCHN,17038,21891,3628,344,15,1,1,0,1,0,0,212B,0,71,SK,2025-02-26
2024,H4,PAK,INDEL,24609,7330,2428,307,9,1,0,5,1,1,0,212C,1,7,CH,2025-04-20
2012,F1,AUS,INDEL,16015,2419,3033,384,103,0,1,0,1,1,0,212E,1,53,PY,2025-06-23
2020,DV,JPN,INLKO,5835,4660,2061,181,75,1,1,1,0,0,1,212A,1,6,ML,2025-07-25
2018,K1,PAK,INAMD,21031,19364,2790,158,21,0,0,5,0,0,1,NONE,1,82,LD,2025-08-13
2020,SIV,DEU,INBLR,24193,10411,668,482,15,0,0,3,0,0,0,212F,1,22,CG,2025-03-05
2019,EB2,SGP,INLKO,12117,17873,499,272,11,0,0,1,0,0,1,212B,1,31,AN,2025-09-09
2012,K1,ARE,INCHN,23966,10912,3717,335,74,0,1,2,0,1,1,212C,1,61,TN,2025-09-24
2023,EB3,DEU,INLKO,8790,11217,1414,169,83,1,1,4,0,0,0,212D,0,44,GA,2025-12-18
2019,L2,SAU,INMUM,13703,13070,1572,444,50,1,0,2,1,0,0,212B,0,67,LD,2025-11-28
2019,CR1,LKA,INKOL,17272,3394,2612,349,0,0,1,1,0,0,1,212F,0,29,DL,2025-11-16
2022,DV,MMR,INLKO,3865,12931,529,373,26,0,0,0,1,0,0,212C,1,38,ML,2025-12-23
2014,L2,DEU,INKOL,17281,8867,2006,471,66,1,1,6,1,0,1,212D,0,4,JK,2025-04-03
2012,EB2,BTN,INCHN,4759,14805,2539,205,11,0,0,3,0,1,0,212C,1,66,UP,2025-07-02
2019,CR1,FRA,INMUM,4557,10980,3621,506,29,1,0,5,0,1,1,NONE,0,21,PY,2025-10-27
2014,SIV,DEU,INDEL,6625,13555,3770,22,8,0,1,6,0,1,0,212B,0,27,MP,2025-08-02
2014,L1,USA,INAMD,4823,8254,3456,302,52,1,0,6,1,0,1,212F,1,21,MZ,2025-05-22
2012,F1,USA,INHYD,12496,10523,1219,517,60,0,1,3,0,0,1,212D,0,85,DD,2025-03-24
2022,K1,BGD,INHYD,20902,5142,754,245,53,0,1,0,0,1,1,212C,1,28,DD,2025-04-09
2016,F1,MDV,INAMD,10514,9872,2347,307,36,0,0,3,0,1,1,212D,0,42,WB,2025-10-08
2021,CR1,FRA,INCHN,15914,5407,814,12,64,1,0,4,1,1,0,212A,0,41,AN,2025-04-12
2018,EB2,CAN,INMUM,21626,7651,2594,226,41,1,1,6,0,1,1,212F,0,59,TR,2025-11-25
2021,CR1,USA,INMUM,3370,7246,726,459,48,1,1,4,0,0,0,212B,1,76,SK,2025-03-12
2020,L1,FRA,INKOL,10800,5128,730,439,3,0,0,4,1,0,1,NONE,1,70,UK,2025-12-04
2023,DV,LKA,INDEL,4748,18628,827,392,63,0,0,2,1,0,0,212D,0,73,PB,2025-09-23
2018,K1,DEU,INBLR,20745,2130,2649,301,78,0,0,0,1,1,1,212E,0,67,TS,2025-05-10
2020,J1,SAU,INLKO,20107,977,1331,124,50,0,1,4,0,1,0,212C,1,58,HR,2025-03-01
2019,O1,PAK,INMUM,17998,7166,2046,411,90,0,1,1,0,1,1,212E,0,85,MH,2025-10-28
2023,B2,AFG,INAMD,18274,580,3323,18,71,0,1,4,1,0,1,212D,0,83,MH,2025-04-29
2013,EB3,FRA,INBLR,6108,1332,3079,215,59,1,0,5,0,0,0,212F,1,83,CG,2025-09-20
2012,H4,IND,INHYD,23565,18225,2815,171,86,1,0,2,1,1,1,212E,0,5,RJ,2025-11-24
2018,L2,SGP,INBLR,776,11615,874,300,78,1,1,1,1,0,1,212C,0,72,MN,2025-01-21
2018,E2,LKA,INDEL,6747,21349,3279,525,90,0,1,6,1,1,1,212D,1,27,LD,2025-04-07
2025,IR1,FRA,INAMD,11960,5394,2984,84,30,1,0,0,1,1,1,NONE,1,76,DL,2025-10-30
2019,DV,MDV,INDEL,9307,2671,2178,440,102,0,1,0,1,1,0,NONE,1,30,MZ,2025-01-01
2016,L2,BGD,INBLR,13013,10026,3807,83,110,0,0,5,0,0,1,212B,1,38,PB,2025-07-22
2014,SIV,BTN,INLKO,16716,9953,3780,54,71,1,0,6,0,1,0,NONE,0,49,AP,2025-05-08
2023,SIV,SAU,INCHN,1131,21105,2003,88,93,0,0,4,0,1,0,212D,1,77,ML,2025-12-16
2019,CR1,MMR,INMUM,20319,16192,1677,215,57,0,1,1,0,0,0,212F,1,85,NL,2025-05-12
2017,EB2,AFG,INAMD,19315,2897,3835,451,118,0,1,5,1,1,0,212D,0,36,JH,2025-02-03
2022,B2,IND,INCHN,10826,21986,607,528,105,0,0,1,0,1,1,NONE,1,71,TN,2025-03-28
2014,E2,SAU,INBLR,14246,21794,2073,35,81,0,0,4,1,0,1,212A,1,14,NL,2025-02-01
2012,IR1,MMR,INMUM,19404,4103,3694,310,3,1,1,6,1,1,0,212D,0,50,HP,2025-09-16
2014,H1B,FRA,INKOL,9394,765,1477,471,110,1,0,4,0,1,1,212B,1,69,CH,2025-11-20
2016,B2,BGD,INCHN,16008,8769,634,508,106,0,1,3,0,1,1,212A,1,22,MP,2025-11-09
2025,O1,MDV,INCHN,23419,17345,1209,452,21,0,1,3,1,0,0,NONE,0,24,DN,2025-02-02
2014,L2,MDV,INBLR,11739,20427,483,496,2,1,1,4,0,1,0,212F,1,45,MP,2025-10-13
2012,E2,AUS,INHYD,17381,18700,2727,434,78,1,0,2,0,1,0,212C,1,22,DD,2025-11-22
2016,REF,AFG,INBLR,4810,17343,1074,365,98,1,0,5,0,1,1,212D,0,9,MZ,2025-02-18
2021,O1,AFG,INCHN,13486,18014,1914,97,46,0,0,3,0,0,0,212C,0,72,AS,2025-10-13
2018,DV,NPL,INMUM,116,1745,2052,59,37,1,0,4,1,0,0,212E,1,76,AP,2025-03-23
2025,K1,FRA,INLKO,24939,12233,588,210,32,1,1,1,1,0,1,212B,1,31,CG,2025-05-24
2018,CR1,FRA,INHYD,614,9548,3231,162,77,0,0,5,0,1,1,212A,1,50,DD,2025-10-07
2022,EB2,GBR,INBLR,13443,14182,2255,8,47,0,1,6,1,0,1,212C,0,40,TR,2025-04-02
2020,EB3,DEU,INLKO,3720,8873,2304,363,64,1,0,3,1,1,1,212B,1,64,CG,2025-08-12
2021,H1B,SAU,INAMD,2301,7207,1228,64,116,0,0,6,0,0,1,212C,1,64,PY,2025-08-05
2021,E1,AUS,INBLR,12999,52,3838,260,112,1,0,2,0,0,1,212C,0,39,TN,2025-06-05
2023,L2,IND,INCHN,854,14913,1973,186,25,1,0,5,1,0,1,212B,1,17,KL,2025-10-04
2024,SIV,FRA,INLKO,21065,14428,2058,499,7,0,0,5,1,0,1,212D,1,35,JK,2025-01-08
2014,H1B,NPL,INCHN,9633,15180,948,41,49,0,1,0,1,1,0,212C,1,30,TN,2025-02-05
2018,H4,SAU,INKOL,17669,3434,2055,81,79,1,0,1,0,0,1,212B,0,53,ML,2025-05-04
2012,H1B,LKA,INLKO,23154,17560,3480,295,37,0,0,2,1,1,0,212C,0,62,CG,2025-01-09
2015,H1B,LKA,INLKO,12274,19530,2983,377,9,0,0,2,1,1,1,212F,1,0,WB,2025-02-09
2024,O1,JPN,INBLR,23340,12140,2079,335,41,0,0,6,0,1,1,212D,1,51,GA,2025-06-28
2015,IR1,FRA,INCHN,6066,1563,2007,310,36,0,0,2,1,0,0,212F,0,56,MP,2025-05-09
2025,H1B,SGP,INAMD,13086,291,2587,227,25,0,1,1,0,0,1,212F,1,8,CH,2025-03-09
2016,IR1,CAN,INDEL,19983,5315,1741,170,91,0,0,2,0,1,0,212B,0,85,UP,2025-06-03
2018,L1,NPL,INHYD,12442,20480,3052,486,11,0,1,0,1,0,1,212F,0,73,MZ,2025-01-03
2018,H4,BTN,INDEL,7988,14983,386,461,83,1,0,3,0,1,0,212C,0,55,HP,2025-12-30
2024,B2,ARE,INHYD,4191,11600,1251,381,48,0,1,1,0,0,0,NONE,0,46,ML,2025-09-22
2022,L1,IND,INAMD,23400,19113,2687,226,13,1,0,2,1,0,1,212D,0,2,NL,2025-01-04
2024,CR1,ARE,INLKO,9596,21625,1790,260,45,0,0,4,0,1,0,212C,1,1,MP,2025-09-19
2015,SIV,BGD,INLKO,5385,12617,1498,194,34,1,1,3,1,0,0,212A,0,53,AN,2025-11-25
2024,EB2,LKA,INBLR,5127,12065,3795,197,28,0,0,6,0,1,1,212B,1,36,TS,2025-10-09
2018,H4,SGP,INKOL,13297,13623,3822,395,11,1,1,5,0,1,1,212C,1,55,MP,2025-03-26
2022,E1,AFG,INCHN,5661,9957,206,221,115,0,0,1,1,0,0,212D,1,30,TR,2025-12-08
2014,K1,IND,INCHN,8139,14850,3389,381,81,1,1,4,1,0,1,212F,0,11,AP,2025-02-04
2017,DV,FRA,INCHN,2942,6742,1818,92,43,0,1,5,1,0,0,212D,1,57,HP,2025-04-24
2023,L2,BTN,INBLR,5627,8221,1780,480,65,0,1,4,0,1,0,212A,1,66,BR,2025-02-28
2013,E2,SGP,INHYD,20052,4164,2604,537,1,1,0,2,1,0,0,212F,1,25,WB,2025-02-07
2021,F1,IND,INLKO,17993,5626,3688,53,58,1,1,1,0,0,1,212A,0,77,KL,2025-02-02
2024,B2,PAK,INAMD,6733,6786,2395,71,16,0,0,6,1,0,1,212E,1,11,TS,2025-07-22
2025,O1,DEU,INCHN,1557,17134,792,481,9,1,1,2,0,0,0,212E,0,15,HP,2025-07-21
2020,B2,AFG,INDEL,16385,15948,2281,152,17,1,1,5,1,1,0,212C,0,52,LA,2025-04-10
2016,O1,BTN,INCHN,2113,21294,1724,388,21,0,1,6,0,0,0,NONE,1,71,LA,2025-10-28
2017,L1,AUS,INLKO,20076,1668,3115,72,82,1,0,0,1,1,1,212F,1,48,DL,2025-10-31
2023,O1,DEU,INBLR,2050,20632,1005,523,57,0,0,4,0,0,0,212D,0,48,LA,2025-04-28
2023,SIV,NPL,INAMD,15616,2150,2784,99,52,1,0,0,0,0,1,NONE,0,6,PB,2025-08-31
2023,K1,SGP,INKOL,1344,14412,941,432,0,0,1,5,0,0,0,212F,1,14,AR,2025-01-29
2023,L2,GBR,INAMD,15146,10608,1165,474,87,1,0,2,0,1,0,212F,1,35,UP,2025-08-15
2015,L2,DEU,INDEL,4115,4386,3719,100,60,0,0,6,1,1,0,212F,1,71,MP,2025-12-06
2025,SIV,CAN,INCHN,14140,1526,2223,139,99,0,1,6,0,0,0,212F,1,73,CH,2025-08-01
2025,EB2,USA,INCHN,24448,18562,1677,440,88,1,1,6,1,1,1,NONE,1,14,DD,2025-07-06
2022,L1,LKA,INMUM,18037,19320,448,347,99,1,0,3,0,1,1,212C,0,61,LD,2025-04-23
2021,E2,GBR,INHYD,17756,15242,591,320,30,0,0,4,1,0,1,212B,0,17,OD,2025-10-26
2018,EB3,BGD,INDEL,22390,12383,81,218,30,0,0,3,0,0,1,212B,0,45,SK,2025-06-10
2023,J1,SGP,INMUM,18875,19633,2182,526,65,1,1,1,0,0,1,212B,0,60,AP,2025-01-19
2020,B2,PAK,INAMD,17532,11815,3790,165,18,1,1,4,1,0,0,212A,0,42,KA,2025-09-21
2018,F1,BTN,INKOL,21507,9878,2903,274,52,1,1,0,1,0,1,212F,1,43,UP,2025-06-08
2025,O1,MMR,INHYD,9368,12636,3248,480,75,1,1,3,0,0,1,212F,0,65,OD,2025-01-11
2012,E1,ARE,INDEL,8538,4156,1406,416,73,1,1,5,1,1,1,212D,1,54,OD,2025-01-08
2012,CR1,NPL,INCHN,11291,13498,3314,480,94,1,0,1,1,0,1,212A,0,85,KL,2025-06-02
2020,E2,JPN,INAMD,10467,11181,3638,362,108,0,0,4,1,0,0,212D,0,78,AS,2025-04-23
2022,SIV,DEU,INDEL,15624,2709,3212,199,21,1,0,6,0,0,0,212E,1,38,NL,2025-05-28
2025,K1,SGP,INCHN,15352,2830,1480,277,22,1,1,5,1,0,0,212D,0,4,CG,2025-02-07
2020,K1,SGP,INLKO,14700,11683,2487,120,115,1,1,1,0,1,1,212D,0,56,TS,2025-05-15
2015,IR1,JPN,INHYD,13400,6172,1079,529,86,1,0,0,1,1,0,212C,0,14,MH,2025-08-23
2024,IR1,DEU,INLKO,20221,32,3598,61,14,0,0,6,1,1,0,212B,0,15,AS,2025-09-12
2020,REF,BTN,INLKO,2146,11182,2744,71,25,0,0,5,0,0,1,212F,1,56,GA,2025-03-15
2014,REF,IND,INCHN,11851,8019,3897,278,2,0,1,4,1,0,1,212A,0,81,KL,2025-11-24
2018,CR1,FRA,INKOL,18642,7239,418,508,86,0,1,1,1,1,1,212E,0,24,KA,2025-12-28
2017,J1,GBR,INAMD,22422,5348,87,368,19,1,1,2,1,1,0,212A,0,21,UP,2025-10-03
2019,IR1,CAN,INBLR,16609,3641,3680,152,108,0,1,4,1,0,1,212F,0,30,AP,2025-07-28
2022,L2,PAK,INCHN,7219,20087,2703,215,39,1,1,4,1,0,0,212C,0,33,ML,2025-09-24
2020,REF,GBR,INKOL,13338,11685,3079,292,120,1,0,6,1,0,0,212D,0,15,HP,2025-05-24
2025,K1,FRA,INBLR,22448,21714,3548,16,38,0,0,4,1,0,0,212E,0,69,CG,2025-02-11
2016,SIV,AFG,INAMD,10744,11334,214,192,119,0,1,6,0,0,0,212B,0,58,HR,2025-08-12
