env_water_sample_date,env_water_waterbody_id,env_water_watershed_huc12,env_water_sample_matrix_type,env_water_parameter_code,env_water_result_value,env_water_result_unit,env_water_detection_limit,env_water_exceedance_standard_flag,env_water_impaired_water_flag,env_water_source_tracking_marker,env_water_flow_cfs_at_sample,env_water_temperature_c_water,env_water_ph_value,env_water_dissolved_oxygen_mg_l,env_water_turbidity_ntu,env_water_nitrate_mg_l,env_water_lead_ppb,env_water_algal_bloom_risk_index,env_water_sampling_program_code
2018-07-09,IN-WB-000011,452068056271,groundwater,arsenic,6.616,ppb,0.1,0,1,ag_runoff_marker,55.5,39.2,7.54,9.0,5.04,2.76,2.6,52,citizen_science
2024-08-24,IN-WB-000012,572748753800,surface_water,e_coli,5.0,cfu/100mL,1.0,0,0,mst_human,4.4,26.0,6.7,6.14,1.32,3.84,12.1,23,research_partner
2021-11-05,IN-WB-000013,168117191381,drinking_water,fluoride,3.489,mg/L,0.05,1,0,mst_wildlife,44.7,13.1,6.46,9.34,10.38,4.04,5.8,55,citizen_science
2022-10-24,IN-WB-000014,754949598663,surface_water,ph,7.298,pH,0.01,0,0,ag_runoff_marker,4.2,15.6,8.13,5.07,1.99,3.44,3.7,23,jal_shakti_mission
2024-09-13,IN-WB-000015,657423429621,surface_water,ammonia,4.008,mg/L,0.05,1,1,ag_runoff_marker,32.6,25.4,7.89,3.98,4.08,1.0,6.1,25,jal_shakti_mission
2019-04-05,IN-WB-000016,349761128740,surface_water,turbidity,5.505,NTU,0.1,1,1,unknown,9.5,24.6,7.3,7.75,1.58,3.09,4.8,34,research_partner
2020-03-18,IN-WB-000017,770480445835,groundwater,ammonia,2.655,mg/L,0.05,1,0,ag_runoff_marker,33.4,20.5,7.61,8.81,8.96,3.3,24.7,35,state_spcb_network
2017-07-26,IN-WB-000018,709432429537,drinking_water,e_coli,36.0,cfu/100mL,1.0,0,0,mst_livestock,18.0,37.2,7.87,6.51,3.46,6.77,36.0,46,smart_city_water
2024-07-03,IN-WB-000019,838092419855,drinking_water,e_coli,27.0,cfu/100mL,1.0,0,0,industrial_signature,5.5,39.7,7.29,3.18,14.55,4.91,2.4,29,jal_shakti_mission
2020-06-18,IN-WB-000020,811304535575,effluent,ph,8.475,pH,0.01,0,0,mst_wildlife,68.2,22.4,6.45,4.41,6.98,7.13,2.6,48,smart_city_water
2024-06-16,IN-WB-000021,880759685520,surface_water,cadmium,6.3,ppb,0.1,1,0,unknown,40.4,29.2,7.51,7.5,5.31,1.22,4.3,17,research_partner
2024-03-07,IN-WB-000022,490052809054,effluent,dissolved_oxygen,5.538,mg/L,0.05,0,0,ag_runoff_marker,31.6,29.5,8.0,6.78,1.27,1.23,4.6,43,smart_city_water
2019-06-13,IN-WB-000023,013937371953,groundwater,lead,15.127,ppb,0.1,1,0,mst_wildlife,11.3,30.3,7.72,8.85,2.91,3.53,4.3,37,jal_shakti_mission
2026-01-20,IN-WB-000024,463653913825,surface_water,e_coli,10.0,cfu/100mL,1.0,0,0,mst_livestock,41.7,20.2,7.34,6.92,2.11,6.73,6.4,60,citizen_science
2022-12-13,IN-WB-000025,434158419429,drinking_water,fluoride,3.577,mg/L,0.05,1,0,mst_wildlife,6.3,35.6,7.7,5.62,2.78,2.32,5.4,62,state_spcb_network
2023-04-24,IN-WB-000026,561850505479,groundwater,ammonia,2.414,mg/L,0.05,1,0,mst_wildlife,2.7,23.6,7.14,7.29,3.06,1.5,2.9,39,jal_shakti_mission
2025-08-30,IN-WB-000027,051075975074,groundwater,turbidity,2.507,NTU,0.1,0,0,unknown,4.9,26.5,8.03,8.42,1.32,0.75,3.6,7,cpcb_river_watch
2019-01-07,IN-WB-000028,280795803828,surface_water,ph,8.862,pH,0.01,1,0,industrial_signature,8.8,24.0,8.24,8.96,2.4,3.63,21.8,15,smart_city_water
2025-12-23,IN-WB-000029,396399258070,drinking_water,cadmium,19.373,ppb,0.1,1,0,industrial_signature,10.2,23.2,6.39,6.62,2.52,2.48,5.8,62,smart_city_water
2020-12-11,IN-WB-000030,690104082545,surface_water,dissolved_oxygen,7.93,mg/L,0.05,0,0,unknown,13.6,25.7,8.08,6.91,1.21,1.92,5.6,39,smart_city_water
2017-10-15,IN-WB-000031,076032236647,surface_water,dissolved_oxygen,7.243,mg/L,0.05,0,1,unknown,14.1,16.9,8.87,8.05,5.16,5.61,2.5,73,research_partner
2020-05-23,IN-WB-000032,797918926165,effluent,arsenic,5.033,ppb,0.1,0,0,mst_human,11.2,12.2,7.67,5.6,3.25,2.54,5.3,58,research_partner
2024-05-09,IN-WB-000033,884035552860,surface_water,lead,9.806,ppb,0.1,0,1,mst_human,3.0,22.7,7.99,7.98,5.21,2.72,14.5,47,jal_shakti_mission
2021-12-23,IN-WB-000034,190131310734,surface_water,cadmium,12.284,ppb,0.1,1,1,mst_livestock,23.9,18.7,6.85,6.43,4.01,5.58,11.2,44,state_spcb_network
2019-02-06,IN-WB-000035,612835833644,effluent,fluoride,3.125,mg/L,0.05,1,0,mst_human,15.8,27.3,6.95,6.68,0.69,15.68,13.0,21,cpcb_river_watch
2024-01-04,IN-WB-000036,838098038371,surface_water,ammonia,2.905,mg/L,0.05,1,0,mst_human,10.7,26.6,7.15,6.8,1.4,1.9,3.2,31,state_spcb_network
2018-07-27,IN-WB-000037,844007164354,surface_water,fluoride,2.058,mg/L,0.05,1,0,mst_wildlife,70.7,24.1,7.02,7.01,10.2,1.35,3.1,49,citizen_science
2018-01-03,IN-WB-000038,874510690365,groundwater,fluoride,3.292,mg/L,0.05,1,0,mst_wildlife,16.2,32.9,6.38,9.86,5.09,1.23,16.3,36,state_spcb_network
2020-11-25,IN-WB-000039,357176918955,surface_water,lead,5.653,ppb,0.1,0,0,unknown,21.2,24.0,7.18,6.05,0.74,3.98,13.2,50,cpcb_river_watch
2020-05-09,IN-WB-000040,081932971686,effluent,e_coli,46.0,cfu/100mL,1.0,0,0,ag_runoff_marker,41.1,15.3,7.89,6.13,3.96,1.14,6.2,61,research_partner
2023-05-22,IN-WB-000041,164045186176,surface_water,ph,6.191,pH,0.01,1,0,industrial_signature,5.3,22.7,6.39,9.11,1.4,2.02,13.4,39,smart_city_water
2022-10-12,IN-WB-000042,461367915586,drinking_water,fluoride,7.037,mg/L,0.05,1,0,mst_livestock,19.7,31.0,7.43,7.51,0.51,2.16,3.2,34,research_partner
2018-10-08,IN-WB-000043,201381743560,surface_water,lead,3.26,ppb,0.1,0,0,mst_human,41.0,12.7,7.4,8.03,10.23,9.44,3.1,26,smart_city_water
2019-01-21,IN-WB-000044,504795728693,surface_water,fluoride,1.288,mg/L,0.05,0,0,mst_wildlife,18.5,23.4,7.09,5.15,2.89,7.06,2.4,57,smart_city_water
2024-09-12,IN-WB-000045,634574945017,surface_water,nitrate,3.619,mg/L,0.05,0,0,industrial_signature,6.2,27.5,7.65,7.19,3.23,0.8,9.5,56,research_partner
2017-12-27,IN-WB-000046,584863497310,surface_water,ph,7.724,pH,0.01,0,0,mst_human,13.0,39.9,7.58,8.1,0.99,9.66,8.6,81,state_spcb_network
2025-12-03,IN-WB-000047,271612088354,groundwater,fluoride,11.644,mg/L,0.05,1,1,ag_runoff_marker,23.8,31.2,7.04,5.72,1.08,1.03,5.1,45,smart_city_water
2023-08-16,IN-WB-000048,168851830652,groundwater,fluoride,3.345,mg/L,0.05,1,0,industrial_signature,3.0,24.8,8.04,7.81,0.76,3.09,4.3,40,research_partner
2019-11-11,IN-WB-000049,436145777131,drinking_water,dissolved_oxygen,6.443,mg/L,0.05,0,0,mst_wildlife,5.9,27.1,7.69,6.47,8.45,1.39,40.1,50,state_spcb_network
2019-07-30,IN-WB-000050,008079878530,surface_water,dissolved_oxygen,6.768,mg/L,0.05,0,0,unknown,118.7,12.6,8.4,5.77,0.73,1.99,6.2,37,cpcb_river_watch
2025-03-08,IN-WB-000051,057664628688,surface_water,cadmium,24.862,ppb,0.1,1,0,ag_runoff_marker,31.1,17.7,7.25,8.42,9.91,1.24,19.5,26,smart_city_water
2019-05-05,IN-WB-000052,423135016259,surface_water,ammonia,14.836,mg/L,0.05,1,0,ag_runoff_marker,76.3,27.9,7.07,8.62,1.23,10.39,6.7,44,state_spcb_network
2024-10-21,IN-WB-000053,197588310621,surface_water,lead,7.175,ppb,0.1,0,0,mst_human,43.8,25.0,7.15,7.01,1.02,2.43,5.2,50,smart_city_water
2022-09-25,IN-WB-000054,777532154809,surface_water,nitrate,3.975,mg/L,0.05,0,0,mst_human,28.6,25.7,8.12,7.52,2.6,3.26,19.9,51,citizen_science
2017-07-13,IN-WB-000055,812108604902,surface_water,lead,7.752,ppb,0.1,0,0,mst_livestock,15.2,24.2,7.2,8.92,1.57,1.15,12.8,50,state_spcb_network
2019-12-17,IN-WB-000056,217750521549,surface_water,arsenic,7.645,ppb,0.1,0,0,mst_human,28.3,24.0,7.24,6.17,2.94,0.88,7.3,61,cpcb_river_watch
2021-04-27,IN-WB-000057,203951638938,drinking_water,ammonia,10.128,mg/L,0.05,1,0,mst_wildlife,74.1,24.6,8.67,7.36,1.35,1.91,16.3,51,smart_city_water
2021-01-20,IN-WB-000058,327246276534,groundwater,cadmium,4.272,ppb,0.1,0,0,industrial_signature,42.2,17.7,6.36,6.18,2.12,4.13,43.1,47,research_partner
2017-11-29,IN-WB-000059,535121139923,surface_water,dissolved_oxygen,3.232,mg/L,0.05,1,1,ag_runoff_marker,23.3,22.6,7.55,5.17,1.48,2.47,4.4,19,citizen_science
2019-01-17,IN-WB-000060,483375428528,surface_water,turbidity,3.504,NTU,0.1,0,0,industrial_signature,17.2,16.5,7.26,6.17,5.41,5.93,10.3,46,citizen_science
2019-05-16,IN-WB-000061,648921451785,groundwater,turbidity,7.105,NTU,0.1,1,0,unknown,31.5,20.3,7.12,5.0,4.1,3.0,5.5,39,citizen_science
2025-06-15,IN-WB-000062,578276169587,effluent,ph,7.532,pH,0.01,0,0,ag_runoff_marker,12.4,31.2,6.63,7.48,3.31,2.73,3.8,22,state_spcb_network
2018-10-07,IN-WB-000063,072014381845,surface_water,lead,11.606,ppb,0.1,0,0,ag_runoff_marker,31.5,22.9,6.84,5.56,6.31,4.17,3.8,51,cpcb_river_watch
2021-03-17,IN-WB-000064,250338844971,drinking_water,nitrate,4.603,mg/L,0.05,0,0,unknown,10.7,27.6,7.01,4.56,3.36,2.95,22.5,51,smart_city_water
2024-08-23,IN-WB-000065,045902415145,groundwater,nitrate,2.938,mg/L,0.05,0,0,mst_wildlife,14.6,24.7,7.65,7.99,3.14,5.78,2.1,50,cpcb_river_watch
2017-05-30,IN-WB-000066,095347069301,groundwater,arsenic,12.054,ppb,0.1,1,0,industrial_signature,8.0,21.7,7.9,7.88,2.47,4.24,10.5,52,cpcb_river_watch
2025-05-12,IN-WB-000067,806409009877,effluent,nitrate,3.966,mg/L,0.05,0,0,ag_runoff_marker,13.5,17.9,6.05,6.27,1.53,5.63,4.1,44,smart_city_water
2021-07-16,IN-WB-000068,996053485629,effluent,ammonia,0.69,mg/L,0.05,0,0,unknown,10.9,21.6,6.46,7.93,1.54,4.82,25.6,38,smart_city_water
2019-03-13,IN-WB-000069,474344207413,surface_water,cadmium,8.844,ppb,0.1,1,0,ag_runoff_marker,92.1,25.1,7.68,5.51,3.06,8.07,6.1,74,state_spcb_network
2019-06-01,IN-WB-000070,348942994806,drinking_water,turbidity,0.772,NTU,0.1,0,0,unknown,9.0,27.5,7.74,6.2,6.14,5.28,5.7,45,citizen_science
2024-11-13,IN-WB-000071,465570918873,groundwater,ammonia,2.647,mg/L,0.05,1,1,mst_livestock,28.4,24.7,6.28,7.45,4.29,11.0,22.2,0,research_partner
2020-05-21,IN-WB-000072,477815444445,surface_water,turbidity,1.829,NTU,0.1,0,0,mst_livestock,8.6,27.9,7.91,8.45,4.27,1.76,13.7,0,citizen_science
2023-09-05,IN-WB-000073,051544930627,groundwater,nitrate,5.606,mg/L,0.05,0,0,mst_wildlife,21.0,14.9,7.29,6.19,1.12,5.3,10.9,64,citizen_science
2023-05-18,IN-WB-000074,458060223258,effluent,dissolved_oxygen,6.842,mg/L,0.05,0,1,mst_wildlife,26.1,29.2,7.82,5.85,4.13,0.9,13.0,9,cpcb_river_watch
2021-08-03,IN-WB-000075,489808922279,groundwater,dissolved_oxygen,7.162,mg/L,0.05,0,0,mst_wildlife,3.8,17.2,6.7,8.37,1.98,5.8,3.5,32,citizen_science
2021-08-22,IN-WB-000076,314436233963,effluent,e_coli,20.0,cfu/100mL,1.0,0,0,mst_wildlife,5.7,29.9,6.33,7.78,3.13,2.84,12.4,20,smart_city_water
2024-01-31,IN-WB-000077,393944921172,groundwater,arsenic,17.056,ppb,0.1,1,0,industrial_signature,8.5,27.0,7.08,7.04,4.23,5.75,6.4,37,cpcb_river_watch
2023-07-18,IN-WB-000078,496780506186,groundwater,nitrate,0.889,mg/L,0.05,0,0,mst_human,6.2,12.8,7.12,8.69,1.08,10.42,9.5,49,citizen_science
2018-11-05,IN-WB-000079,356797230836,groundwater,dissolved_oxygen,5.246,mg/L,0.05,0,0,mst_wildlife,21.7,28.4,7.08,9.92,3.08,5.16,10.4,30,state_spcb_network
2020-09-22,IN-WB-000080,356184106995,groundwater,turbidity,7.607,NTU,0.1,1,0,mst_livestock,25.0,30.0,7.03,7.39,3.28,1.95,3.4,27,state_spcb_network
2025-05-25,IN-WB-000081,588730505230,surface_water,cadmium,6.02,ppb,0.1,1,1,ag_runoff_marker,7.7,31.5,8.49,5.86,6.04,1.14,11.2,55,state_spcb_network
2025-08-13,IN-WB-000082,776227007995,groundwater,nitrate,0.605,mg/L,0.05,0,0,mst_human,22.5,19.4,6.11,7.6,1.8,4.17,6.5,89,research_partner
2022-11-11,IN-WB-000083,350760199430,drinking_water,nitrate,7.515,mg/L,0.05,0,0,mst_human,13.7,25.1,6.71,5.49,2.59,2.16,3.1,52,jal_shakti_mission
2025-05-26,IN-WB-000084,675282720845,drinking_water,arsenic,17.355,ppb,0.1,1,0,industrial_signature,18.4,28.2,7.01,8.79,3.11,4.62,6.7,26,jal_shakti_mission
2022-12-03,IN-WB-000085,979952912104,surface_water,arsenic,13.433,ppb,0.1,1,0,unknown,11.4,28.4,7.32,5.68,1.8,1.81,7.5,58,citizen_science
2020-12-15,IN-WB-000086,127922366837,surface_water,lead,8.724,ppb,0.1,0,0,ag_runoff_marker,31.2,26.5,7.8,6.49,1.77,1.29,11.2,73,jal_shakti_mission
2022-12-01,IN-WB-000087,665532003120,groundwater,fluoride,8.693,mg/L,0.05,1,0,ag_runoff_marker,87.5,21.4,7.91,5.46,1.72,2.24,1.4,61,research_partner
2020-10-23,IN-WB-000088,793570728383,groundwater,fluoride,6.56,mg/L,0.05,1,0,mst_human,40.3,29.9,8.05,7.09,2.45,4.06,9.7,14,research_partner
2019-12-20,IN-WB-000089,433633661374,surface_water,ph,8.329,pH,0.01,0,0,industrial_signature,70.4,30.0,7.64,7.15,11.0,3.0,5.2,52,cpcb_river_watch
2023-04-04,IN-WB-000090,754217712382,groundwater,turbidity,4.742,NTU,0.1,0,0,industrial_signature,5.7,23.1,6.09,7.99,2.53,1.42,13.0,34,cpcb_river_watch
2024-05-09,IN-WB-000091,725544954960,effluent,ph,7.474,pH,0.01,0,1,industrial_signature,10.9,19.3,6.13,6.99,4.01,11.48,7.4,43,state_spcb_network
2022-05-19,IN-WB-000092,127519450321,surface_water,nitrate,2.056,mg/L,0.05,0,0,mst_wildlife,33.4,19.6,8.1,6.87,2.79,2.43,5.9,35,research_partner
2025-07-14,IN-WB-000093,012493564891,drinking_water,lead,3.359,ppb,0.1,0,0,ag_runoff_marker,78.1,32.2,8.06,5.88,2.13,0.45,6.5,55,citizen_science
2021-12-29,IN-WB-000094,155312842013,drinking_water,dissolved_oxygen,7.203,mg/L,0.05,0,0,unknown,36.1,29.7,7.75,6.34,2.67,5.73,9.3,36,jal_shakti_mission
2021-10-31,IN-WB-000095,231136092628,surface_water,nitrate,4.095,mg/L,0.05,0,0,mst_wildlife,8.0,23.9,6.73,4.57,5.03,2.69,14.0,68,jal_shakti_mission
2025-12-13,IN-WB-000096,481881353939,drinking_water,fluoride,2.128,mg/L,0.05,1,1,mst_livestock,13.6,22.8,7.07,9.03,2.6,2.37,4.0,42,cpcb_river_watch
2018-12-25,IN-WB-000097,365190027235,groundwater,arsenic,12.548,ppb,0.1,1,0,unknown,27.1,13.4,7.02,6.65,2.39,2.33,5.8,38,state_spcb_network
2023-12-22,IN-WB-000098,427424777812,effluent,e_coli,18.0,cfu/100mL,1.0,0,1,mst_wildlife,17.3,23.5,6.58,9.43,2.25,2.34,20.7,52,state_spcb_network
2021-05-26,IN-WB-000099,924784849620,surface_water,dissolved_oxygen,7.714,mg/L,0.05,0,0,unknown,9.8,16.9,7.48,6.61,1.23,10.33,5.7,48,citizen_science
2021-11-06,IN-WB-000100,575712583431,surface_water,cadmium,4.404,ppb,0.1,0,1,mst_livestock,15.5,25.0,8.81,3.76,6.25,3.94,9.6,53,smart_city_water
2021-12-20,IN-WB-000101,919038409301,surface_water,dissolved_oxygen,5.023,mg/L,0.05,0,0,mst_wildlife,19.8,31.1,6.95,6.08,1.9,3.35,3.1,40,research_partner
2018-03-25,IN-WB-000102,269150422462,surface_water,lead,6.901,ppb,0.1,0,0,unknown,7.6,18.1,8.21,6.8,8.81,2.2,2.2,66,jal_shakti_mission
2021-08-30,IN-WB-000103,824212007325,surface_water,turbidity,5.275,NTU,0.1,1,0,mst_livestock,48.7,25.4,6.68,6.9,3.31,10.83,3.6,60,citizen_science
2017-07-14,IN-WB-000104,970658668636,surface_water,fluoride,1.208,mg/L,0.05,0,0,ag_runoff_marker,13.5,30.0,6.22,7.88,8.37,5.34,4.6,42,jal_shakti_mission
2021-09-05,IN-WB-000105,842907677232,surface_water,ammonia,5.668,mg/L,0.05,1,1,industrial_signature,18.8,25.3,7.99,7.08,2.32,6.0,15.3,57,cpcb_river_watch
2020-05-03,IN-WB-000106,516185852966,groundwater,turbidity,0.73,NTU,0.1,0,0,unknown,51.0,20.9,7.15,6.26,1.51,3.4,16.5,37,cpcb_river_watch
2018-07-29,IN-WB-000107,143946632549,surface_water,lead,6.871,ppb,0.1,0,1,mst_livestock,17.9,24.1,8.19,5.34,6.26,6.05,1.9,52,research_partner
2024-03-14,IN-WB-000108,041257802760,groundwater,e_coli,6.0,cfu/100mL,1.0,0,0,ag_runoff_marker,48.5,29.7,8.33,6.15,1.74,3.72,5.1,57,citizen_science
2021-10-25,IN-WB-000109,805187924575,surface_water,turbidity,0.337,NTU,0.1,0,0,industrial_signature,8.0,25.6,7.11,7.77,7.6,2.02,12.0,46,citizen_science
2023-06-16,IN-WB-000110,568598917794,surface_water,ph,7.62,pH,0.01,0,0,mst_livestock,29.7,24.0,8.24,8.17,4.32,3.65,6.9,27,cpcb_river_watch
2021-12-24,IN-WB-000111,593428212009,drinking_water,ph,7.293,pH,0.01,0,0,ag_runoff_marker,42.8,30.9,6.69,5.72,8.77,14.55,21.2,21,citizen_science
2022-02-28,IN-WB-000112,341200189018,surface_water,nitrate,1.022,mg/L,0.05,0,1,ag_runoff_marker,9.5,27.1,6.68,8.41,1.24,3.2,11.8,47,cpcb_river_watch
2018-08-14,IN-WB-000113,768219530496,surface_water,ph,7.09,pH,0.01,0,0,ag_runoff_marker,17.1,16.8,8.05,7.71,5.84,7.51,6.1,29,jal_shakti_mission
2018-07-02,IN-WB-000114,932209348605,surface_water,cadmium,11.126,ppb,0.1,1,0,mst_human,17.4,27.8,6.22,5.38,1.5,7.05,6.5,61,research_partner
2018-01-24,IN-WB-000115,044584535356,drinking_water,nitrate,2.101,mg/L,0.05,0,0,mst_livestock,24.3,29.7,7.3,7.19,0.4,4.26,7.1,15,jal_shakti_mission
2020-12-29,IN-WB-000116,335437537958,drinking_water,turbidity,2.319,NTU,0.1,0,0,mst_wildlife,30.8,16.6,8.17,7.39,5.57,10.23,4.1,66,jal_shakti_mission
2021-10-19,IN-WB-000117,445710147375,surface_water,dissolved_oxygen,5.942,mg/L,0.05,0,0,mst_wildlife,8.8,10.4,8.22,5.1,2.7,0.48,14.3,43,cpcb_river_watch
2024-10-18,IN-WB-000118,349235546071,groundwater,fluoride,1.808,mg/L,0.05,1,1,mst_wildlife,19.0,17.7,7.0,4.63,5.87,0.63,12.4,27,jal_shakti_mission
2018-10-23,IN-WB-000119,116449901912,surface_water,turbidity,1.688,NTU,0.1,0,0,mst_wildlife,84.1,23.4,8.01,7.56,2.93,10.83,10.2,34,research_partner
2021-02-28,IN-WB-000120,921405739082,surface_water,lead,5.274,ppb,0.1,0,0,ag_runoff_marker,51.9,30.1,6.51,6.07,2.77,1.62,8.8,38,cpcb_river_watch
2024-10-03,IN-WB-000121,966008054095,surface_water,arsenic,4.82,ppb,0.1,0,0,ag_runoff_marker,41.0,18.7,6.83,9.22,9.01,2.97,3.6,51,research_partner
2025-12-17,IN-WB-000122,154226455382,drinking_water,dissolved_oxygen,5.076,mg/L,0.05,0,0,mst_human,16.9,27.3,7.46,9.55,2.99,11.03,10.5,20,state_spcb_network
2021-08-17,IN-WB-000123,297424986474,surface_water,cadmium,6.26,ppb,0.1,1,0,mst_human,136.4,6.6,7.56,7.56,1.86,3.19,8.1,25,research_partner
2018-06-18,IN-WB-000124,814839733719,groundwater,e_coli,13.0,cfu/100mL,1.0,0,1,mst_human,50.7,25.1,6.57,8.32,2.53,10.5,30.0,36,research_partner
2017-10-24,IN-WB-000125,983677580393,effluent,nitrate,1.284,mg/L,0.05,0,0,industrial_signature,20.8,21.6,8.6,5.16,3.08,1.99,3.0,41,smart_city_water
2021-02-26,IN-WB-000126,296919042569,surface_water,arsenic,13.96,ppb,0.1,1,0,unknown,24.5,36.6,5.99,4.67,0.28,4.45,4.5,55,citizen_science
2024-11-14,IN-WB-000127,916973251542,effluent,cadmium,19.353,ppb,0.1,1,0,mst_wildlife,13.3,12.6,7.34,6.57,4.03,2.85,2.4,47,citizen_science
2024-08-06,IN-WB-000128,018162370587,effluent,lead,8.166,ppb,0.1,0,0,unknown,28.6,23.9,7.44,4.74,8.06,8.96,6.3,35,research_partner
2017-11-27,IN-WB-000129,252536611720,groundwater,ammonia,2.848,mg/L,0.05,1,1,mst_wildlife,34.3,12.6,6.08,7.29,2.61,2.2,2.2,46,jal_shakti_mission
2024-05-05,IN-WB-000130,716963495664,groundwater,nitrate,1.674,mg/L,0.05,0,1,mst_wildlife,37.8,20.7,8.23,5.55,1.94,1.26,16.9,45,jal_shakti_mission
2019-05-05,IN-WB-000131,391842389821,drinking_water,ammonia,5.737,mg/L,0.05,1,0,mst_wildlife,17.1,13.8,6.78,7.1,3.71,1.87,15.9,37,citizen_science
2020-07-08,IN-WB-000132,379844989290,effluent,cadmium,27.57,ppb,0.1,1,1,mst_human,5.3,37.8,7.37,6.52,10.97,1.94,6.6,44,cpcb_river_watch
2019-12-15,IN-WB-000133,161332197082,groundwater,turbidity,2.384,NTU,0.1,0,0,ag_runoff_marker,25.0,21.9,7.53,7.82,3.96,1.62,3.6,3,citizen_science
2020-07-29,IN-WB-000134,652473834175,surface_water,ph,7.087,pH,0.01,0,0,industrial_signature,37.9,22.7,6.28,7.32,3.23,1.57,2.5,59,state_spcb_network
2024-09-20,IN-WB-000135,519226685930,drinking_water,ph,7.605,pH,0.01,0,0,mst_wildlife,8.3,23.7,6.55,6.15,1.99,6.67,4.5,52,cpcb_river_watch
2019-05-25,IN-WB-000136,732881065069,effluent,ph,7.477,pH,0.01,0,0,mst_wildlife,18.5,17.2,8.39,4.61,1.16,8.38,11.4,69,research_partner
2019-01-12,IN-WB-000137,615285796417,surface_water,ammonia,1.915,mg/L,0.05,1,0,mst_wildlife,67.2,30.3,7.25,7.06,2.77,3.72,4.3,27,citizen_science
2022-07-11,IN-WB-000138,282537069764,groundwater,ammonia,3.78,mg/L,0.05,1,0,mst_livestock,6.8,27.8,5.41,4.01,2.81,1.62,28.1,52,research_partner
2024-05-09,IN-WB-000139,194143911060,groundwater,cadmium,15.748,ppb,0.1,1,0,mst_wildlife,15.6,29.5,7.09,8.79,0.58,1.7,21.0,8,jal_shakti_mission
2023-10-26,IN-WB-000140,257548454025,surface_water,dissolved_oxygen,5.4,mg/L,0.05,0,0,mst_human,76.6,16.7,7.28,7.65,1.52,0.52,7.4,10,research_partner
2026-02-13,IN-WB-000141,384699235027,surface_water,arsenic,48.396,ppb,0.1,1,0,mst_human,23.1,30.8,7.45,8.15,6.87,3.68,5.3,38,citizen_science
2021-05-05,IN-WB-000142,721934168995,surface_water,dissolved_oxygen,4.354,mg/L,0.05,1,0,unknown,12.5,30.1,5.9,5.25,2.21,1.57,5.0,32,citizen_science
2025-01-19,IN-WB-000143,482786963796,groundwater,turbidity,1.375,NTU,0.1,0,0,ag_runoff_marker,20.0,22.6,7.28,7.37,0.38,8.82,22.6,61,citizen_science
2021-12-23,IN-WB-000144,281899893037,groundwater,ammonia,3.202,mg/L,0.05,1,1,ag_runoff_marker,42.2,29.4,6.72,5.73,9.79,0.9,4.7,63,research_partner
2023-01-03,IN-WB-000145,505472976608,surface_water,fluoride,13.103,mg/L,0.05,1,0,mst_human,16.7,25.6,7.45,7.04,1.33,1.69,14.2,65,jal_shakti_mission
2018-01-26,IN-WB-000146,647619089574,surface_water,cadmium,5.508,ppb,0.1,1,0,unknown,34.4,14.4,7.65,5.2,1.87,2.52,7.5,53,state_spcb_network
