soc_access_service_date,soc_access_benefit_delivery_method,soc_access_eload_card_transactions_count,soc_access_eload_card_spend_usd,soc_access_authorized_retailer_density,soc_access_caseworker_caseload_avg,soc_access_appointment_no_show_rate,soc_access_document_verification_time_days,soc_access_language_service_request_count,soc_access_disability_accommodation_count,soc_access_office_distance_miles_avg,soc_access_mobile_office_visits_count,soc_access_website_uptime_pct,soc_access_application_completion_rate,soc_access_benefit_error_rate,soc_access_grievance_filed_count,soc_access_grievance_resolution_days,soc_access_client_satisfaction_score,soc_access_cross_program_referral_rate,soc_access_service_gap_index
2020-02-21,DIRECT_DEPOSIT,2053081,158634078.6,18.0234,377.73,13.415,20.4,16642,10201,10.307,2149,94.3501,69.87,5.463,2172,37.18,2.772,54.13,0.2136
2020-02-22,EBT_CARD,982970,34787464.65,10.0725,206.56,39.409,10.11,11986,18527,17.383,945,99.4962,52.11,10.603,3572,59.91,7.645,73.36,0.9855
2020-02-23,DIRECT_DEPOSIT,736972,46330986.51,1.6103,411.04,11.16,49.81,3529,16506,9.804,5692,93.7673,25.2,8.43,7741,38.65,6.078,89.82,0.2203
2020-02-24,EBT_CARD,2361033,183740614.11,22.849,379.8,10.85,28.71,9023,14535,4.249,3906,98.1554,40.94,3.996,2806,17.0,9.845,53.16,0.6827
2020-02-25,CHECK,2324035,94732260.07,16.5149,481.1,43.982,14.33,22360,2030,27.049,909,85.1545,89.2,2.493,53,57.99,3.49,94.03,0.5362
2020-02-26,DIRECT_DEPOSIT,1095369,74675690.29,6.1187,243.78,19.743,34.31,10838,18288,41.011,2533,88.4906,97.13,0.894,5252,106.81,5.324,15.35,0.7531
2020-02-27,IN_PERSON_PICKUP,1933621,135138919.82,11.0227,233.77,17.736,31.21,11928,9014,35.506,5713,89.0987,70.5,2.134,2095,49.74,2.683,68.19,0.2711
2020-02-28,EBT_CARD,1612989,60824283.52,5.377,209.58,40.502,33.15,20742,4647,3.269,596,85.6068,98.01,9.956,7950,70.8,8.369,58.46,0.1587
2020-02-29,EBT_CARD,1444841,118213736.68,4.6211,47.49,6.609,10.8,5294,1764,36.323,5507,93.9009,48.23,0.89,4251,71.34,4.235,69.02,0.7749
2020-03-01,DIRECT_DEPOSIT,376870,22555762.9,10.3361,8.17,39.965,57.59,20033,16091,38.104,2700,88.442,30.4,1.309,5142,81.72,0.825,19.05,0.533
2020-03-02,DIRECT_DEPOSIT,1474545,87254750.08,24.4372,113.41,5.5,37.09,3217,14542,43.336,5058,85.5041,53.79,9.232,7276,32.34,5.211,95.82,0.9854
2020-03-03,DIRECT_DEPOSIT,1875637,62705360.95,3.6711,249.13,28.983,33.68,21722,7487,43.675,2543,96.1992,85.51,1.559,5475,25.6,2.081,78.02,0.3782
2020-03-04,EBT_CARD,834293,31956613.85,18.8976,460.85,2.683,26.26,14998,19650,3.748,4826,86.8483,71.55,10.273,7733,14.94,3.085,81.69,0.0855
2020-03-05,EBT_CARD,180393,9952152.23,8.7758,180.73,21.525,59.12,14234,17153,1.698,4957,91.4644,72.18,3.583,7191,10.45,9.79,65.4,0.0999
2020-03-06,DIRECT_DEPOSIT,1154151,71511501.32,22.6087,331.99,6.673,25.18,11793,18884,9.755,4890,91.2355,55.32,1.52,5730,46.49,8.539,21.67,0.7488
2020-03-07,EBT_CARD,474189,39737659.39,13.8162,50.87,13.285,21.81,3115,5314,34.265,138,90.5566,80.07,9.331,5863,3.17,1.495,40.39,0.8838
2020-03-08,DIRECT_DEPOSIT,1993407,91979155.17,3.5996,17.77,23.518,14.56,13213,2367,30.221,938,85.4247,93.45,9.208,6335,53.32,0.186,73.33,0.4853
2020-03-09,CHECK,1291163,76679081.7,16.8828,187.4,27.805,41.28,10285,14267,27.055,3553,91.7108,12.22,2.72,4449,20.67,3.977,56.3,0.0719
2020-03-10,DIRECT_DEPOSIT,1510803,78555964.92,8.0528,180.39,24.961,13.42,23875,8688,7.469,3320,98.7509,92.15,4.696,6860,56.9,1.569,77.1,0.571
2020-03-11,DIRECT_DEPOSIT,963755,31246199.21,1.3494,116.88,3.498,59.66,1809,3108,17.921,908,88.945,35.87,5.036,4042,70.3,5.326,8.48,0.472
2020-03-12,DIRECT_DEPOSIT,683315,40558073.03,1.0702,589.44,29.358,46.51,23034,11227,8.018,4035,93.7751,22.41,0.027,5547,80.52,6.428,27.63,0.7128
2020-03-13,CHECK,2078378,166769662.75,22.2907,113.07,43.653,49.4,7938,11457,7.774,4568,97.4692,52.59,11.528,7918,35.66,8.648,28.76,0.0374
2020-03-14,DIRECT_DEPOSIT,1441689,31849177.51,3.3503,300.56,25.933,18.01,22418,2471,0.306,1520,92.8373,57.47,10.735,5915,7.35,1.709,96.67,0.82
2020-03-15,DIRECT_DEPOSIT,1097233,16810262.1,12.4772,472.18,2.515,43.34,8265,9812,5.128,5409,98.8574,98.5,4.038,4993,111.11,2.782,33.77,0.8271
2020-03-16,EBT_CARD,1550227,124319230.8,7.2288,329.48,32.173,15.8,18953,2470,9.253,1264,97.7975,51.33,9.947,6700,118.83,8.262,65.07,0.737
2020-03-17,DIRECT_DEPOSIT,438394,5797182.75,12.1084,421.97,30.563,29.75,24103,5533,20.595,5388,92.9556,63.59,3.194,6677,42.88,8.378,80.11,0.9903
2020-03-18,EBT_CARD,890408,53576108.65,19.2416,546.91,32.636,20.63,96,16042,30.358,4231,86.7057,12.58,1.024,3375,29.53,9.191,78.1,0.6347
2020-03-19,DIRECT_DEPOSIT,537959,8019404.89,24.2727,275.09,29.032,4.8,1675,16242,43.553,5989,97.2368,97.21,5.356,6501,20.17,1.29,28.41,0.9893
2020-03-20,DIRECT_DEPOSIT,1089010,15996331.64,23.8736,53.09,21.147,20.46,18418,9829,16.901,2449,92.9839,30.58,2.115,6939,78.06,5.744,0.34,0.1595
2020-03-21,DIRECT_DEPOSIT,1214385,47523503.17,7.4701,193.95,10.661,19.66,4713,18802,29.755,4407,91.202,56.53,4.801,832,0.64,7.347,76.56,0.6011
2020-03-22,CHECK,1318360,95964078.53,15.5782,392.02,28.452,36.1,21913,15342,1.143,1162,92.5821,62.22,9.692,4628,0.34,7.626,7.8,0.4666
2020-03-23,DIRECT_DEPOSIT,347402,14941440.7,0.457,31.13,21.648,59.84,5220,13066,40.008,5479,88.1942,80.31,4.748,5901,94.5,8.771,66.45,0.409
2020-03-24,EBT_CARD,1306634,30967792.27,2.0104,205.67,42.414,55.25,4687,6709,33.976,2449,88.4383,45.78,2.087,831,102.08,2.016,73.2,0.2544
2020-03-25,CHECK,200342,1340119.13,14.1286,35.48,18.653,58.69,7273,19249,0.55,4789,98.5804,13.31,10.836,1574,12.44,4.235,75.75,0.3967
2020-03-26,CHECK,808104,39991350.94,21.2399,307.54,12.376,50.7,17206,16991,15.438,2287,95.4365,73.92,10.374,1385,114.35,3.171,21.05,0.2722
2020-03-27,DIRECT_DEPOSIT,1083561,43708438.08,11.8272,45.01,37.984,42.74,1457,10874,11.255,663,89.8316,76.24,4.256,2200,74.54,5.634,62.96,0.4361
2020-03-28,EBT_CARD,1337895,47767173.12,17.2507,135.82,29.608,7.17,6031,14699,21.885,5619,90.9747,27.26,4.343,6217,12.8,2.853,47.92,0.283
2020-03-29,MOBILE_WALLET,283697,16106207.25,14.0584,38.48,16.742,12.8,8250,6597,8.187,5396,99.7218,36.86,10.255,7457,3.34,5.115,43.78,0.0582
2020-03-30,EBT_CARD,2126315,129978176.06,0.1439,184.44,15.543,10.59,23198,15952,4.66,5927,85.2919,28.89,3.73,4356,104.02,0.714,69.25,0.4876
2020-03-31,DIRECT_DEPOSIT,2043947,54948667.36,10.7654,385.56,2.717,27.33,18942,5146,34.013,4931,96.317,71.44,9.022,1322,36.76,5.314,37.84,0.0242
2020-04-01,EBT_CARD,145380,1129207.15,22.9499,453.32,17.742,52.2,418,16204,10.464,1881,88.5971,21.21,7.623,6974,75.02,3.114,37.27,0.6812
2020-04-02,DIRECT_DEPOSIT,1155366,14253847.26,9.3853,219.87,1.152,28.25,14206,11834,25.768,1821,89.4742,36.48,2.967,7773,84.35,8.592,57.19,0.3019
2020-04-03,EBT_CARD,926298,25450876.23,15.5816,498.91,19.657,57.41,16007,12835,5.551,4093,90.9033,65.28,3.444,5094,47.67,8.385,21.47,0.4214
2020-04-04,EBT_CARD,369796,16405533.64,14.1491,265.38,1.423,55.57,15727,17685,38.044,2771,92.7104,75.0,0.673,2093,108.29,3.519,10.69,0.1445
2020-04-05,EBT_CARD,1191393,48016074.02,10.6483,125.16,7.958,56.74,773,12590,37.434,2496,88.2545,28.13,5.666,2790,104.09,9.17,68.18,0.7089
2020-04-06,MOBILE_WALLET,1059743,51839494.65,15.8028,597.28,35.478,58.14,16263,14387,23.228,4972,98.3036,94.44,3.797,3912,12.65,4.949,42.28,0.4234
2020-04-07,CHECK,577297,27158429.71,18.9624,283.35,1.738,22.65,5680,12656,23.763,4935,89.9147,24.14,7.56,5693,12.4,7.263,16.29,0.9194
2020-04-08,DIRECT_DEPOSIT,1512789,52335456.45,11.2283,328.57,39.599,10.26,6142,16817,29.752,1965,91.2228,49.5,10.341,7289,112.42,2.197,53.02,0.505
2020-04-09,EBT_CARD,1581712,111743443.33,6.6702,279.88,32.903,15.31,10880,11657,10.445,806,96.1859,98.95,9.378,6871,98.5,3.193,10.94,0.4212
2020-04-10,VOUCHER,1383366,104819668.78,5.8703,250.21,35.945,21.45,22405,10677,24.529,519,91.336,82.4,8.228,1682,43.99,1.338,49.97,0.9668
2020-04-11,CHECK,1589476,129607121.38,11.333,290.12,22.076,20.74,11279,5486,27.781,2560,94.2851,53.94,2.574,438,56.31,9.904,41.22,0.7829
2020-04-12,EBT_CARD,378266,17235872.93,9.1555,427.63,30.786,10.8,13117,11156,30.714,4922,85.0852,39.17,11.84,4741,39.53,7.73,73.57,0.8019
2020-04-13,EBT_CARD,767273,30608234.91,23.1365,33.41,0.162,41.94,2137,3543,10.658,5764,87.2263,22.7,10.008,690,45.07,1.37,0.5,0.4229
2020-04-14,EBT_CARD,1889038,77085859.36,7.0231,478.73,32.151,52.78,23909,16641,10.6,5901,97.9134,73.74,7.616,812,48.45,6.136,74.37,0.5719
2020-04-15,EBT_CARD,792190,22233070.64,17.0578,451.17,38.66,13.64,1400,10160,0.753,4050,85.5015,33.27,11.784,2750,12.39,0.715,73.63,0.258
2020-04-16,DIRECT_DEPOSIT,2171032,92349482.13,6.815,29.41,17.372,21.12,21762,14574,41.387,270,87.0066,44.49,11.916,1881,55.14,2.27,27.05,0.1051
2020-04-17,EBT_CARD,1808758,53731717.59,16.2852,61.7,35.008,55.76,1209,5154,32.39,1853,89.2697,56.65,7.342,6377,26.52,1.889,16.35,0.2645
2020-04-18,EBT_CARD,1892087,11218557.17,21.4508,378.1,18.685,39.7,15285,18665,40.984,3190,86.7738,65.63,3.942,1335,109.7,7.847,58.63,0.8457
2020-04-19,DIRECT_DEPOSIT,1330612,49423644.14,12.8036,468.51,25.144,42.06,21447,9305,17.535,1238,99.0379,51.48,5.642,4333,57.41,0.592,2.42,0.4646
2020-04-20,CHECK,2123416,53093264.73,7.7435,237.91,11.736,46.89,2077,2145,21.01,1680,91.005,20.91,0.722,993,85.37,4.194,48.97,0.5184
2020-04-21,EBT_CARD,1872664,53066173.49,13.1571,92.4,39.233,53.01,15712,14483,8.813,473,88.5451,62.89,8.152,860,115.81,6.555,40.19,0.5413
2020-04-22,EBT_CARD,53013,1217858.81,11.7866,527.25,11.847,24.03,5692,1500,7.258,2105,97.7342,52.38,0.897,3123,31.26,7.885,53.26,0.9415
2020-04-23,DIRECT_DEPOSIT,1041458,26722944.26,16.1343,147.88,5.508,7.19,1414,720,25.335,4121,94.5033,86.53,6.111,2190,56.06,7.155,64.82,0.388
2020-04-24,EBT_CARD,1370831,19482294.26,8.2265,108.28,30.991,55.19,20031,101,30.405,345,92.3434,64.48,10.089,3898,16.14,6.105,75.28,0.2516
2020-04-25,EBT_CARD,1507256,68840659.81,23.7173,599.94,29.386,28.99,12250,19688,0.394,2047,90.5685,98.25,0.18,5203,68.57,9.243,9.0,0.9133
2020-04-26,DIRECT_DEPOSIT,859589,8002969.48,13.0468,401.4,36.84,23.02,11713,19505,29.636,5385,87.3206,66.07,2.769,6691,24.26,0.346,86.1,0.2154
2020-04-27,CHECK,1955727,116702905.01,6.8634,398.33,24.217,22.99,135,4143,44.38,3167,87.2167,75.67,4.04,5206,93.73,7.062,94.06,0.7838
2020-04-28,EBT_CARD,1353716,18414124.17,21.3466,333.43,12.536,0.9,10635,12474,8.448,3696,86.5598,73.88,8.753,2239,1.98,9.098,75.18,0.2656
2020-04-29,DIRECT_DEPOSIT,2471106,88054791.89,5.8049,216.64,27.889,5.44,12503,13391,26.78,47,85.9699,11.69,9.978,5287,70.49,7.939,17.85,0.7115
2020-04-30,EBT_CARD,1346040,46168780.41,14.6108,78.99,18.299,56.07,5485,9752,21.599,5672,99.912,92.62,8.426,5380,58.91,2.964,76.95,0.8425
2020-05-01,EBT_CARD,573557,11641283.29,2.7534,140.95,43.874,55.93,3411,3594,32.445,239,96.9611,50.6,2.798,3808,40.5,3.293,6.15,0.1043
2020-05-02,EBT_CARD,37053,3118839.11,11.2994,344.32,22.63,0.06,9551,14289,6.882,1497,91.5502,27.77,4.582,2007,46.2,0.973,45.01,0.7593
2020-05-03,EBT_CARD,2047497,136053111.8,4.9693,7.53,20.067,18.7,12336,19423,42.249,2223,86.3993,23.4,0.277,5329,81.05,1.057,72.67,0.9977
2020-05-04,CHECK,2166747,83672948.64,19.5821,306.66,33.677,58.97,12491,9400,9.586,281,89.0374,39.58,8.754,5859,1.24,2.997,44.26,0.2416
2020-05-05,DIRECT_DEPOSIT,1784185,63425469.81,5.7058,30.66,18.915,56.89,9335,18390,15.681,5955,97.7985,68.84,10.356,51,110.18,0.701,83.78,0.2373
2020-05-06,EBT_CARD,2120226,110125447.86,5.1755,76.97,2.487,27.96,11204,12270,44.038,115,97.2176,98.76,5.479,4649,64.12,2.622,93.44,0.2661
2020-05-07,EBT_CARD,96104,1284215.73,11.025,474.14,7.368,27.47,9971,184,33.71,1345,97.5567,20.17,11.452,7250,66.35,2.871,55.62,0.3092
2020-05-08,IN_PERSON_PICKUP,1184193,89260011.8,20.136,390.89,40.671,7.57,6566,7820,24.883,2621,87.7008,33.15,1.284,6086,78.87,3.87,71.88,0.656
2020-05-09,CHECK,2252462,66363855.43,7.2769,221.01,6.263,11.99,14717,6787,38.907,2982,85.5739,80.54,11.373,6837,112.22,9.331,36.2,0.2132
2020-05-10,EBT_CARD,1222796,78922600.39,15.4148,113.28,3.369,54.5,1668,4421,16.403,4397,87.215,21.46,2.189,1063,77.7,3.038,11.45,0.0369
2020-05-11,IN_PERSON_PICKUP,578416,36279878.44,15.9197,257.4,17.323,9.65,3982,4087,7.628,155,92.6421,31.76,7.361,4767,85.39,7.842,6.15,0.8195
2020-05-12,EBT_CARD,2485725,31579010.5,2.8902,225.98,40.385,7.39,12910,19242,43.987,3513,87.5892,15.85,0.539,4374,60.42,4.999,55.63,0.2878
2020-05-13,DIRECT_DEPOSIT,2163550,105913005.48,24.4223,166.08,4.546,47.11,19234,18942,16.242,4692,95.8903,10.8,7.172,5843,25.5,2.511,29.57,0.2127
2020-05-14,MOBILE_WALLET,2293520,177067986.75,3.3373,128.57,0.094,12.82,12027,15637,20.395,3986,96.8544,45.38,5.98,7064,16.17,5.42,23.51,0.333
2020-05-15,EBT_CARD,2342366,97537923.38,2.4321,450.75,30.047,52.87,17873,1889,4.803,4220,97.3215,80.3,10.471,1045,20.96,5.057,24.9,0.0381
2020-05-16,CHECK,1063764,42198847.23,22.2752,561.15,34.096,25.72,11712,18075,35.82,4857,85.2416,89.69,3.483,4570,113.61,8.096,99.48,0.835
2020-05-17,CHECK,1817890,23048105.63,17.9287,515.98,43.885,37.88,9963,3447,41.619,3535,86.4337,96.16,1.913,4569,6.63,4.776,80.16,0.8501
2020-05-18,DIRECT_DEPOSIT,1653833,19721514.72,3.4624,193.81,34.739,6.9,9961,9488,37.312,4046,95.8448,84.16,7.97,6484,36.79,6.102,92.31,0.3509
2020-05-19,EBT_CARD,1352753,92050059.48,15.437,488.98,12.262,56.01,7510,19985,22.877,5780,90.5489,67.05,0.081,6766,21.74,9.449,65.86,0.6827
2020-05-20,DIRECT_DEPOSIT,1786181,89677739.93,2.7219,307.83,28.43,43.23,10355,16980,4.131,1658,95.154,92.82,3.236,35,85.71,4.546,25.14,0.9281
2020-05-21,EBT_CARD,1475821,113021874.57,10.9052,386.22,17.629,7.18,10587,806,44.007,866,89.4481,79.75,10.875,5167,75.33,4.984,43.33,0.7238
2020-05-22,EBT_CARD,416174,20664144.55,8.9589,191.75,20.069,21.26,17063,8457,0.928,1666,94.6612,52.44,7.612,6963,93.25,3.291,61.42,0.3226
2020-05-23,EBT_CARD,1344492,86342655.18,0.8814,568.5,19.5,1.85,1929,6469,32.111,1663,92.6063,12.46,10.871,2262,40.77,5.697,49.6,0.8412
2020-05-24,EBT_CARD,1076417,51828099.98,12.0999,584.21,14.569,42.46,6462,15519,31.265,5999,86.2924,81.3,8.493,287,71.83,8.439,72.72,0.4944
2020-05-25,EBT_CARD,2499109,110943086.61,3.5718,262.23,12.365,12.43,17670,6894,44.574,1715,93.8985,88.0,7.298,2501,51.87,5.721,78.7,0.5425
2020-05-26,EBT_CARD,288874,8960533.71,3.4774,128.04,10.441,4.69,22181,11750,3.631,2537,87.5246,24.46,11.548,472,61.16,2.015,48.97,0.5711
2020-05-27,CHECK,1715949,78424654.1,13.9606,278.93,26.516,28.98,579,10598,11.052,2500,87.0797,53.74,11.372,5426,71.98,1.563,65.26,0.5784
2020-05-28,VOUCHER,259271,1405729.02,2.0783,448.85,12.898,49.61,13891,2144,35.983,5903,99.5398,46.86,2.204,30,96.46,4.936,4.19,0.8791
2020-05-29,EBT_CARD,2071854,146415273.37,9.0425,170.65,39.586,49.74,14644,310,40.636,3289,89.7199,23.28,4.078,2443,8.45,3.192,14.44,0.7506
2020-05-30,EBT_CARD,977011,74613640.64,20.7745,328.65,19.684,21.35,18690,3032,40.784,4371,89.276,20.45,9.828,5126,37.26,8.914,26.18,0.2015
