qol_infra_inspection_date,qol_infra_asset_type_code,qol_infra_asset_id_hash,qol_infra_condition_rating,qol_infra_work_order_count,qol_infra_mean_time_to_repair_days,qol_infra_preventive_maintenance_pct,qol_infra_pothole_reports_count,qol_infra_street_sweeping_completion_pct,qol_infra_water_main_break_count,qol_infra_sewer_overflow_count,qol_infra_signal_outage_minutes,qol_infra_graffiti_removal_days_avg,qol_infra_snow_plow_cycle_hours,qol_infra_leaf_pickup_completion_pct,qol_infra_permit_backlog_days,qol_infra_capital_project_status_code,qol_infra_service_request_backlog,qol_infra_operational_cost_usd,qol_infra_resident_report_accuracy_score
2020-02-23,SIGNAL,5ff40ce0c2de3753,5,1176,111.75,71.51,1775,90.02,1899,78,28969.37,41.74,20.77,71.98,114.46,PLANNED,29661,203743.07,0.2126
2020-02-24,ROAD,370c67da6ed6127b,2,1187,110.32,45.19,6338,99.27,1990,682,3216.86,18.6,27.91,80.24,133.58,CONSTRUCTION,18450,14767710.59,0.5137
2020-02-25,BRIDGE,e161b3a05b782cc2,3,969,18.34,6.16,10912,99.25,1863,552,2612.52,27.81,29.42,72.03,184.42,COMPLETE,21678,34974089.41,0.8362
2020-02-26,PARK,fd75bea678491c9b,1,1648,18.84,9.42,9205,49.04,574,184,16897.67,16.96,31.89,19.71,73.7,DESIGN,39499,19156372.32,0.085
2020-02-27,PUBLIC_BUILDING,17c38143999cd571,5,1502,48.25,18.79,5467,7.11,308,242,21697.77,30.53,13.1,87.57,220.97,COMPLETE,12242,26270014.78,0.9463
2020-02-28,ROAD,3a8d05f4aa894cdb,2,1564,90.1,28.0,14286,74.65,822,386,43483.19,58.16,7.35,3.52,261.19,COMPLETE,49016,39612407.58,0.1688
2020-02-29,STORMWATER,ebf72aab5adfaec7,1,437,40.07,35.67,5197,37.56,1750,726,16311.33,14.2,81.97,57.09,28.82,ON_HOLD,27723,37617748.06,0.0032
2020-03-01,ROAD,6b7bc8873cbce725,2,1926,60.31,91.91,2482,99.88,1786,110,28356.67,39.58,61.74,94.66,246.72,DESIGN,35277,25740971.43,0.5794
2020-03-02,SIDEWALK,3c3de8fe20f4c47f,1,1777,37.13,57.21,6380,42.01,1128,235,7525.08,22.6,90.75,35.55,203.18,PROCUREMENT,3119,24841452.25,0.7409
2020-03-03,STREETLIGHT,9cc56cf95b916615,2,313,0.52,71.33,14804,57.77,322,733,15832.8,43.47,33.97,71.91,24.17,PROCUREMENT,36141,44590938.61,0.4993
2020-03-04,STORMWATER,52c370ca71307c13,4,426,34.42,73.82,2568,22.12,1253,18,35902.59,59.36,59.06,36.19,261.66,ON_HOLD,26725,48244033.64,0.5281
2020-03-05,BRIDGE,9c3ebf3ca1946485,1,991,40.66,90.93,183,51.56,317,677,40039.0,35.42,28.68,94.66,134.01,DESIGN,27377,34105909.48,0.8391
2020-03-06,SEWER,9bb86ff634f6a83b,4,1917,79.66,93.19,6296,75.55,1961,771,35861.88,8.44,31.02,11.21,188.94,PROCUREMENT,9114,9269625.55,0.9907
2020-03-07,SIDEWALK,8d7263b616f668ed,4,1769,114.1,39.47,4423,97.25,740,747,27757.56,1.61,30.09,1.95,265.31,COMPLETE,18663,24530552.58,0.0698
2020-03-08,WATER_MAIN,5755b56425383395,3,215,82.21,45.32,2418,16.5,2,567,30177.23,52.78,3.92,79.29,316.51,DESIGN,49470,23786559.09,0.8395
2020-03-09,SIDEWALK,8d731d5f31f955a2,2,462,2.05,22.07,8027,27.23,1585,794,11915.14,50.97,14.82,36.46,316.77,PROCUREMENT,13064,37100850.35,0.1771
2020-03-10,STREETLIGHT,dfc66f8f3f02cbcb,4,1981,68.9,13.87,10495,61.33,1616,542,19218.68,10.99,45.77,74.58,42.83,PLANNED,11300,44852213.13,0.284
2020-03-11,SEWER,3df0187fe645c8de,2,1059,19.28,6.94,10765,14.85,801,399,25774.01,19.32,11.76,63.38,325.72,PROCUREMENT,22332,6228372.0,0.6669
2020-03-12,SIDEWALK,349996c2e317183c,5,1875,85.44,95.31,14989,55.25,70,790,17538.84,57.75,64.57,55.71,259.9,COMPLETE,18544,2815776.24,0.9079
2020-03-13,WATER_MAIN,f89f33ee3776fbac,3,1305,11.6,63.24,17756,66.63,656,5,26718.41,42.7,88.88,18.55,150.46,PROCUREMENT,31810,23915617.53,0.2652
2020-03-14,BRIDGE,fd622648e82eb22f,3,1981,48.11,93.91,9055,9.72,1667,529,43769.29,16.04,22.76,40.53,233.0,ON_HOLD,30239,40917723.01,0.4296
2020-03-15,SEWER,aa4a52e0f83267d7,5,1904,18.68,67.39,11762,37.97,614,770,34998.42,24.33,39.72,79.31,259.84,COMPLETE,6946,11401897.99,0.9444
2020-03-16,ROAD,5dc6911a60fbdfbd,2,1637,0.17,75.51,6579,65.72,199,688,7692.02,58.17,0.63,13.89,155.09,PROCUREMENT,34302,41466516.55,0.8313
2020-03-17,SEWER,0dafcb36e7e5502d,5,556,25.81,50.19,12941,57.52,1937,242,2631.52,14.04,40.54,42.39,157.45,CONSTRUCTION,22087,46695486.81,0.8832
2020-03-18,SIGNAL,fd5e0bceb5fef5d8,3,487,78.0,1.52,442,3.9,297,516,43135.24,46.01,59.67,8.45,280.13,DESIGN,19951,16788791.09,0.2005
2020-03-19,SIGNAL,fafb96771a9fb478,3,1918,93.14,41.04,12754,14.98,1509,307,34971.98,28.35,95.76,16.93,103.58,DESIGN,45640,8706194.91,0.7467
2020-03-20,STORMWATER,f637dfa36fc12e66,3,836,9.5,73.84,122,31.74,530,127,29780.81,47.5,34.54,70.88,170.67,COMPLETE,44992,4689987.05,0.3715
2020-03-21,SIDEWALK,2f532a2e7a9641fd,2,1990,45.99,80.59,18593,7.6,82,379,958.14,9.55,11.02,85.18,137.99,CONSTRUCTION,4583,42598658.14,0.6925
2020-03-22,SIGNAL,9f1709a96c50a131,4,1838,66.79,94.34,1856,25.69,1118,754,38573.88,33.94,46.28,82.08,151.33,DESIGN,45086,39342301.35,0.2627
2020-03-23,STREETLIGHT,6db26bcbfb093934,3,1208,80.31,62.2,2481,64.0,1614,735,15275.13,1.13,41.19,71.28,111.42,DESIGN,5466,11152957.15,0.657
2020-03-24,WATER_MAIN,a40fcaacd8dc73ac,5,1004,100.01,27.7,14552,83.78,429,546,42339.1,23.68,25.47,35.62,97.41,CONSTRUCTION,48479,38989181.69,0.2955
2020-03-25,STREETLIGHT,f35a619c2d33fe6a,1,209,3.44,52.39,9263,26.85,510,54,10183.28,40.51,48.91,1.31,115.72,PLANNED,36297,40927595.92,0.1007
2020-03-26,ROAD,7032861bb54df3f2,4,139,9.46,99.37,18309,86.78,344,524,48953.96,34.73,23.79,81.3,97.12,CONSTRUCTION,11297,7289624.14,0.7555
2020-03-27,SIGNAL,53ba7817535c2a10,1,1723,91.01,62.14,14722,92.3,1655,409,24922.95,21.76,54.48,70.67,76.83,CONSTRUCTION,36325,30429802.78,0.4101
2020-03-28,SIGNAL,0baea1fe9d4361f8,5,782,107.98,87.17,9417,70.7,823,652,14806.58,29.85,19.19,34.77,271.47,CONSTRUCTION,18311,42791263.89,0.7253
2020-03-29,STORMWATER,da7223a8c0267520,4,237,116.44,96.36,18699,98.12,1592,671,19594.83,26.6,29.1,67.14,253.51,CONSTRUCTION,41212,14623984.96,0.8825
2020-03-30,SIGNAL,3c7554b0ad88d7c8,1,489,36.83,52.82,12049,42.87,7,308,6569.51,32.12,78.45,62.43,178.82,DESIGN,26101,35862181.96,0.7999
2020-03-31,PUBLIC_BUILDING,edb15d8310d5b725,5,354,11.47,5.79,2885,72.36,1200,712,26305.48,57.24,36.77,46.14,60.49,DESIGN,14550,34619900.25,0.8014
2020-04-01,WATER_MAIN,dbfe15ab69adba1d,2,136,56.65,71.37,8426,21.11,24,464,3077.67,25.69,16.27,8.06,355.03,CONSTRUCTION,33821,42499488.33,0.518
2020-04-02,SIDEWALK,36e37e47ca222eec,3,905,34.57,10.42,13998,52.66,1806,87,39716.41,16.72,46.18,56.87,30.56,PLANNED,21990,45505720.08,0.5293
2020-04-03,STREETLIGHT,1b7cea6f7e5e3dd2,4,1422,57.1,94.87,17758,47.52,294,774,32190.53,19.47,23.96,99.41,69.32,CONSTRUCTION,33136,5929547.25,0.5601
2020-04-04,WATER_MAIN,cad360d7e0641c28,5,1934,91.67,44.21,18506,53.88,1822,37,9185.93,27.36,7.93,15.14,300.87,CONSTRUCTION,17523,22100719.35,0.1091
2020-04-05,BRIDGE,4937ad726d368795,4,1038,71.03,3.39,18618,66.66,1834,392,34381.79,28.06,4.32,49.23,13.88,PLANNED,37429,27132666.53,0.7133
2020-04-06,PUBLIC_BUILDING,61994fb7f2ffcfd2,4,1304,54.63,33.56,11696,72.19,870,598,30273.15,17.91,84.66,6.77,270.53,PLANNED,24851,43274312.98,0.7803
2020-04-07,ROAD,0e3b10dfb294f0ec,3,1152,116.59,58.74,16078,91.79,1200,393,4240.36,8.48,26.13,25.07,16.87,CONSTRUCTION,36076,40372604.19,0.5161
2020-04-08,ROAD,0ea8af224d021767,1,719,4.22,73.56,5941,20.12,562,115,22572.14,44.83,22.96,3.48,144.56,PLANNED,23939,14367327.12,0.3492
2020-04-09,PUBLIC_BUILDING,f3937b13ef5e7937,1,703,101.79,27.4,540,87.36,300,278,1032.63,25.62,53.67,61.67,221.49,COMPLETE,32922,3493607.04,0.2746
2020-04-10,WATER_MAIN,a20a813e3b7d94cc,1,1249,35.8,85.41,15517,38.74,1743,320,12339.74,13.33,75.81,49.62,26.72,COMPLETE,44203,23702496.85,0.3768
2020-04-11,SIDEWALK,1f1e14f10f98f9fc,3,1074,67.63,83.67,2472,70.68,359,310,20752.7,13.82,63.3,8.54,52.18,ON_HOLD,22857,40238470.96,0.9423
2020-04-12,PUBLIC_BUILDING,d54fb2756d6a9004,3,1051,101.79,90.27,15918,42.93,964,421,40235.54,17.58,27.73,65.13,298.61,CONSTRUCTION,14892,45107844.43,0.1854
2020-04-13,SIDEWALK,4eae9f9ec11ea093,3,654,55.9,78.3,3927,71.88,789,717,10286.58,32.48,43.17,49.46,86.57,CONSTRUCTION,9911,18973293.32,0.3198
2020-04-14,SEWER,c349884188c0720b,4,1047,17.67,22.84,12521,76.94,1824,340,39717.36,28.34,42.83,61.83,25.26,COMPLETE,24658,39137975.04,0.4635
2020-04-15,BRIDGE,5ff7a2f748f5dcd2,3,867,58.42,70.26,11292,58.71,899,169,7011.48,34.44,75.76,86.18,283.68,ON_HOLD,45323,38895195.26,0.5243
2020-04-16,PARK,a9be186c8da38352,4,486,41.3,40.27,2425,60.77,651,217,38428.12,24.5,41.6,74.07,165.77,COMPLETE,7008,32737921.86,0.9489
2020-04-17,SEWER,aaad6c8c6d34644b,5,1776,5.0,16.97,4296,6.0,560,11,43188.22,27.81,6.58,73.87,187.46,DESIGN,45618,26556040.75,0.8635
2020-04-18,BRIDGE,a6b97ceb06d3f338,1,1492,38.57,36.16,2867,3.41,488,655,45809.6,43.69,54.17,66.64,146.93,PLANNED,3802,40222163.55,0.6011
2020-04-19,STORMWATER,984678b860763362,3,1231,36.08,94.5,3330,1.55,1433,46,40031.22,0.3,68.02,58.87,294.49,PROCUREMENT,35711,10364344.71,0.1737
2020-04-20,BRIDGE,06972cae21d5cc98,4,518,5.14,8.61,13753,67.76,185,239,6703.79,23.4,95.48,65.35,116.51,PLANNED,15496,39076705.01,0.1559
2020-04-21,PUBLIC_BUILDING,bc19f43a014376e0,3,918,74.88,8.66,5016,71.94,1846,345,42419.81,54.47,78.95,94.3,32.99,COMPLETE,26060,34552946.51,0.2317
2020-04-22,SEWER,ffc94722b6655c83,4,601,29.98,34.51,8725,84.45,1002,30,43116.48,46.72,57.61,13.45,176.3,COMPLETE,29082,36522251.91,0.8744
2020-04-23,PARK,f78270172ee8451d,2,1139,67.19,49.55,3587,1.1,1278,191,38064.11,14.19,58.01,76.99,268.16,PROCUREMENT,32644,10439944.58,0.175
2020-04-24,PARK,657557f7bab7709c,5,1235,73.56,67.87,4880,56.44,1522,529,3074.81,45.76,66.41,7.73,275.68,PLANNED,24508,22889010.79,0.5082
2020-04-25,SIGNAL,c2dfdf37d23abeb7,3,1442,98.83,65.06,11722,38.27,1577,293,25096.62,17.01,87.8,70.74,111.72,PROCUREMENT,1485,47819075.32,0.5179
2020-04-26,PUBLIC_BUILDING,e494265f39040a84,2,785,89.8,77.04,5360,61.23,1274,147,19093.99,53.09,93.01,70.35,24.99,CONSTRUCTION,27830,47257510.28,0.5692
2020-04-27,WATER_MAIN,e519d599f5ab6d80,5,1102,77.76,67.14,12023,41.62,1307,703,6594.97,3.98,52.38,57.83,145.26,COMPLETE,47729,2424609.69,0.3481
2020-04-28,SIGNAL,22bd43f7a2feb93b,3,1250,23.92,18.85,12067,56.66,787,611,43465.31,12.55,60.47,0.36,345.17,COMPLETE,20796,28544141.8,0.107
2020-04-29,STORMWATER,7981527beb8cb524,2,1609,41.12,39.25,1303,22.88,1053,541,23616.45,41.18,93.72,13.07,60.51,CONSTRUCTION,12911,37186824.01,0.1275
2020-04-30,SIGNAL,6d46614672670ff5,3,1699,67.24,78.62,19526,3.05,1202,8,17648.5,43.49,84.17,50.11,96.07,PLANNED,30933,40421308.32,0.9261
2020-05-01,SEWER,d77dd4dde8c1acd0,3,1787,49.3,69.64,10512,25.96,1672,626,21147.45,36.89,36.52,36.81,29.76,CONSTRUCTION,47676,48991306.63,0.7354
2020-05-02,BRIDGE,a114433460743eb8,1,160,65.92,65.91,19532,95.08,1226,389,48648.37,54.84,77.35,18.69,170.75,PROCUREMENT,45303,24052266.71,0.6114
2020-05-03,STREETLIGHT,595d88ddb4e4d266,3,1188,23.81,46.64,7945,29.8,1197,774,29955.72,45.04,23.08,61.96,115.07,COMPLETE,46391,42996986.82,0.2756
2020-05-04,PUBLIC_BUILDING,feaf961392d5a441,3,1147,116.61,28.79,973,1.45,997,223,28549.77,26.75,80.72,93.42,40.57,ON_HOLD,25781,49496650.77,0.806
2020-05-05,SEWER,762bf381bb4e1b2d,2,672,29.03,22.63,730,88.95,969,122,39779.63,45.93,7.8,29.93,233.58,CONSTRUCTION,48749,23791555.7,0.6925
2020-05-06,STREETLIGHT,b975181e093debae,5,339,110.02,80.22,16288,57.59,1781,277,31189.72,3.44,17.03,75.22,309.68,CONSTRUCTION,46905,25508510.09,0.708
2020-05-07,SIDEWALK,b88dcf759f1b6921,3,1431,116.14,75.3,14676,36.49,1140,14,26135.88,52.29,0.36,80.97,272.8,CONSTRUCTION,6736,19472278.98,0.1229
2020-05-08,PUBLIC_BUILDING,db7f5924332694e4,1,379,90.23,1.02,3735,82.36,708,157,14071.82,48.62,83.69,7.96,325.63,PROCUREMENT,35475,4898318.23,0.2543
2020-05-09,SEWER,789a4b3538115f6b,4,1259,50.25,84.01,8821,26.76,958,767,32839.57,53.4,82.03,35.31,311.04,DESIGN,14539,27161614.32,0.4362
2020-05-10,PARK,80ca24f4e4c533bf,1,1093,89.73,5.48,10507,42.19,11,446,18408.17,20.95,67.4,55.88,13.78,COMPLETE,4933,5450182.27,0.2757
2020-05-11,PARK,ca7ba9d87a71bdea,2,458,49.15,78.09,3970,49.26,1012,325,12919.18,2.35,3.15,34.66,292.54,CONSTRUCTION,11111,49057013.43,0.3356
2020-05-12,SIGNAL,6320686e50277e9c,3,1621,84.03,22.98,19943,50.3,1156,248,5217.36,56.11,58.71,85.59,144.86,PLANNED,5832,18018360.38,0.2613
2020-05-13,STORMWATER,9ec797d2772f891d,3,731,113.8,20.49,17951,29.68,756,381,44301.17,34.87,54.18,66.28,160.72,DESIGN,44297,32512518.55,0.9292
2020-05-14,PUBLIC_BUILDING,214bbc9e7453f3c9,3,688,114.08,1.6,13641,81.4,1927,114,47798.51,15.61,19.09,75.49,207.42,DESIGN,43808,49078255.61,0.4805
2020-05-15,WATER_MAIN,bbecbc004546eb9f,4,95,50.95,29.46,13224,4.82,1068,790,46899.1,44.55,41.98,46.46,273.67,ON_HOLD,48954,39858154.0,0.8508
2020-05-16,PUBLIC_BUILDING,5bc5ecc236a00578,1,918,11.96,95.64,14453,78.63,1045,551,13236.89,1.96,46.53,73.73,100.78,PROCUREMENT,364,39881007.8,0.4755
2020-05-17,WATER_MAIN,baa77a3f51b54541,2,638,20.23,42.36,4757,80.78,184,455,11202.98,8.31,44.46,33.77,24.96,PROCUREMENT,26101,26471203.28,0.5884
2020-05-18,BRIDGE,bb95f5761d3189c2,2,490,78.03,21.13,17500,37.33,1175,115,48803.96,49.7,45.96,48.95,149.42,COMPLETE,39091,5562494.14,0.0275
2020-05-19,STORMWATER,82ed6dfd8df56b06,4,1049,53.68,24.95,10567,33.68,169,572,35638.93,36.77,19.23,8.34,210.2,CONSTRUCTION,34043,12950466.54,0.3971
2020-05-20,WATER_MAIN,da6ca28939516fd9,4,1617,64.72,10.06,2922,29.92,700,158,797.32,1.79,33.29,35.46,172.61,PROCUREMENT,28404,3864028.69,0.1665
2020-05-21,STREETLIGHT,591b7fc5b0f14493,1,203,111.96,24.68,4434,28.83,1366,275,44176.63,19.01,22.8,36.72,190.79,COMPLETE,28020,17705547.75,0.5223
2020-05-22,STORMWATER,d13299bb07538eda,3,1700,89.57,97.18,11865,2.57,1470,466,41627.27,40.35,14.95,80.56,190.31,CONSTRUCTION,44085,22220301.0,0.4025
